ID,Name,Charge,Compartment,Elements,Formula,Formula weight,Reactions,Annotation
octapb_c,Octanoate (protein bound),1,c,"{'C': 8, 'H': 15, 'O': 1}",C8H15O,127.2041,"frozenset({<Reaction LIPOCT at 0x16b29339108>, <Reaction LIPOS at 0x16b29322f48>, <Reaction OCTNLL at 0x16b295e6d08>})","{'bigg.metabolite': ['octapb'], 'metanetx.chemical': ['MNXM147531'], 'sbo': 'SBO:0000247'}"
cysi__L_e,L Cystine C6H12N2O4S2,0,e,"{'C': 6, 'H': 12, 'N': 2, 'O': 4, 'S': 2}",C6H12N2O4S2,240.30048,"frozenset({<Reaction EX_cysi__L_e at 0x16b298f7908>, <Reaction CYSItex at 0x16b294e61c8>})","{'Human Metabolome Database': ['HMDB00192'], 'bigg.metabolite': ['cysi__L'], 'biocyc': ['META:CYSTINE'], 'chebi': ['CHEBI:63163'], 'hmdb': ['HMDB00192'], 'inchi_key': ['LEVWYRKDKASIDU-IMJSIDKUSA-N'], 'inchikey': ['LEVWYRKDKASIDU-IMJSIDKUSA-N'], 'kegg.compound': ['C00491'], 'kegg.drug': ['D03636'], 'metanetx.chemical': ['MNXM927'], 'sabiork': ['2060'], 'sbo': 'SBO:0000247', 'seed.compound': ['cpd00381']}"
dhap_c,Dihydroxyacetone phosphate,-2,c,"{'C': 3, 'H': 5, 'O': 6, 'P': 1}",C3H5O6P,168.041961,"frozenset({<Reaction TPI at 0x16b28d6c3c8>, <Reaction QULNS at 0x16b28456508>, <Reaction 6D6SPA at 0x16b29902108>, <Reaction G3PD2 at 0x16b27f85948>, <Reaction D5KGPA at 0x16b29871548>, <Reaction FCLPA at 0x16b27f8f588>, <Reaction G3PD7 at 0x16b27cae988>, <Reaction G3PD6 at 0x16b27e4f608>, <Reaction TGBPA at 0x16b27e1ba48>, <Reaction DHAPT at 0x16b27e42248>, <Reaction G3PD5 at 0x16b26cd3e88>, <Reaction RMPA at 0x16b27e07bc8>, <Reaction FBA at 0x16b27c18ec8>, <Reaction FBA3 at 0x16b28170bc8>, <Reaction MGSA at 0x16b27c1ef48>, <Reaction ALKP at 0x16b28467bc8>})","{'Human Metabolome Database': ['HMDB11735'], 'bigg.metabolite': ['dhap'], 'biocyc': ['META:DIHYDROXY-ACETONE-PHOSPHATE'], 'chebi': ['CHEBI:57642'], 'hmdb': ['HMDB11735', 'HMDB01473'], 'inchi_key': ['GNGACRATGGDKBX-UHFFFAOYSA-L'], 'inchikey': ['GNGACRATGGDKBX-UHFFFAOYSA-L'], 'kegg.compound': ['C00111'], 'metanetx.chemical': ['MNXM77'], 'reactome': ['R-ALL-75970'], 'reactome.compound': ['390404', '75970', '188451'], 'sabiork': ['28'], 'sbo': 'SBO:0000247', 'seed.compound': ['cpd00095']}"
prbatp_c,1-(5-Phosphoribosyl)-ATP,-6,c,"{'C': 15, 'H': 19, 'N': 5, 'O': 20, 'P': 4}",C15H19N5O20P4,713.227904,"frozenset({<Reaction PRATPP at 0x16b28029d88>, <Reaction ATPPRT at 0x16b28006ac8>})","{'Human Metabolome Database': ['HMDB03665'], 'bigg.metabolite': ['prbatp'], 'biocyc': ['META:PHOSPHORIBOSYL-ATP'], 'chebi': ['CHEBI:8167'], 'hmdb': ['HMDB03665'], 'inchi_key': ['RKNHJBVBFHDXGR-KEOHHSTQSA-H'], 'inchikey': ['RKNHJBVBFHDXGR-KEOHHSTQSA-H'], 'kegg.compound': ['C02739'], 'metanetx.chemical': ['MNXM1351'], 'sbo': 'SBO:0000247', 'seed.compound': ['cpd01775']}"
10fthf_c,10-Formyltetrahydrofolate,-2,c,"{'C': 20, 'H': 21, 'N': 7, 'O': 7}",C20H21N7O7,471.42344,"frozenset({<Reaction BIOMASS_Ec_iML1515_core_75p37M at 0x16b2952be08>, <Reaction GARFT at 0x16b2805f648>, <Reaction AICART at 0x16b28cb9448>, <Reaction BIOMASS_Ec_iML1515_WT_75p37M at 0x16b29555648>, <Reaction FTHFLi at 0x16b2814f5c8>, <Reaction BIOMASS_EcN_iHM1533_core_59p80M at 0x16b299afa88>, <Reaction ULA4NFT at 0x16b28a46348>, <Reaction FMETTRS at 0x16b296d6d88>, <Reaction MTHFC at 0x16b284477c8>, <Reaction FTHFD at 0x16b27ca63c8>})","{'Human Metabolome Database': ['HMDB00972'], 'bigg.metabolite': ['10fthf'], 'biocyc': ['META:10-FORMYL-THF'], 'chebi': ['CHEBI:698'], 'hmdb': ['HMDB00972'], 'inchi_key': ['AUFGTPPARQZWDO-YPMHNXCESA-L'], 'inchikey': ['AUFGTPPARQZWDO-YPMHNXCESA-L'], 'kegg.compound': ['C00234'], 'metanetx.chemical': ['MNXM237'], 'reactome': ['R-ALL-5389850'], 'reactome.compound': ['5389850', '419151'], 'sabiork': ['1318'], 'sbo': 'SBO:0000247', 'seed.compound': ['cpd00201']}"
btal_c,Butanal C4H8O,0,c,"{'C': 4, 'H': 8, 'O': 1}",C4H8O,72.10571999999999,"frozenset({<Reaction ALDD4 at 0x16b27dc22c8>, <Reaction FDMO4 at 0x16b284031c8>})","{'Human Metabolome Database': ['HMDB03543'], 'bigg.metabolite': ['btal'], 'biocyc': ['META:BUTANAL'], 'chebi': ['CHEBI:3233'], 'envipath': ['650babc9-9d68-4b73-9332-11972ca26f7b/compound/242f8a4e-2a91-4c5f-a129-d044d115b969'], 'hmdb': ['HMDB03543'], 'inchi_key': ['ZTQSAGDEMFDKMZ-UHFFFAOYSA-N'], 'inchikey': ['ZTQSAGDEMFDKMZ-UHFFFAOYSA-N'], 'kegg.compound': ['C01412'], 'metanetx.chemical': ['MNXM1017'], 'sabiork': ['2281'], 'sbo': 'SBO:0000247', 'seed.compound': ['cpd01011']}"
6pgg_c,"6-Phospho-beta-D-glucosyl-(1,4)-D-glucose",-2,c,"{'C': 12, 'H': 21, 'O': 14, 'P': 1}",C12H21O14P,420.26050100000003,"frozenset({<Reaction CELBpts at 0x16b289f0408>, <Reaction BGLA1 at 0x16b29132948>, <Reaction CELLB6PH at 0x16b299141c8>})","{'bigg.metabolite': ['6pgg'], 'metanetx.chemical': ['MNXM147389'], 'sbo': 'SBO:0000247'}"
co2_e,CO2 CO2,0,e,"{'C': 1, 'O': 2}",CO2,44.0095,"frozenset({<Reaction EX_co2_e at 0x16b26c97f08>, <Reaction CO2tex at 0x16b2887be88>})","{'Human Metabolome Database': ['HMDB01967'], 'bigg.metabolite': ['co2'], 'biocyc': ['META:CARBON-DIOXIDE'], 'chebi': ['CHEBI:48829'], 'envipath': ['650babc9-9d68-4b73-9332-11972ca26f7b/compound/2ec3da94-5f50-4525-81b1-5607c5c7a3d3', '32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/05f60af4-0a3f-4ead-9a29-33bb0f123379'], 'hmdb': ['HMDB01967'], 'inchi_key': ['CURLTUGMZLYLDI-UHFFFAOYSA-N'], 'inchikey': ['CURLTUGMZLYLDI-UHFFFAOYSA-N'], 'kegg.compound': ['C00011'], 'kegg.drug': ['D00004'], 'metanetx.chemical': ['MNXM13'], 'reactome': ['R-ALL-5668565'], 'reactome.compound': ['29376', '5668565', '189480', '1132345', '113528', '1237009', '159751', '389536', '159942'], 'sabiork': ['1266'], 'sbo': 'SBO:0000247', 'seed.compound': ['cpd00011']}"
akg_e,2-Oxoglutarate,-2,e,"{'C': 5, 'H': 4, 'O': 5}",C5H4O5,144.08226000000002,"frozenset({<Reaction AKGtex at 0x16b28dd1648>, <Reaction EX_akg_e at 0x16b27c008c8>})","{'Human Metabolome Database': ['HMDB62781'], 'bigg.metabolite': ['akg'], 'biocyc': ['META:2-KETOGLUTARATE'], 'chebi': ['CHEBI:40661'], 'envipath': ['32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/5b0a94f6-d411-44fd-bcc1-fb79b4e697f5', '4fd7f3e0-dd25-43ac-9453-dda3e52396e4/compound/6557f3f2-0ab8-494b-a865-8ce0eae788a9'], 'hmdb': ['HMDB00208', 'HMDB02812', 'HMDB62781'], 'inchi_key': ['KPGXRSRHYNQIFN-UHFFFAOYSA-L'], 'inchikey': ['KPGXRSRHYNQIFN-UHFFFAOYSA-L'], 'kegg.compound': ['C00026'], 'metanetx.chemical': ['MNXM20'], 'reactome': ['R-ALL-561075'], 'reactome.compound': ['113594', '561075', '5278317', '113671', '29406', '389537'], 'sabiork': ['1922'], 'sbo': 'SBO:0000247', 'seed.compound': ['cpd00024']}"
gsn_e,Guanosine,0,e,"{'C': 10, 'H': 13, 'N': 5, 'O': 5}",C10H13N5O5,283.24072,"frozenset({<Reaction EX_gsn_e at 0x16b28c40108>, <Reaction GSNtex at 0x16b28d2c888>})","{'Human Metabolome Database': ['HMDB00133'], 'bigg.metabolite': ['gsn'], 'biocyc': ['META:GUANOSINE'], 'chebi': ['CHEBI:5564'], 'hmdb': ['HMDB00133'], 'inchi_key': ['NYHBQMYGNKIUIF-UUOKFMHZSA-N'], 'inchikey': ['NYHBQMYGNKIUIF-UUOKFMHZSA-N'], 'kegg.compound': ['C00387'], 'metanetx.chemical': ['MNXM401'], 'sabiork': ['1872'], 'sbo': 'SBO:0000247', 'seed.compound': ['cpd00311']}"
