ID,Name,Reaction Formula,Gene Rules,Subsystem,Essentiality,LB,UB,FVA_min,FVA_max
ALATA_D2,D-alanine transaminase,ala__D_c + pydx5p_c --> pyam5p_c + pyr_c,CIW80_06560 or CIW80_22360,Cofactor and Prosthetic Group Biosynthesis,Not essential,0.0,1000.0,0.0,2.243283421386227e-13
SHCHD2,Sirohydrochlorin dehydrogenase (NAD),dscl_c + nad_c --> h_c + nadh_c + scl_c,CIW80_11380,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.00025004544699180594,0.0002500454469918067
CPPPGO,Coproporphyrinogen oxidase (O2 required),cpppg3_c + 2.0 h_c + o2_c --> 2.0 co2_c + 2.0 h2o_c + pppg9_c,CIW80_06055,Cofactor and Prosthetic Group Biosynthesis,Not essential,0.0,1000.0,0.00025004544694818664,0.0002500454469996575
GTHOr,Glutathione oxidoreductase,gthox_c + h_c + nadph_c <=> 2.0 gthrd_c + nadp_c,CIW80_12105,Cofactor and Prosthetic Group Biosynthesis,Not essential,-1000.0,1000.0,0.0,0.2774966247201856
DHORD5,Dihydroorotic acid (menaquinone-8),dhor__S_c + mqn8_c --> mql8_c + orot_c,CIW80_22710,Purine and Pyrimidine Biosynthesis,Not essential,0.0,1000.0,0.0,0.3709138279716075
GLYCTO2,Glycolate oxidase,glyclt_c + q8_c --> glx_c + q8h2_c,CIW80_09260 and CIW80_09255 and CIW80_09250,Alternate Carbon Metabolism,Not essential,0.0,1000.0,0.0,7.851491974851667e-13
GLYCTO3,Glycolate oxidase,glyclt_c + mqn8_c --> glx_c + mql8_c,CIW80_09260 and CIW80_09255 and CIW80_09250,Alternate Carbon Metabolism,Not essential,0.0,1000.0,0.0,7.851491974852191e-13
GLYCTO4,Glycolate oxidase,2dmmq8_c + glyclt_c --> 2dmmql8_c + glx_c,CIW80_09260 and CIW80_09255 and CIW80_09250,Alternate Carbon Metabolism,Not essential,0.0,1000.0,0.0,7.851491974852119e-13
PFK_3,Phosphofructokinase (s7p),atp_c + s7p_c --> adp_c + h_c + s17bp_c,CIW80_14585,Pentose Phosphate Pathway,Not essential,0.0,1000.0,0.0,19.02432453463925
TRPS2,Tryptophan synthase (indole),indole_c + ser__L_c --> h2o_c + trp__L_c,CIW80_25240 and CIW80_25245,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",Not essential,0.0,1000.0,0.0,8.048754192283295e-13
