EcN,Measured_growth
CIW80_17685,0
CIW80_17690,0
CIW80_17695,0
CIW80_17710,1
CIW80_17715,1
CIW80_17720,1
CIW80_17725,1
CIW80_17775,1
CIW80_17795,0
CIW80_17815,0
CIW80_17820,1
CIW80_17830,0
CIW80_17840,0
CIW80_17845,0
CIW80_17865,1
CIW80_17870,1
CIW80_17875,1
CIW80_17885,1
CIW80_17915,1
CIW80_17920,1
CIW80_17925,0
CIW80_17940,1
CIW80_17955,0
CIW80_17965,0
CIW80_18035,1
CIW80_18040,1
CIW80_18045,1
CIW80_04680,1
CIW80_18060,0
CIW80_18065,0
CIW80_18070,0
CIW80_18075,0
CIW80_18090,1
CIW80_18095,1
CIW80_18130,0
CIW80_18135,0
CIW80_18140,0
CIW80_18145,0
CIW80_18150,0
CIW80_18155,0
CIW80_18160,0
CIW80_18165,0
CIW80_18170,1
CIW80_18190,0
CIW80_18205,1
CIW80_18230,0
CIW80_18235,1
CIW80_18260,0
CIW80_18265,1
CIW80_18275,1
CIW80_18320,1
CIW80_18325,1
CIW80_18330,0
CIW80_18345,1
CIW80_18355,1
CIW80_18360,1
CIW80_18370,1
CIW80_18375,1
CIW80_18380,1
CIW80_18385,0
CIW80_18410,1
CIW80_18430,1
CIW80_18435,1
CIW80_18475,0
CIW80_18510,1
CIW80_18515,1
CIW80_18520,1
CIW80_18525,1
CIW80_18530,1
CIW80_18535,0
CIW80_18540,1
CIW80_18555,1
CIW80_18560,0
CIW80_18565,1
CIW80_18590,0
CIW80_18620,0
CIW80_18630,0
CIW80_18635,0
CIW80_18640,0
CIW80_18660,0
CIW80_18665,0
CIW80_18670,0
CIW80_18675,0
CIW80_18690,0
CIW80_18695,1
CIW80_18765,1
CIW80_18770,1
CIW80_18775,1
CIW80_18780,1
CIW80_18815,1
CIW80_18835,1
CIW80_18840,1
CIW80_19405,1
CIW80_19410,1
CIW80_19460,1
CIW80_19465,1
CIW80_19480,1
CIW80_19485,0
CIW80_19490,0
CIW80_04600,1
CIW80_15170,1
CIW80_17060,1
CIW80_17055,1
CIW80_16625,1
CIW80_19675,1
CIW80_19680,1
CIW80_19685,1
CIW80_19740,1
CIW80_19745,1
CIW80_19760,1
CIW80_19770,1
CIW80_19820,1
CIW80_19845,1
CIW80_19850,1
CIW80_19855,1
CIW80_19860,1
CIW80_19865,1
CIW80_19870,1
CIW80_18385,1
None,1
CIW80_01860,1
CIW80_19880,1
CIW80_08250,1
None,1
CIW80_11600,1
None,1
None,1
CIW80_18075,1
CIW80_11615,1
CIW80_19910,1
CIW80_19915,1
CIW80_19950,1
CIW80_19955,1
CIW80_19960,1
CIW80_19965,1
CIW80_19970,0
CIW80_19985,1
CIW80_20015,1
CIW80_20025,1
CIW80_20040,0
CIW80_20050,1
CIW80_20090,1
CIW80_20120,1
CIW80_20125,1
CIW80_20130,1
CIW80_20135,1
CIW80_20170,1
CIW80_20185,0
CIW80_20190,0
CIW80_20200,0
CIW80_20205,0
CIW80_20215,0
CIW80_20220,0
CIW80_20230,0
CIW80_20240,1
CIW80_20255,1
CIW80_20260,1
CIW80_20265,1
CIW80_20270,1
CIW80_20275,1
CIW80_20280,1
CIW80_20345,1
CIW80_20355,1
CIW80_20380,1
CIW80_20385,1
CIW80_20420,1
CIW80_20435,1
CIW80_20440,1
CIW80_20455,1
CIW80_20480,1
CIW80_20510,0
CIW80_20515,0
CIW80_20525,1
CIW80_20545,1
CIW80_20575,1
CIW80_20580,1
CIW80_20625,1
CIW80_20630,1
CIW80_20655,1
CIW80_20665,1
CIW80_20670,1
CIW80_20675,1
CIW80_20680,1
CIW80_20685,1
CIW80_20695,1
CIW80_20700,1
CIW80_20705,1
CIW80_20710,1
CIW80_20730,1
CIW80_20735,0
CIW80_20740,0
CIW80_20755,0
CIW80_20780,0
CIW80_02910,1
CIW80_20850,1
CIW80_20855,1
CIW80_20860,1
CIW80_20865,1
CIW80_20870,1
CIW80_20875,1
CIW80_20880,1
CIW80_20915,0
CIW80_20920,1
CIW80_20925,0
CIW80_20935,1
CIW80_20950,0
CIW80_20955,0
CIW80_20960,0
CIW80_20965,1
CIW80_20970,0
CIW80_20975,1
CIW80_20980,1
CIW80_20985,1
CIW80_20990,1
CIW80_20995,1
CIW80_21035,1
CIW80_21040,1
CIW80_21045,1
CIW80_21070,1
CIW80_21075,1
CIW80_21080,1
CIW80_21085,1
CIW80_21090,1
CIW80_21095,1
CIW80_21125,1
CIW80_21135,1
CIW80_21150,0
CIW80_21170,1
CIW80_21180,1
CIW80_21195,0
CIW80_21210,1
CIW80_21215,0
CIW80_21225,0
CIW80_01700,1
CIW80_21240,1
CIW80_21245,1
CIW80_21250,1
CIW80_21255,1
CIW80_21260,1
CIW80_21275,0
CIW80_21300,1
CIW80_21345,1
CIW80_21350,1
CIW80_21360,1
CIW80_21365,1
CIW80_21370,1
CIW80_21425,1
CIW80_21445,0
CIW80_21465,1
CIW80_21470,1
CIW80_21475,1
CIW80_21495,1
CIW80_21500,1
CIW80_21505,1
CIW80_21530,1
CIW80_21570,0
CIW80_21585,1
CIW80_21590,1
CIW80_21595,1
CIW80_21600,1
CIW80_21605,1
CIW80_21610,1
CIW80_21615,1
CIW80_21620,1
CIW80_14775,1
None,1
CIW80_21635,0
CIW80_21640,1
CIW80_21725,0
CIW80_21730,1
CIW80_21735,1
CIW80_21750,1
CIW80_21755,1
CIW80_21760,1
CIW80_21765,1
CIW80_21770,1
CIW80_21775,1
CIW80_21805,1
CIW80_21810,1
CIW80_21815,1
CIW80_21820,1
CIW80_21825,1
CIW80_21865,1
CIW80_21870,0
CIW80_21875,1
CIW80_21880,1
CIW80_21885,1
CIW80_21900,1
CIW80_21910,1
CIW80_21915,1
CIW80_21920,1
CIW80_21940,1
CIW80_22020,1
CIW80_22035,1
CIW80_22040,1
CIW80_22045,1
CIW80_22050,1
CIW80_22070,1
CIW80_22105,1
CIW80_22115,1
CIW80_22130,1
CIW80_22135,1
CIW80_22140,1
CIW80_22145,1
CIW80_22150,1
CIW80_22155,1
CIW80_22160,1
CIW80_22165,1
CIW80_22190,1
CIW80_22200,1
CIW80_22210,1
CIW80_22215,1
CIW80_22225,1
CIW80_22250,1
CIW80_22280,1
CIW80_22285,1
