ncbiprotein,abundance
AXY47677.1,7596
AXY45560.1,2456
AXY46266.1,2859
AXY47672.1,5815
AXY48870.1,4851
AXY46903.1,51584
AXY47581.1,4445
AXY48412.1,4615
AXY46850.1,33338
AXY47049.1,3633
AXY45476.1,469
AXY47550.1,5703
AXY48246.1,1706
AXY44378.1,3501
AXY46612.1,4939
AXY47673.1,9057
AXY47036.1,2199
AXY48720.1,33670
AXY46819.1,24156
AXY48440.1,1296
AXY44591.1,8902
AXY47100.1,28173
AXY44529.1,1352
AXY48505.1,128
AXY44645.1,1180
AXY45443.1,10158
AXY46229.1,8325
AXY47015.1,496
AXY47015.1,6
AXY45344.1,1148
AXY47120.1,4601
AXY48244.1,2083
AXY47183.1,995
AXY44617.1,1158
AXY45515.1,3870
AXY45881.1,40039
AXY44675.1,6343
AXY45554.1,24510
AXY49174.1,5755
AXY47099.1,4393
AXY45329.1,934
AXY45720.1,3011
AXY44697.1,47083
AXY47095.1,2728
AXY46796.1,613
AXY48903.1,595
AXY45332.1,935
AXY46958.1,17828
AXY47625.1,2711
AXY47625.1,13
AXY46654.1,589
AXY46654.1,116
AXY45165.1,608
AXY46025.1,282
AXY48240.1,9671
AXY48146.1,2435
AXY48458.1,119680
AXY46816.1,4025
AXY46816.1,1
AXY45286.1,560
AXY45540.1,13683
AXY46472.1,135
AXY46821.1,14552
AXY45721.1,3317
AXY45903.1,12499
AXY45516.1,11237
AXY48059.1,2769
AXY45068.1,14100
AXY45180.1,3223
AXY46515.1,22968
AXY47103.1,421
AXY47103.1,151
AXY46283.1,53138
AXY47711.1,873
AXY45880.1,20049
AXY45441.1,73308
AXY45715.1,1520
AXY46940.1,173
AXY48220.1,1344
AXY47556.1,10629
AXY47381.1,1076
AXY47552.1,14609
AXY47674.1,12596
AXY47921.1,1474
AXY47129.1,2142
AXY47367.1,8888
AXY46848.1,1199
AXY45187.1,575
AXY47605.1,523
AXY45429.1,2561
AXY45164.1,157
AXY45129.1,4939
AXY48687.1,2775
AXY48648.1,4485
AXY47053.1,2883
AXY48197.1,1154
AXY48436.1,6985
AXY48248.1,6213
AXY48249.1,6924
AXY46303.1,1810
AXY45368.1,13467
AXY47851.1,86
AXY45128.1,1413
AXY47294.1,6863
AXY45740.1,960
AXY48889.1,1090
AXY46267.1,2965
AXY46763.1,1823
AXY44439.1,528
AXY48245.1,2481
AXY46678.1,2656
AXY48111.1,356
AXY46099.1,4884
AXY47744.1,3825
AXY49094.1,192
AXY45365.1,737
AXY48416.1,18150
AXY45477.1,1446
AXY46634.1,260
AXY44766.1,1234
AXY47118.1,3720
AXY45602.1,1416
AXY44881.1,11402
AXY48247.1,5252
AXY46449.1,1147
AXY48121.1,374
AXY48317.1,202
AXY47814.1,601
AXY44654.1,3939
AXY45739.1,36150
AXY45895.1,3883
AXY47531.1,2764
AXY45533.1,3155
AXY47926.1,470
AXY47057.1,445
AXY46065.1,1052
AXY48124.1,43
AXY48034.1,2423
AXY48437.1,24017
AXY48916.1,5014
AXY47132.1,903
AXY46464.1,274
AXY47004.1,1448
AXY46662.1,570
AXY46836.1,5038
AXY48716.1,1933
AXY46411.1,3919
AXY47623.1,2763
AXY48887.1,5377
AXY45862.1,337
AXY47029.1,343
AXY48187.1,4936
AXY46556.1,986
AXY45330.1,393
AXY46684.1,2898
AXY45451.1,3914
AXY45267.1,33621
AXY46683.1,172
AXY47530.1,1012
AXY44768.1,1902
AXY47007.1,7438
AXY46232.1,1087
AXY44733.1,2291
AXY48047.1,5283
AXY48265.1,6678
AXY45899.1,1295
AXY47035.1,4385
AXY47508.1,274
AXY45624.1,718
AXY48695.1,662
AXY47927.1,93
AXY49147.1,988
AXY48867.1,1619
AXY48841.1,2645
AXY45592.1,296
AXY47062.1,676
AXY45872.1,11353
AXY45130.1,2160
AXY48279.1,1802
AXY44763.1,2379
AXY46488.1,13769
AXY45625.1,599
AXY46501.1,172
AXY47867.1,944
AXY47866.1,680
AXY48003.1,2616
AXY48493.1,501
AXY46385.1,3413
AXY46817.1,409
AXY48110.1,2333
AXY45525.1,590
AXY48439.1,593
AXY45861.1,369
AXY47529.1,135
AXY46921.1,1726
AXY45502.1,23305
AXY49171.1,7428
AXY47050.1,2145
AXY47258.1,110
AXY47725.1,10996
AXY45058.1,4025
AXY47861.1,2408
AXY47628.1,441
AXY45355.1,10759
AXY45343.1,3062
AXY44528.1,498
AXY46820.1,2307
AXY46986.1,13
AXY45653.1,6890
AXY46066.1,328
AXY47758.1,29884
AXY46245.1,650
AXY46863.1,1009
AXY46863.1,41
AXY45438.1,290
AXY45654.1,550
AXY47715.1,2909
AXY46929.1,929
AXY47991.1,298
AXY47683.1,43
AXY46663.1,725
AXY45478.1,754
AXY48825.1,66
AXY48202.1,266
AXY47094.1,2115
AXY48447.1,1545
AXY46830.1,1766
AXY47579.1,3082
AXY49084.1,140
AXY47154.1,1770
AXY48323.1,6759
AXY44520.1,1938
AXY44519.1,2977
AXY46622.1,1788
AXY46118.1,802
AXY48033.1,282
AXY48275.1,757
AXY48145.1,58487
AXY45496.1,7595
AXY48400.1,4439
AXY48171.1,1349
AXY47539.1,80
AXY48677.1,2120
AXY47994.1,198
AXY48267.1,1240
AXY48266.1,12056
AXY47528.1,1162
AXY45492.1,8188
AXY47930.1,3065
AXY45603.1,2076
AXY45864.1,662
AXY48886.1,4387
AXY47580.1,9256
