gene_ID, Mean
CIW80_02630, 16.99
CIW80_02145, 18.74
CIW80_02635, 15.31
CIW80_02140, 26.14
CIW80_21130, 1417.03
CIW80_08625, 0
CIW80_03720, 0
CIW80_04110, 40.51
CIW80_03725, 0
CIW80_08620, 0.87
CIW80_04115, 128.35
CIW80_17970, 13.29
CIW80_07260, 4.16
CIW80_16660, 26.05
CIW80_07465, 3.42
CIW80_07265, 21.73
CIW80_21510, 0
CIW80_16665, 44.08
CIW80_19345, 1.46
CIW80_11460, 51.84
CIW80_04280, 7.36
CIW80_11465, 4.25
CIW80_04285, 7.03
CIW80_18985, 0.67
CIW80_20015, 68.22
CIW80_00960, 0.8
CIW80_20010, 57.87
CIW80_07460, 124.21
CIW80_00965, 0
CIW80_19925, 2.23
CIW80_11660, 8.68
CIW80_19920, 26.81
CIW80_11665, 1129.3
CIW80_24250, 0
CIW80_24380, 2.31
CIW80_25380, 234.64
CIW80_24700, 0
CIW80_25385, 16.48
CIW80_02705, 42.79
CIW80_23810, 2
CIW80_08020, 22.89
CIW80_02700, 43.88
CIW80_07305, 0
CIW80_08025, 68.94
CIW80_20725, 2.11
CIW80_06020, 11.81
CIW80_24030, 132.78
CIW80_06025, 3.6
CIW80_07755, 26.32
CIW80_16745, 0.61
CIW80_02030, 11.26
CIW80_23935, 17.19
CIW80_10650, 4.63
CIW80_23930, 1015.73
CIW80_02035, 9.8
CIW80_02525, 1.64
CIW80_02520, 4.37
CIW80_03035, 3.88
CIW80_09510, 29.48
CIW80_21600, 1822.68
CIW80_07300, 0.67
CIW80_03030, 7.32
CIW80_18205, 5.84
CIW80_21605, 2452.72
CIW80_07395, 0.48
CIW80_07390, 3.2
CIW80_20535, 13.28
CIW80_04845, 0
CIW80_23360, 0.42
CIW80_04840, 1.33
CIW80_19850, 6.24
CIW80_09455, 214.33
CIW80_19580, 0
CIW80_21515, 112.13
CIW80_19855, 8.8
CIW80_25310, 3.33
CIW80_15950, 2.33
CIW80_24630, 3.43
CIW80_18850, 10.83
CIW80_24635, 0.85
CIW80_18475, 6.54
CIW80_22475, 220.11
CIW80_06285, 37.34
CIW80_00005, 49.44
CIW80_12760, 248.96
CIW80_12815, 20.76
CIW80_06280, 6.28
CIW80_12765, 95.02
CIW80_01425, 14.32
CIW80_01420, 73.02
CIW80_25280, 4.45
CIW80_09450, 119.29
CIW80_06735, 0
CIW80_23815, 11.26
CIW80_06730, 71.57
CIW80_19455, 7.58
CIW80_02450, 6.46
CIW80_22880, 3.93
CIW80_07645, 16.9
CIW80_22885, 5.97
CIW80_02455, 4.48
CIW80_07640, 1.06
CIW80_18545, 25.27
CIW80_19095, 1.92
CIW80_16980, 6.12
CIW80_20640, 12.34
CIW80_07480, 104.67
CIW80_17075, 25.14
CIW80_12365, 20.59
CIW80_22970, 1352.28
CIW80_07485, 148.87
CIW80_12360, 95.68
CIW80_16205, 2.56
CIW80_16985, 1.16
CIW80_00435, 1.81
CIW80_08835, 15.79
CIW80_19630, 74.73
CIW80_19515, 0
CIW80_12105, 350.66
CIW80_01395, 100.5
CIW80_01390, 3.01
CIW80_12100, 34.87
CIW80_00430, 0
CIW80_01550, 6.01
CIW80_01880, 0
CIW80_15050, 96.21
CIW80_01555, 3.75
CIW80_01885, 0
CIW80_06600, 2.08
CIW80_06350, 64.68
CIW80_06605, 5.85
CIW80_23240, 47.58
CIW80_06355, 22.18
CIW80_18980, 3.03
CIW80_09505, 0.77
CIW80_15025, 5.63
CIW80_07730, 51.35
CIW80_10535, 0.9
CIW80_07735, 24.2
CIW80_24145, 31.61
CIW80_17100, 25.65
CIW80_13560, 65.44
CIW80_15535, 55.37
CIW80_13565, 13.97
CIW80_19655, 0.85
CIW80_12560, 17.41
CIW80_15975, 0
CIW80_12565, 9.63
CIW80_15970, 2.21
CIW80_01955, 5.21
CIW80_01950, 8.44
CIW80_15020, 3.02
CIW80_13210, 2.4
CIW80_13740, 10.43
CIW80_13965, 0.2
CIW80_13215, 0
CIW80_13960, 14.18
CIW80_13745, 6.92
CIW80_17220, 1.54
CIW80_01080, 165.62
CIW80_12610, 0
CIW80_17225, 1.14
CIW80_12615, 1.11
CIW80_01085, 82.6
CIW80_01775, 3.11
CIW80_15390, 12.67
CIW80_14450, 148.94
CIW80_01770, 2.42
CIW80_18820, 29.91
CIW80_18295, 1.03
CIW80_12580, 31.68
CIW80_12585, 21.39
CIW80_03800, 1.37
CIW80_22465, 157.07
CIW80_03805, 0
CIW80_22460, 31.15
CIW80_06515, 11.2
CIW80_09850, 24.2
CIW80_19760, 69.86
CIW80_13690, 15.66
CIW80_06510, 148.43
CIW80_14005, 34.38
CIW80_13365, 55.78
CIW80_15510, 0
CIW80_15800, 3.35
CIW80_13360, 5
CIW80_18110, 1.11
CIW80_15805, 3.49
CIW80_10320, 109.41
CIW80_09650, 3.48
CIW80_15750, 8.91
CIW80_10325, 6.58
CIW80_24315, 9.23
CIW80_15755, 7.88
CIW80_10985, 216.96
CIW80_14330, 25.09
CIW80_10980, 15.66
CIW80_14335, 260.07
CIW80_09160, 1.81
CIW80_11540, 17.75
CIW80_25735, 99.08
CIW80_09165, 1.34
CIW80_08750, 118.52
CIW80_09530, 17.63
CIW80_22725, 26.77
CIW80_01175, 33.78
CIW80_22720, 23.29
CIW80_17530, 2847.95
CIW80_01170, 151.98
CIW80_17280, 5.15
CIW80_23225, 23.72
CIW80_09360, 16.79
CIW80_23630, 0.32
CIW80_09365, 54.46
CIW80_17325, 62.29
CIW80_01370, 3.22
CIW80_08755, 1.65
CIW80_23540, 13.35
CIW80_15395, 8.47
CIW80_01375, 1.03
CIW80_19225, 9.54
CIW80_13180, 11.86
CIW80_03935, 16.48
CIW80_17730, 2.27
CIW80_03930, 114.44
CIW80_13185, 2.13
CIW80_23450, 1.6
CIW80_17320, 11
CIW80_17000, 1.59
CIW80_05415, 144.49
CIW80_07035, 7.47
CIW80_21285, 63.89
CIW80_05410, 47.34
CIW80_21280, 88.21
CIW80_09490, 1.3
CIW80_10080, 156.94
CIW80_11120, 135.14
CIW80_13875, 210.75
CIW80_10435, 24.97
CIW80_17085, 35.17
CIW80_22095, 7.36
CIW80_10430, 138.49
CIW80_22090, 22.79
CIW80_22440, 3.7
CIW80_14750, 17.56
CIW80_09495, 1.24
CIW80_19105, 0
CIW80_09655, 5.28
CIW80_14755, 3.93
CIW80_19100, 0
CIW80_02995, 10.09
CIW80_05090, 1.3
CIW80_18455, 0.18
CIW80_22910, 0
CIW80_05095, 2.44
CIW80_02990, 10.64
CIW80_25600, 19.35
CIW80_00130, 134.78
CIW80_13980, 7.15
CIW80_23700, 0
CIW80_24035, 25.89
CIW80_23705, 4.93
CIW80_13985, 15.26
CIW80_17080, 31.67
CIW80_05700, 0.18
CIW80_05250, 13.9
CIW80_05705, 15.61
CIW80_05255, 48.63
CIW80_23285, 3.38
CIW80_00135, 31.69
CIW80_23320, 0
CIW80_17430, 19.17
CIW80_09710, 5.31
CIW80_25555, 1.4
CIW80_04070, 0.42
CIW80_08295, 3.22
CIW80_11870, 2.07
CIW80_11695, 0
CIW80_08290, 1.69
CIW80_04075, 1.33
CIW80_11690, 0.26
CIW80_11875, 3.83
CIW80_15370, 206.44
CIW80_00775, 0.94
CIW80_05070, 1.68
CIW80_15375, 3.56
CIW80_22560, 4.9
CIW80_05075, 4.62
CIW80_00770, 7.09
CIW80_11050, 960.88
CIW80_15590, 1114.84
CIW80_21140, 32.63
CIW80_11055, 362.25
CIW80_14520, 2.9
CIW80_05890, 10.67
CIW80_22380, 0.9
CIW80_09715, 3.84
CIW80_05895, 2.67
CIW80_13695, 0.5
CIW80_10055, 258.32
CIW80_17105, 0.89
CIW80_19070, 1.34
CIW80_08565, 4.41
CIW80_08560, 12.81
CIW80_07005, 22.33
CIW80_02860, 82.26
CIW80_25770, 69.69
CIW80_22565, 39.26
CIW80_04470, 43.06
CIW80_23835, 33.14
CIW80_25775, 0.17
CIW80_08360, 46.41
CIW80_25460, 13.85
CIW80_07410, 287.26
CIW80_08365, 1.99
CIW80_23415, 1.98
CIW80_07000, 36.94
CIW80_09270, 10.11
CIW80_09180, 1.8
CIW80_23410, 0.49
CIW80_09185, 3.77
CIW80_03440, 16.53
CIW80_25150, 2099.62
CIW80_00590, 4.51
CIW80_04610, 118.59
CIW80_07415, 40.25
CIW80_00595, 6.09
CIW80_25155, 146.69
CIW80_08580, 16.14
CIW80_03150, 0
CIW80_08585, 59.83
CIW80_03155, 0
CIW80_03485, 1.11
CIW80_00600, 3.49
CIW80_03480, 0.95
CIW80_20140, 7.95
CIW80_00605, 7.92
CIW80_00355, 11.91
CIW80_21465, 165.34
CIW80_00350, 17.27
CIW80_21460, 50.68
CIW80_03445, 29.84
CIW80_18620, 71.34
CIW80_20395, 26.25
CIW80_23665, 2.57
CIW80_18625, 216.33
CIW80_20390, 129.12
CIW80_10615, 116.09
CIW80_07815, 4.26
CIW80_15595, 2.18
CIW80_10610, 19.14
CIW80_22270, 24.86
CIW80_07810, 5.05
CIW80_24555, 4.22
CIW80_08105, 23.28
CIW80_03555, 25.77
CIW80_08100, 20.77
CIW80_24550, 4.5
CIW80_03550, 4.58
CIW80_11330, 30.37
CIW80_22070, 1.71
CIW80_05670, 5.97
CIW80_00285, 0
CIW80_05675, 0
CIW80_16435, 15.16
CIW80_00280, 0
CIW80_02605, 98.26
CIW80_08630, 1.6
CIW80_02600, 22.91
CIW80_08635, 6.63
CIW80_04100, 1.24
CIW80_11335, 6.48
CIW80_19350, 3.44
CIW80_03735, 0
CIW80_04105, 17.6
CIW80_03730, 0
CIW80_07255, 5.52
CIW80_14980, 330.08
CIW80_16615, 1217.66
CIW80_22260, 46.96
CIW80_14985, 146.24
CIW80_07250, 23.41
CIW80_16610, 1996.67
CIW80_04290, 35.82
CIW80_16060, 3.22
CIW80_18990, 1.99
CIW80_11475, 2.75
CIW80_20025, 12.81
CIW80_04295, 0.74
CIW80_11470, 1.5
CIW80_18995, 0
CIW80_10790, 8.31
CIW80_00915, 8.78
CIW80_19660, 0
CIW80_19915, 64.55
CIW80_21565, 1.89
CIW80_19665, 34.02
CIW80_00910, 1.36
CIW80_11670, 3.85
CIW80_24730, 93.05
CIW80_24735, 0.89
CIW80_11675, 0.13
CIW80_15820, 1.67
CIW80_25390, 8.16
CIW80_02730, 0
CIW80_07920, 12.51
CIW80_02735, 26.28
CIW80_25395, 32.15
CIW80_07925, 5.96
CIW80_08030, 3.38
CIW80_20070, 298.02
CIW80_08745, 28.55
CIW80_08035, 0
CIW80_08740, 13.61
CIW80_10795, 17.24
CIW80_25675, 28.36
CIW80_24045, 41.75
CIW80_06035, 10.03
CIW80_21375, 3.33
CIW80_06030, 82.77
CIW80_24040, 19.01
CIW80_02510, 10.7
CIW80_02045, 9.15
CIW80_15325, 94.42
CIW80_02515, 7.16
CIW80_13155, 13.38
CIW80_09400, 21.75
CIW80_02040, 7.04
CIW80_18210, 0.39
