index,#plate_id,well_id,chemical,category,moa,co_id,EcNissle,EcNissle_gt3,MNXM,bigg,exchange,EcNissle_model_growth_rate,EcNissle_biolog_growth,EcNissle_model_growth,EcNissle_Prediction
PM01_A01,PM01,A01,Negative Control,Negative control,Negative control,,0.0,0,#,#,#,#,No Growth,#,#
PM01_A02,PM01,A02,L-Arabinose,carbon,"C-Source, carbohydrate",C00259,8.0,1,MNXM461,arab__L,EX_arab__L_e,0.4629666066816291,Growth,Growth,TP
PM01_A03,PM01,A03,N-Acetyl-D-Glucosamine,carbon,"C-Source, carbohydrate",C00140,8.0,1,MNXM143,acgam,EX_acgam_e,0.9927726153601878,Growth,Growth,TP
PM01_A04,PM01,A04,D-Saccharic acid,carbon,"C-Source, carboxylic acid",C00818,8.66666666667,1,MNXM744,glcr,EX_glcr_e,0.46296660668162953,Growth,Growth,TP
PM01_A05,PM01,A05,Succinic acid,carbon,"C-Source, carboxylic acid",C00042,8.66666666667,1,MNXM25,succ,EX_succ_e,0.4629666066808104,Growth,Growth,TP
PM01_A06,PM01,A06,D-Galactose,carbon,"C-Source, carbohydrate",C00124,7.66666666667,1,MNXM390,gal,EX_gal_e,0.46296660668163137,Growth,Growth,TP
PM01_A07,PM01,A07,L-Aspartic acid,carbon,"C-Source, amino acid",C00049,8.66666666667,1,MNXM42,asp__L,EX_asp__L_e,0.7638063417459414,Growth,Growth,TP
PM01_A08,PM01,A08,L-Proline,carbon,"C-Source, amino acid",C00148,8.66666666667,1,MNXM114,pro__L,EX_pro__L_e,0.5946053449447224,Growth,Growth,TP
PM01_A09,PM01,A09,D-Alanine,carbon,"C-Source, amino acid",C00133,8.0,1,MNXM156,ala__D,EX_ala__D_e,0.640321173678992,Growth,Growth,TP
PM01_A10,PM01,A10,D-Trehalose,carbon,"C-Source, carbohydrate",C01083,8.66666666667,1,MNXM198,tre,EX_tre_e,0.46296660668161466,Growth,Growth,TP
PM01_A11,PM01,A11,D-Mannose,carbon,"C-Source, carbohydrate",C00159,8.0,1,MNXM182,man,EX_man_e,0.4629666066816174,Growth,Growth,TP
PM01_A12,PM01,A12,Dulcitol,carbon,"C-Source, carbohydrate",C01697,6.0,1,MNXM1233,galt,EX_galt_e,0.46296660668163064,Growth,Growth,TP
PM01_B01,PM01,B01,D-Serine,carbon,"C-Source, amino acid",C00740,8.66666666667,1,MNXM694,ser__D,EX_ser__D_e,0.6279965083887961,Growth,Growth,TP
PM01_B02,PM01,B02,D-Sorbitol,carbon,"C-Source, carbohydrate",C00794,8.33333333333,1,MNXM469,sbt__D,EX_sbt__D_e,0.46296660668155587,Growth,Growth,TP
PM01_B03,PM01,B03,Glycerol,carbon,"C-Source, carbohydrate",C00116,7.66666666667,1,MNXM89612,glyc,EX_glyc_e,0.462966606681624,Growth,Growth,TP
PM01_B04,PM01,B04,L-Fucose,carbon,"C-Source, carbohydrate",C01019,7.66666666667,1,MNXM659,fuc__L_e,EX_fuc__L_e,0.46296660668161205,Growth,Growth,TP
PM01_B05,PM01,B05,D-Glucuronic acid,carbon,"C-Source, carboxylic acid",C00191,9.0,1,MNXM241,glcur,EX_glcur_e,0.4629666066816232,Growth,Growth,TP
PM01_B06,PM01,B06,D-Gluconic acid,carbon,"C-Source, carboxylic acid",C00257,9.0,1,MNXM341,glcn__D,EX_glcn___e,#,Growth,#,#
PM01_B07,PM01,B07,DL-a-Glycerol Phosphate,carbon,"C-Source, carbohydrate",C00093,7.66666666667,1,MNXM66,glyc3p,EX_glyc3p_e,0.4629666066816123,Growth,Growth,TP
PM01_B08,PM01,B08,D-Xylose,carbon,"C-Source, carbohydrate",C00181,8.66666666667,1,MNXM348,xyl__D,EX_xyl__D_e,0.462966606681626,Growth,Growth,TP
PM01_B09,PM01,B09,L-Lactic acid,carbon,"C-Source, carboxylic acid",C01432,8.0,1,MNXM3041,lac__L,EX_lac__L_e,0.4629666066816188,Growth,Growth,TP
PM01_B10,PM01,B10,Formic acid,carbon,"C-Source, carboxylic acid",C00058,0.333333333333,0,MNXM39,for,EX_for_e,0.025953671031362938,No Growth,Growth,FP
PM01_B11,PM01,B11,D-Mannitol,carbon,"C-Source, carbohydrate",C00392,7.66666666667,1,MNXM615,mnl,EX_mnl_e,0.4629666066816257,Growth,Growth,TP
PM01_B12,PM01,B12,L-Glutamic acid,carbon,"C-Source, amino acid",C00025,7.66666666667,1,MNXM89557,glu__L,EX_glu__L_e,0.7816166697936343,Growth,Growth,TP
PM01_C01,PM01,C01,D-Glucose-6-Phosphate,carbon,"C-Source, carbohydrate",C00092,9.0,1,MNXM160,g6p,EX_g6p_e,0.46296660668101175,Growth,Growth,TP
PM01_C02,PM01,C02,D-Galactonic acid-g-Lactone,carbon,"C-Source, carboxylic acid",C03383,8.33333333333,1,MNXM3005,gal14lac,EX_gal14lac_e,#,Growth,#,#
PM01_C03,PM01,C03,DL-Malic acid,carbon,"C-Source, carboxylic acid",C00497,8.0,1,MNXM1608,mal__D,EX_mal__D_e,0.46296660668165274,Growth,Growth,TP
PM01_C04,PM01,C04,D-Ribose,carbon,"C-Source, carbohydrate",C00121,8.66666666667,1,MNXM242,rib__D,EX_rib__D_e,0.46296660668162787,Growth,Growth,TP
PM01_C05,PM01,C05,Tween 20,carbon,"C-Source, fatty acid",C11624,6.33333333333,1,#,MNXM88333,EX_MNXM88333_e,#,Growth,#,#
PM01_C06,PM01,C06,L-Rhamnose,carbon,"C-Source, carbohydrate",C00507,7.33333333333,1,MNXM2967,rmn,EX_rmn_e,0.46296660668163603,Growth,Growth,TP
PM01_C07,PM01,C07,D-Fructose,carbon,"C-Source, carbohydrate",C00095,8.66666666667,1,MNXM175,fru,EX_fru_e,0.4629666066816268,Growth,Growth,TP
PM01_C08,PM01,C08,Acetic acid,carbon,"C-Source, carboxylic acid",C00033,7.33333333333,1,MNXM26,ac,EX_ac_e,0.42852389610494374,Growth,Growth,TP
PM01_C09,PM01,C09,a-D-Glucose,carbon,"C-Source, carbohydrate",C00031,7.66666666667,1,MNXM41,glc__D,EX_glc__D_e,0.46296660668159806,Growth,Growth,TP
PM01_C10,PM01,C10,Maltose,carbon,"C-Source, carbohydrate",C00208,7.66666666667,1,MNXM165,malt,EX_malt_e,0.4629666066816265,Growth,Growth,TP
PM01_C11,PM01,C11,D-Melibiose,carbon,"C-Source, carbohydrate",C05402,7.66666666667,1,MNXM1434,melib,EX_melib_e,0.4629666066816303,Growth,Growth,TP
PM01_C12,PM01,C12,Thymidine,carbon,"C-Source, carbohydrate",C00214,8.66666666667,1,MNXM420,thymd,EX_thymd_e,0.4652208780337135,Growth,Growth,TP
PM01_D01,PM01,D01,L-Asparagine,carbon,"C-Source, amino acid",C00152,8.66666666667,1,MNXM147,asn__L,EX_asn__L_e,0.7664578277399869,Growth,Growth,TP
PM01_D02,PM01,D02,D-Aspartic acid,carbon,"C-Source, amino acid",C00402,0.666666666667,0,MNXM974,asp__D,EX_asp__D_e,#,No Growth,#,#
PM01_D03,PM01,D03,D-Glucosaminic acid,carbon,"C-Source, carboxylic acid",C03752,2.0,0,MNXM2469,#,EX_MNXM2469_e,#,No Growth,#,#
PM01_D04,PM01,D04,"1,2-Propanediol",carbon,"C-Source, alcohol",C00583,1.33333333333,0,MNXM1118,#,EX_MNXM1118_e,#,No Growth,#,#
PM01_D05,PM01,D05,Tween 40,carbon,"C-Source, fatty acid",,3.66666666667,1,#,MNXM88334,EX_MNXM88334_e,#,Growth,#,#
PM01_D06,PM01,D06,a-Ketoglutaric acid,carbon,"C-Source, carboxylic acid",C00026,6.66666666667,1,MNXM20,akg,EX_akg_e,0.462966606681634,Growth,Growth,TP
