,Metabolite,Coefficient
0,cys__L_c,-0.046655642921
1,adp_c,73.0398204748
2,met__L_c,-0.102516628727
3,dttp_c,-0.0252649955942
4,atp_c,-73.1966471829
5,trp__L_c,-0.0305226597774
6,arg__L_c,-0.154004406155
7,val__L_c,-0.423632654133
8,dctp_c,-0.0272058857332
9,asn__L_c,-0.19880110658
10,lys__L_c,-0.25290101506
11,dgtp_c,-0.0238880986417
12,pg161_p,-0.013732749319
13,pe160_p,-0.0598423367039
14,pg160_p,-0.0148265788551
15,gtp_c,-0.161942313733
16,thr__L_c,-0.302212199439
17,his__L_c,-0.0784666222129
18,ala__L_c,-0.805175427274
19,ser__L_c,-0.318148085103
20,asp__L_c,-0.292003886958
21,ctp_c,-0.167056932006
22,h2o_c,-67.5693569407
23,ppi_c,0.740658462584
24,tyr__L_c,-0.0999231006393
25,glu__L_c,-0.28310166928
26,gln__L_c,-0.165158817713
27,phe__L_c,-0.129661822338
28,gly_c,-0.825974589555
29,datp_c,-0.0245355800877
30,pe161_p,-0.0307107432574
31,pro__L_c,-0.237855456438
32,h_c,73.0398204748
33,ile__L_c,-0.291645417058
34,pi_c,73.0398204748
35,utp_c,-0.153937948677
36,pe181_p,-0.0132509524519
37,leu__L_c,-0.432102326761
38,pg181_p,-0.00909808994019
