,Metabolites,Coefficients
0,cys__L_c,-0.046655642921
1,h2o_c,-67.5693569407
2,mobd_c,-0.0115785897241
3,pg161_p,-0.013732749319
4,fe2_c,-0.0331605667804
5,pe181_p,-0.0132509524519
6,glu__L_c,-0.28310166928
7,na1_c,-0.0805511256464
8,ni2_c,-0.0315512792214
9,utp_c,-0.153937948677
10,pe160_p,-0.0598423367039
11,fe3_c,-0.0331605667804
12,arg__L_c,-0.154004406155
13,h_c,73.0398204748
14,ctp_c,-0.167056932006
15,zn2_c,-0.0283118814208
16,mg2_c,-0.0761922177269
17,trp__L_c,-0.0305226597774
18,val__L_c,-0.423632654133
19,cobalt2_c,-0.031422896633
20,atp_c,-73.1966471829
21,datp_c,-0.0245355800877
22,pyr_c,-0.0212724205569
23,pro__L_c,-0.237855456438
24,so4_c,-0.0192775528858
25,ser__L_c,-0.318148085103
26,dgtp_c,-0.0238880986417
27,coa_c,-0.00242546970592
28,nad_c,-0.00279559763558
29,thr__L_c,-0.302212199439
30,nadh_c,-0.00279135029149
31,gly_c,-0.825974589555
32,leu__L_c,-0.432102326761
33,lys__L_c,-0.25290101506
34,ca2_c,-0.0462061942176
35,phe__L_c,-0.129661822338
36,ala__L_c,-0.805175427274
37,ile__L_c,-0.291645417058
38,amp_c,-0.00536449362715
39,met__L_c,-0.102516628727
40,cl_c,-0.0522339957649
41,pg181_p,-0.00909808994019
42,dttp_c,-0.0252649955942
43,nh4_c,-0.102661305447
44,gln__L_c,-0.165158817713
45,cu2_c,-0.0291419106136
46,glyc3p_c,-0.0108895411171
47,nadp_c,-0.0025012140967
48,nadph_c,-0.00249781362365
49,asp__L_c,-0.292003886958
50,adp_c,73.0398204748
51,asn__L_c,-0.19880110658
52,pg160_p,-0.0148265788551
53,dctp_c,-0.0272058857332
54,his__L_c,-0.0784666222129
55,tyr__L_c,-0.0999231006393
56,ppi_c,0.740658462584
57,gtp_c,-0.161942313733
58,k_c,-0.0473639992494
59,pi_c,73.0398204748
60,pe161_p,-0.0307107432574
61,mn2_c,-0.0337080017503
