Exchange reaction,Carbon source,Growth rate
EX_arab__L_e,L-Arabinose exchange,1.1452274762420593
EX_fuc__L_e,L-Fucose exchange,0.9914583418195783
EX_gal_e,D-Galactose exchange,1.242165640812974
EX_glcn_e,D-Gluconate exchange,1.2174085418065286
EX_man_e,D-Mannose exchange,1.2906347230985855
EX_acgal_e,N-Acetyl-D-galactosamine exchange,1.3279043565944668
EX_acnam_e,N-Acetylneuraminate exchange,1.4858720357352115
EX_galur_e,D-Galacturonate exchange,1.1006292956818602
EX_xyl__D_e,D-Xylose exchange,0.9998202293855301
EX_ac_e,Acetate exchange,0.4740800475181328
EX_fru_e,D-Fructose exchange,1.2906347230985942
EX_mal__D_e,D-Malate exchange,0.7011025383438918
EX_mal__L_e,L-Malate exchange,0.8756989690679953
EX_malt_e,Maltose exchange,1.8434884272589072
EX_rib__D_e,D-Ribose exchange,0.9998202293855313
EX_glcur_e,D-Glucuronate exchange,1.1006292956818629
EX_lcts_e,Lactose exchange,1.7931583948449714
EX_acgam_e,N-Acetyl-D-glucosamine exchange,1.3403314811053957
EX_rmn_e,L-Rhamnose exchange,0.9914583418210097
EX_sbt__D_e,D-Sorbitol exchange,1.2395280382912857
EX_arg__L_e,L-Arginine exchange,0.9576600020672056
