,U00096,binary_an,binary_ae,diff,K12_growth,difference
CIW80_00015,b1415,1,1,0,1,0
CIW80_00090,b1430,1,1,0,1,0
CIW80_00130,b1440,1,1,0,1,0
CIW80_00135,b1441,1,1,0,1,0
CIW80_00140,b1442,1,1,0,1,0
CIW80_00145,b1443,1,1,0,1,0
CIW80_00150,b1444,1,1,0,1,0
CIW80_00180,b1448,1,1,0,1,0
CIW80_00220,b1453,1,1,0,1,0
CIW80_00305,b1463,1,1,0,1,0
CIW80_00315,b1465,1,1,0,1,0
CIW80_00320,b1466,1,1,0,1,0
CIW80_00325,b1467,1,1,0,1,0
CIW80_00330,b1468,1,1,0,1,0
CIW80_00335,b1469,1,1,0,1,0
CIW80_00340,b1473,1,1,0,1,0
CIW80_00350,b1474,1,1,0,1,0
CIW80_00355,b1475,1,1,0,1,0
CIW80_00360,b1476,1,1,0,1,0
CIW80_00375,b1478,1,1,0,1,0
CIW80_00380,b1479,1,1,0,1,0
CIW80_00405,b1489,1,1,0,1,0
CIW80_00420,b1492,1,1,0,1,0
CIW80_00425,b1493,1,1,0,1,0
CIW80_00530,b1519,1,1,0,1,0
CIW80_00545,b1521,1,1,0,1,0
CIW80_00570,b1524,1,1,0,1,0
CIW80_00575,b1525,1,1,0,1,0
CIW80_00590,b1528,1,1,0,1,0
CIW80_00645,b1533,1,1,0,1,0
CIW80_00660,b1535,1,1,0,1,0
CIW80_00685,b1539,1,1,0,1,0
CIW80_00735,b1584,1,1,0,1,0
CIW80_00750,b1587,1,1,0,1,0
CIW80_00755,b1588,1,1,0,1,0
CIW80_00760,b1589,1,1,0,1,0
CIW80_00765,b1590,1,1,0,1,0
CIW80_00775,b1592,1,1,0,1,0
CIW80_00820,b1599,1,1,0,1,0
CIW80_00825,b1600,1,1,0,1,0
CIW80_00835,b1601,1,1,0,1,0
CIW80_00840,b1602,1,1,0,1,0
CIW80_00845,b1603,1,1,0,1,0
CIW80_00860,b1605,1,1,0,1,0
CIW80_00865,b1606,1,1,0,1,0
CIW80_00890,b1611,1,1,0,1,0
CIW80_00895,b1612,1,1,0,1,0
CIW80_00900,b1613,1,1,0,1,0
CIW80_00915,b1616,1,1,0,1,0
CIW80_00920,b1617,1,1,0,1,0
CIW80_00930,b1619,1,1,0,1,0
CIW80_00940,b1621,1,1,0,1,0
CIW80_00945,b1622,1,1,0,1,0
CIW80_00950,b1623,1,1,0,1,0
CIW80_01020,b1634,1,1,0,1,0
CIW80_01030,b1636,1,1,0,1,0
CIW80_01040,b1638,1,1,0,1,0
CIW80_01050,b1640,1,1,0,1,0
CIW80_01080,b1646,1,1,0,1,0
CIW80_01105,b1651,1,1,0,1,0
CIW80_01125,b1654,1,1,0,1,0
CIW80_01130,b1655,1,1,0,1,0
CIW80_01135,b1656,1,1,0,1,0
CIW80_01170,b1661,1,1,0,1,0
CIW80_01175,b1662,0,0,0,0,0
CIW80_01245,b1676,1,1,0,1,0
CIW80_01250,b1677,1,1,0,1,0
CIW80_01255,b1678,1,1,0,1,0
CIW80_01260,b1679,1,1,0,1,0
CIW80_01265,b1680,1,1,0,1,0
CIW80_01270,b1681,1,1,0,1,0
CIW80_01275,b1682,1,1,0,1,0
CIW80_01280,b1683,1,1,0,1,0
CIW80_01285,b1684,1,1,0,1,0
CIW80_01295,b1686,1,1,0,1,0
CIW80_01330,b1692,1,1,0,1,0
CIW80_01335,b1693,0,0,0,0,0
CIW80_01340,b1694,1,1,0,1,0
CIW80_01345,b1695,1,1,0,1,0
CIW80_01380,b1701,1,1,0,1,0
CIW80_01385,b1702,1,1,0,1,0
CIW80_01400,b1704,1,1,0,1,0
CIW80_01425,b1709,1,1,0,1,0
CIW80_01430,b1710,1,1,0,1,0
CIW80_01435,b1711,1,1,0,1,0
CIW80_01495,b1723,1,1,0,1,0
CIW80_01515,b1727,1,1,0,1,0
CIW80_01535,b1732,1,1,0,1,0
CIW80_01540,b1733,1,1,0,1,0
CIW80_01545,b1734,1,1,0,1,0
CIW80_01555,b1736,1,1,0,1,0
CIW80_01560,b1737,1,1,0,1,0
CIW80_01565,b1738,1,1,0,1,0
CIW80_01580,b1740,0,0,0,0,0
CIW80_01600,b1744,1,1,0,1,0
CIW80_01605,b1745,1,1,0,1,0
CIW80_01610,b1746,1,1,0,1,0
CIW80_01615,b1747,1,1,0,1,0
CIW80_01620,b1748,1,1,0,1,0
CIW80_01680,b1759,1,1,0,1,0
CIW80_01690,b1761,1,1,0,1,0
CIW80_01715,b1764,1,1,0,1,0
CIW80_01740,b1767,1,1,0,1,0
CIW80_01745,b1768,1,1,0,1,0
CIW80_01760,b1771,1,1,0,1,0
CIW80_01795,b1778,1,1,0,1,0
CIW80_01800,b1779,1,1,0,1,0
CIW80_01810,b1781,1,1,0,1,0
CIW80_01875,b1794,1,1,0,1,0
CIW80_01905,b1798,1,1,0,1,0
CIW80_01920,b1805,1,1,0,1,0
CIW80_01955,b1812,0,0,0,0,0
CIW80_01960,b1813,1,1,0,1,0
CIW80_01965,b1814,1,1,0,1,0
CIW80_01990,b1817,1,1,0,1,0
CIW80_01995,b1818,1,1,0,1,0
CIW80_02000,b1819,1,1,0,1,0
CIW80_02015,b1821,1,1,0,1,0
CIW80_02080,b1832,1,1,0,1,0
CIW80_02165,b1849,1,1,0,1,0
CIW80_02170,b1850,1,1,0,1,0
CIW80_02175,b1851,1,1,0,1,0
CIW80_02180,b1852,1,1,0,1,0
CIW80_02190,b1854,1,1,0,1,0
CIW80_02195,b1855,1,1,0,1,0
CIW80_02200,b1856,1,1,0,1,0
CIW80_02205,b1857,1,1,0,1,0
CIW80_02210,b1858,1,1,0,1,0
CIW80_02215,b1859,1,1,0,1,0
CIW80_02250,b1865,1,1,0,1,0
CIW80_02565,b1870,1,1,0,1,0
CIW80_02575,b1872,1,1,0,1,0
CIW80_02580,b1873,1,1,0,1,0
CIW80_02685,b1896,1,1,0,1,0
CIW80_02690,b1897,1,1,0,1,0
CIW80_02695,b4460,1,1,0,1,0
CIW80_02700,b1900,1,1,0,1,0
CIW80_02705,b1901,1,1,0,1,0
CIW80_02750,b1907,1,1,0,1,0
CIW80_02775,b1912,1,1,0,1,0
CIW80_02800,b1917,1,1,0,1,0
CIW80_02805,b1918,1,1,0,1,0
CIW80_02810,b1919,1,1,0,1,0
CIW80_02815,b1920,1,1,0,1,0
CIW80_02855,b1927,1,1,0,1,0
CIW80_02910,b0543,1,1,0,1,0
CIW80_03055,b1967,1,1,0,1,0
CIW80_03325,b1981,1,1,0,1,0
CIW80_03330,b1982,1,1,0,1,0
CIW80_03365,b1985,1,1,0,1,0
CIW80_03510,b1990,1,1,0,1,0
CIW80_03515,b1991,1,1,0,1,0
CIW80_03520,b1992,1,1,0,1,0
CIW80_03525,b1993,1,1,0,1,0
CIW80_03850,b2010,1,1,0,1,0
CIW80_03860,b2014,1,1,0,1,0
CIW80_03895,b2019,1,1,0,1,0
CIW80_03900,b2020,1,1,0,1,0
CIW80_03905,b2021,1,1,0,1,0
CIW80_03910,b2022,1,1,0,1,0
CIW80_03915,b2023,1,1,0,1,0
CIW80_03920,b2024,1,1,0,1,0
CIW80_03925,b2025,1,1,0,1,0
CIW80_03930,b2026,1,1,0,1,0
CIW80_03940,b2028,1,1,0,1,0
CIW80_03945,b2029,1,1,0,1,0
CIW80_04025,b2047,1,1,0,1,0
CIW80_04030,b2048,1,1,0,1,0
CIW80_04035,b2049,1,1,0,1,0
CIW80_04045,b2051,1,1,0,1,0
CIW80_04050,b2052,1,1,0,1,0
CIW80_04055,b2053,1,1,0,1,0
CIW80_04115,b2065,1,1,0,1,0
CIW80_04120,b2066,1,1,0,1,0
CIW80_04235,b2091,1,1,0,1,0
CIW80_04240,b2092,1,1,0,1,0
CIW80_04245,b2093,1,1,0,1,0
CIW80_04250,b2094,1,1,0,1,0
CIW80_04255,b2095,1,1,0,1,0
CIW80_04260,b2096,1,1,0,1,0
CIW80_04270,b2097,1,1,0,1,0
CIW80_04300,b2103,1,1,0,1,0
CIW80_04305,b2104,1,1,0,1,0
CIW80_04430,b2128,1,1,0,1,0
CIW80_04435,b2129,1,1,0,1,0
CIW80_04440,b2130,1,1,0,1,0
CIW80_04445,b2131,1,1,0,1,0
CIW80_04450,b2132,1,1,0,1,0
CIW80_04455,b2133,1,1,0,1,0
CIW80_04460,b2134,1,1,0,1,0
CIW80_04515,b2143,1,1,0,1,0
CIW80_04530,b2146,1,1,0,1,0
CIW80_04535,b2147,1,1,0,1,0
CIW80_04540,b2148,1,1,0,1,0
CIW80_04545,b2149,1,1,0,1,0
CIW80_04550,b2150,1,1,0,1,0
CIW80_04570,b2153,0,0,0,0,0
CIW80_04585,b2154,1,1,0,1,0
CIW80_04590,b2155,1,1,0,1,0
CIW80_04600,b2156,1,1,0,1,0
CIW80_04630,b2162,1,1,0,1,0
CIW80_04640,b2164,1,1,0,1,0
CIW80_04645,b2165,1,1,0,1,0
CIW80_04650,b2166,1,1,0,1,0
CIW80_04660,b2167,1,1,0,1,0
CIW80_04665,b2168,1,1,0,1,0
CIW80_04670,b2169,1,1,0,1,0
CIW80_04680,b2170,1,1,0,1,0
CIW80_04700,b2173,1,1,0,1,0
CIW80_04705,b2174,1,1,0,1,0
CIW80_04710,b2175,1,1,0,1,0
CIW80_04720,b2177,1,1,0,1,0
CIW80_04725,b2178,1,1,0,1,0
CIW80_04730,b2179,1,1,0,1,0
CIW80_04735,b2180,1,1,0,1,0
CIW80_04925,b2197,1,1,0,1,0
CIW80_04930,b2198,1,1,0,1,0
CIW80_04935,b2199,1,1,0,1,0
CIW80_04940,b2200,1,1,0,1,0
CIW80_04945,b2201,1,1,0,1,0
CIW80_04950,b2202,1,1,0,1,0
CIW80_04955,b2203,1,1,0,1,0
CIW80_04960,b2204,1,1,0,1,0
CIW80_04965,b2205,1,1,0,1,0
CIW80_04970,b2206,1,1,0,1,0
CIW80_04995,b2210,1,1,0,1,0
CIW80_05020,b2215,1,1,0,1,0
CIW80_05060,b2221,1,1,0,1,0
CIW80_05065,b2222,1,1,0,1,0
CIW80_05070,b2223,1,1,0,1,0
CIW80_05075,b2224,1,1,0,1,0
CIW80_05110,b2232,1,1,0,1,0
CIW80_05120,b2234,1,1,0,1,0
CIW80_05125,b2235,1,1,0,1,0
