gene,binary_ae,binary_an,diff
CIW80_09370,1,1,0
CIW80_05225,1,1,0
CIW80_07730,1,1,0
CIW80_12065,1,1,0
CIW80_16440,1,1,0
CIW80_07895,0,0,0
CIW80_24590,1,1,0
CIW80_01245,1,1,0
CIW80_08010,1,1,0
CIW80_04660,1,1,0
CIW80_12810,1,1,0
CIW80_13900,1,1,0
CIW80_13440,1,1,0
CIW80_17725,1,1,0
CIW80_24970,0,0,0
CIW80_16465,1,1,0
CIW80_10460,0,0,0
CIW80_06950,1,1,0
CIW80_10330,0,0,0
CIW80_18410,0,0,0
CIW80_08450,1,1,0
CIW80_20215,0,0,0
CIW80_01875,1,1,0
CIW80_18530,1,1,0
CIW80_01540,1,1,0
CIW80_22200,1,1,0
CIW80_00330,1,1,0
CIW80_09610,1,1,0
CIW80_02195,1,1,0
CIW80_21770,1,1,0
CIW80_12105,1,1,0
CIW80_10475,0,0,0
CIW80_22145,1,1,0
CIW80_14660,1,1,0
CIW80_22465,1,1,0
CIW80_10190,1,1,0
CIW80_18385,0,0,0
CIW80_18565,1,1,0
CIW80_02815,1,1,0
CIW80_20695,1,1,0
CIW80_25200,1,1,0
CIW80_25590,1,1,0
CIW80_20265,1,1,0
CIW80_19760,1,1,0
CIW80_15755,1,1,0
CIW80_10965,1,1,0
CIW80_11965,1,1,0
CIW80_14790,1,1,0
CIW80_01260,1,1,0
CIW80_14585,1,1,0
CIW80_12900,1,1,0
CIW80_15820,1,1,0
CIW80_12250,1,1,0
CIW80_02080,1,1,0
CIW80_10150,1,1,0
CIW80_09560,1,1,0
CIW80_05510,0,0,0
CIW80_25450,1,1,0
CIW80_13790,1,1,0
CIW80_15455,1,1,0
CIW80_05415,1,1,0
CIW80_23905,1,1,0
CIW80_11490,1,1,0
CIW80_17865,1,1,0
CIW80_15300,1,1,0
CIW80_20675,1,1,0
CIW80_21260,1,1,0
CIW80_21350,1,1,0
CIW80_20440,1,1,0
CIW80_06310,1,1,0
CIW80_14545,1,1,0
