gene,binary_ae,binary_an,diff
CIW80_03920,0,0,0
CIW80_18675,0,0,0
CIW80_03905,0,0,0
CIW80_17695,0,0,0
CIW80_03910,0,0,0
CIW80_25370,0,0,0
CIW80_15030,0,0,0
CIW80_16445,0,0,0
CIW80_24100,0,0,0
CIW80_01580,0,0,0
CIW80_07430,0,0,0
CIW80_24970,0,0,0
CIW80_22605,0,0,0
CIW80_01335,0,0,0
CIW80_03925,0,0,0
CIW80_11380,0,0,0
CIW80_14740,0,0,0
CIW80_17795,0,0,0
CIW80_11745,0,0,0
CIW80_07585,0,0,0
CIW80_18160,0,0,0
CIW80_10415,0,0,0
CIW80_07105,0,0,0
CIW80_18060,0,0,0
CIW80_18150,0,0,0
CIW80_06210,0,0,0
CIW80_13720,0,0,0
CIW80_14335,0,0,0
CIW80_06825,0,0,0
CIW80_07895,0,0,0
CIW80_06485,0,0,0
CIW80_10470,0,0,0
CIW80_15035,0,0,0
CIW80_13715,0,0,0
CIW80_14820,0,0,0
CIW80_06245,0,0,0
CIW80_07435,0,0,0
CIW80_06830,0,0,0
CIW80_13510,0,0,0
CIW80_13515,0,0,0
CIW80_15050,0,0,0
CIW80_18190,0,0,0
CIW80_14830,0,0,0
CIW80_18385,0,0,0
CIW80_13925,0,0,0
CIW80_03895,0,0,0
CIW80_20230,0,0,0
CIW80_15025,0,0,0
CIW80_25245,0,0,0
CIW80_18130,0,0,0
CIW80_15015,0,0,0
CIW80_07460,0,0,0
CIW80_13885,0,0,0
CIW80_18145,0,0,0
CIW80_16660,0,0,0
CIW80_10330,0,0,0
CIW80_06695,0,0,0
CIW80_18140,0,0,0
CIW80_07480,0,0,0
CIW80_12945,0,0,0
CIW80_21570,0,0,0
CIW80_19970,0,0,0
CIW80_20755,0,0,0
CIW80_24080,0,0,0
CIW80_07940,0,0,0
CIW80_18690,0,0,0
CIW80_09765,0,0,0
CIW80_21215,0,0,0
CIW80_15010,0,0,0
CIW80_10460,0,0,0
CIW80_13735,0,0,0
CIW80_07580,1,0,1
CIW80_20190,0,0,0
CIW80_17955,0,0,0
CIW80_07485,0,0,0
CIW80_03900,0,0,0
CIW80_25260,0,0,0
CIW80_19485,0,0,0
CIW80_18135,0,0,0
CIW80_20185,0,0,0
CIW80_11340,0,0,0
CIW80_18435,0,0,0
CIW80_24945,0,0,0
CIW80_08355,1,0,1
CIW80_18475,0,0,0
CIW80_21870,0,0,0
CIW80_19490,0,0,0
CIW80_25255,0,0,0
CIW80_10350,0,0,0
