,ids,growth,status,binary
14219,"{'CIW80_06475', 'CIW80_01270'}",-0.0,optimal,0
64304,"{'CIW80_22755', 'CIW80_20385'}",0.0,optimal,0
66527,"{'CIW80_01275', 'CIW80_06480'}",-0.0,optimal,0
121359,"{'CIW80_22755', 'CIW80_14210'}",-0.0,optimal,0
123189,"{'CIW80_22755', 'CIW80_07985'}",0.0,optimal,0
123665,"{'CIW80_22550', 'CIW80_22360'}",0.0,optimal,0
143010,"{'CIW80_14315', 'CIW80_06055'}",0.0,optimal,0
155585,"{'CIW80_24930', 'CIW80_15765'}",-0.0,optimal,0
208328,"{'CIW80_02165', 'CIW80_06300'}",-0.0,optimal,0
252001,"{'CIW80_06475', 'CIW80_01275'}",-0.0,optimal,0
267803,"{'CIW80_06355', 'CIW80_19465'}",0.0,optimal,0
284821,"{'CIW80_06475', 'CIW80_01280'}",0.0,optimal,0
285069,"{'CIW80_15345', 'CIW80_09770'}",0.0,optimal,0
300446,"{'CIW80_01265', 'CIW80_06480'}",-0.0,optimal,0
322060,"{'CIW80_24930', 'CIW80_20510'}",0.0,optimal,0
364838,"{'CIW80_17595', 'CIW80_06560'}",-0.0,optimal,0
366260,"{'CIW80_01285', 'CIW80_06480'}",0.0,optimal,0
382796,"{'CIW80_12105', 'CIW80_22465'}",0.0,optimal,0
383322,"{'CIW80_20510', 'CIW80_17570'}",-0.0,optimal,0
393917,"{'CIW80_20510', 'CIW80_15765'}",0.0,optimal,0
402864,"{'CIW80_06560', 'CIW80_08300'}",-0.0,optimal,0
427141,"{'CIW80_15345', 'CIW80_24060'}",0.0,optimal,0
436546,"{'CIW80_22550', 'CIW80_06560'}",-0.0,optimal,0
464313,"{'CIW80_22360', 'CIW80_05530'}",-0.0,optimal,0
510794,"{'CIW80_11440', 'CIW80_03945'}",0.0,optimal,0
548107,"{'CIW80_18540', 'CIW80_00775'}",0.0,optimal,0
567806,"{'CIW80_06355', 'CIW80_08060'}",-0.0,optimal,0
595025,"{'CIW80_06475', 'CIW80_01285'}",0.0,optimal,0
680408,"{'CIW80_06355', 'CIW80_08055'}",-0.0,optimal,0
702082,"{'CIW80_01270', 'CIW80_06480'}",-0.0,optimal,0
717569,"{'CIW80_06475', 'CIW80_01260'}",-0.0,optimal,0
718065,"{'CIW80_06480', 'CIW80_01260'}",-0.0,optimal,0
778640,"{'CIW80_06355', 'CIW80_08050'}",-0.0,optimal,0
781399,"{'CIW80_12750', 'CIW80_14640'}",-0.0,optimal,0
797441,"{'CIW80_06475', 'CIW80_01265'}",-0.0,optimal,0
805265,"{'CIW80_24930', 'CIW80_17570'}",-0.0,optimal,0
828981,"{'CIW80_01280', 'CIW80_06480'}",-0.0,optimal,0
846121,"{'CIW80_12750', 'CIW80_01515'}",0.0,optimal,0
