,ids,growth,status,binary
9653,"{'CIW80_21725', 'CIW80_22670'}",-0.0,optimal,0
11361,"{'CIW80_07985', 'CIW80_24085'}",0.0,optimal,0
11385,"{'CIW80_17845', 'CIW80_20730'}",0.0,optimal,0
11782,"{'CIW80_24930', 'CIW80_15765'}",0.0,optimal,0
13374,"{'CIW80_01270', 'CIW80_06480'}",-0.0,optimal,0
17026,"{'CIW80_07485', 'CIW80_02805'}",0.0,optimal,0
20219,"{'CIW80_05545', 'CIW80_07985'}",-0.0,optimal,0
35554,"{'CIW80_09770', 'CIW80_15345'}",0.0,optimal,0
49464,"{'CIW80_18035', 'CIW80_15015'}",0.0,optimal,0
51610,"{'CIW80_14210', 'CIW80_24085'}",-0.0,optimal,0
56248,"{'CIW80_01280', 'CIW80_06485'}",0.0,optimal,0
56376,"{'CIW80_06480', 'CIW80_01285'}",0.0,optimal,0
62567,"{'CIW80_15010', 'CIW80_24140'}",-0.0,optimal,0
73762,"{'CIW80_15020', 'CIW80_18035'}",0.0,optimal,0
82688,"{'CIW80_24810', 'CIW80_15425'}",0.0,optimal,0
83438,"{'CIW80_15020', 'CIW80_24140'}",-0.0,optimal,0
99325,"{'CIW80_06165', 'CIW80_08430'}",0.0,optimal,0
101779,"{'CIW80_08060', 'CIW80_06355'}",-0.0,optimal,0
103004,"{'CIW80_14210', 'CIW80_22755'}",-0.0,optimal,0
103513,"{'CIW80_06695', 'CIW80_22670'}",-0.0,optimal,0
104897,"{'CIW80_07485', 'CIW80_02800'}",-0.0,optimal,0
113857,"{'CIW80_02800', 'CIW80_07460'}",0.0,optimal,0
121996,"{'CIW80_24140', 'CIW80_20230'}",0.0,optimal,0
129769,"{'CIW80_15030', 'CIW80_24140'}",0.0,optimal,0
132555,"{'CIW80_06475', 'CIW80_01280'}",0.0,optimal,0
133756,"{'CIW80_15020', 'CIW80_18045'}",-0.0,optimal,0
144041,"{'CIW80_18435', 'CIW80_10790'}",0.0,optimal,0
155553,"{'CIW80_24140', 'CIW80_15035'}",-0.0,optimal,0
