,0
0,APECO1_RS18455
1,APECO1_RS24735
2,APECO1_RS18450
3,APECO1_RS18445
4,APECO1_RS08335
5,APECO1_RS07080
6,APECO1_RS00650
7,APECO1_RS19280
8,APECO1_RS09370
9,APECO1_RS05500
10,APECO1_RS14495
11,APECO1_RS19905
12,APECO1_RS04760
13,APECO1_RS14575
14,APECO1_RS08435
15,APECO1_RS07795
16,APECO1_RS23275
17,APECO1_RS24085
18,APECO1_RS08710
19,APECO1_RS23325
20,APECO1_RS12365
21,APECO1_RS05530
22,APECO1_RS09690
23,APECO1_RS20050
24,APECO1_RS19285
25,APECO1_RS20980
26,APECO1_RS05370
27,APECO1_RS20975
28,APECO1_RS01370
29,APECO1_RS20865
30,APECO1_RS09365
31,APECO1_RS02410
32,APECO1_RS08465
33,APECO1_RS23025
34,APECO1_RS23030
35,APECO1_1865
36,APECO1_RS23040
37,APECO1_RS23020
38,APECO1_RS23045
39,APECO1_RS21660
40,APECO1_RS00150
41,APECO1_RS24510
42,APECO1_RS13485
43,APECO1_RS16790
44,APECO1_RS11230
45,APECO1_RS13550
46,APECO1_RS16220
47,APECO1_RS16225
48,APECO1_RS02090
49,APECO1_RS21300
50,APECO1_RS10955
51,APECO1_RS20380
52,APECO1_RS00850
53,atpE
54,atpH
55,APECO1_RS09175
56,APECO1_RS21305
57,atpF
58,APECO1_RS02270
59,APECO1_RS09185
60,APECO1_RS17450
61,APECO1_RS05725
62,APECO1_RS21330
63,APECO1_RS21295
64,atpA
65,APECO1_RS22640
66,APECO1_RS21335
67,APECO1_RS05105
68,APECO1_RS06630
69,APECO1_59
70,APECO1_RS01670
71,APECO1_RS17455
72,APECO1_RS19440
73,APECO1_RS00950
74,APECO1_RS17660
75,APECO1_RS02385
76,APECO1_RS20525
77,APECO1_RS04015
78,APECO1_RS05515
79,APECO1_RS15645
80,APECO1_RS05525
81,APECO1_RS05710
82,APECO1_RS24290
83,APECO1_RS22035
84,APECO1_RS03240
85,APECO1_RS22040
86,APECO1_RS12900
87,APECO1_RS00585
88,APECO1_RS06595
89,APECO1_RS24515
90,APECO1_RS16120
91,APECO1_RS03750
92,APECO1_RS13685
93,APECO1_RS07360
94,APECO1_RS06585
95,APECO1_RS24250
96,APECO1_RS06600
97,APECO1_RS06590
98,APECO1_RS04780
99,APECO1_RS05585
100,APECO1_RS01880
101,APECO1_RS02200
102,APECO1_RS01875
103,APECO1_RS01885
104,APECO1_RS00020
105,APECO1_RS20700
106,APECO1_RS04795
107,APECO1_RS04785
108,APECO1_RS16645
109,APECO1_RS06295
110,APECO1_RS06580
111,APECO1_RS17550
112,APECO1_RS06445
113,APECO1_RS22580
114,APECO1_RS24755
115,APECO1_RS24750
116,APECO1_RS02755
117,APECO1_RS00855
118,APECO1_RS23650
119,APECO1_RS02770
120,APECO1_RS02760
121,APECO1_RS09285
122,APECO1_RS02765
123,APECO1_RS22840
124,APECO1_RS22500
125,APECO1_RS02650
126,APECO1_RS15415
127,APECO1_RS18435
128,acpP
129,APECO1_RS02655
130,APECO1_RS18430
131,APECO1_RS03495
132,APECO1_RS21590
133,APECO1_RS03500
134,APECO1_RS07020
135,APECO1_RS00640
136,APECO1_RS14625
137,APECO1_RS01725
138,APECO1_RS10290
139,APECO1_RS20330
140,APECO1_RS02645
141,APECO1_RS20305
142,APECO1_RS20470
143,APECO1_RS20320
144,APECO1_RS16325
145,APECO1_RS20315
146,APECO1_RS16465
147,APECO1_RS20310
148,APECO1_RS00180
149,APECO1_RS00500
150,APECO1_RS00175
151,APECO1_RS15160
152,APECO1_RS01940
153,APECO1_RS08015
154,APECO1_RS02260
155,APECO1_RS07330
156,APECO1_RS15165
157,APECO1_RS06285
158,APECO1_RS23140
159,APECO1_RS12400
160,APECO1_RS19875
161,APECO1_RS12405
162,APECO1_RS04235
163,APECO1_RS21980
164,APECO1_RS12995
165,APECO1_RS27895
166,APECO1_RS12410
167,APECO1_RS06570
168,s0001
169,APECO1_RS03625
170,APECO1_RS22335
171,APECO1_RS17705
172,APECO1_2551
173,APECO1_RS14425
174,APECO1_RS15850
175,APECO1_RS06400
176,APECO1_RS08115
177,APECO1_RS10960
178,APECO1_RS18695
179,APECO1_RS13415
180,APECO1_RS18700
181,APECO1_RS08915
182,APECO1_RS12730
183,APECO1_RS11920
184,APECO1_RS11915
185,APECO1_RS00975
186,APECO1_RS12865
187,APECO1_RS23285
188,APECO1_RS11910
189,APECO1_RS11925
190,APECO1_RS01680
191,APECO1_RS01665
192,APECO1_RS15355
193,APECO1_RS05645
194,APECO1_RS21545
195,APECO1_RS19765
196,APECO1_RS13610
197,APECO1_RS14725
198,APECO1_RS14730
199,APECO1_RS19800
200,APECO1_RS13605
201,APECO1_RS19770
202,APECO1_RS12930
203,APECO1_RS19775
204,APECO1_RS05555
205,APECO1_RS19780
206,APECO1_RS23055
207,APECO1_RS24485
208,APECO1_RS02985
209,APECO1_RS03250
210,APECO1_RS00040
211,ptsH
212,APECO1_RS22585
213,citD
214,APECO1_RS02990
215,APECO1_RS02995
216,APECO1_RS01845
217,APECO1_RS16125
218,APECO1_RS08185
219,APECO1_RS21010
220,APECO1_RS21005
221,APECO1_RS20545
222,APECO1_RS00430
223,APECO1_RS23395
224,APECO1_RS02975
225,APECO1_RS23430
226,APECO1_RS03825
227,APECO1_RS00425
228,APECO1_RS02620
229,APECO1_RS12765
230,APECO1_RS06610
231,APECO1_RS02600
232,APECO1_RS08550
233,APECO1_RS02595
234,APECO1_RS00835
235,APECO1_RS18060
236,APECO1_RS23400
237,APECO1_RS02350
238,APECO1_RS23415
239,APECO1_RS23405
240,APECO1_RS23420
241,lpp
242,APECO1_RS13815
243,APECO1_RS09905
244,APECO1_RS03160
245,APECO1_RS17665
246,APECO1_RS09540
247,APECO1_RS21725
248,APECO1_RS13655
249,APECO1_RS01090
250,APECO1_RS21600
251,APECO1_RS12155
252,APECO1_RS17490
253,APECO1_RS04680
254,APECO1_RS09730
255,APECO1_RS09720
256,APECO1_RS09725
257,APECO1_RS17435
258,APECO1_RS13660
259,APECO1_RS05560
260,APECO1_RS22520
261,APECO1_RS15685
262,APECO1_RS17955
263,APECO1_RS18535
264,APECO1_2120
265,APECO1_RS18540
266,APECO1_RS19540
267,APECO1_RS03785
268,APECO1_RS03795
269,APECO1_RS18530
270,APECO1_RS13690
271,APECO1_RS01280
272,APECO1_RS18525
273,APECO1_RS05505
274,APECO1_RS03745
275,APECO1_RS22575
276,APECO1_RS22090
277,APECO1_RS24730
278,APECO1_RS21925
279,APECO1_RS00220
280,APECO1_RS22780
281,APECO1_RS10905
282,APECO1_RS00215
283,APECO1_RS00210
284,APECO1_RS05540
285,APECO1_RS04775
286,APECO1_RS01350
287,APECO1_RS12000
288,APECO1_RS12005
289,APECO1_RS15255
290,APECO1_RS24725
291,APECO1_RS15250
292,APECO1_RS15245
293,APECO1_RS06555
294,APECO1_RS14315
295,APECO1_RS23530
296,APECO1_RS08805
297,APECO1_RS00230
298,APECO1_RS06990
299,APECO1_RS03460
300,APECO1_RS25555
301,APECO1_RS25565
302,APECO1_RS06995
303,APECO1_RS01810
304,APECO1_RS03755
305,APECO1_RS01805
306,APECO1_RS00285
307,APECO1_RS21985
308,APECO1_RS12550
309,APECO1_RS16410
310,APECO1_RS20795
311,APECO1_RS15775
312,APECO1_RS00665
313,APECO1_RS00675
314,APECO1_RS00915
315,APECO1_RS17805
316,APECO1_RS02135
317,APECO1_RS02475
318,APECO1_73
319,APECO1_RS20435
320,APECO1_RS02105
321,APECO1_RS19580
322,APECO1_RS00340
323,APECO1_RS07245
324,APECO1_RS09530
325,APECO1_RS00820
326,APECO1_RS16570
327,APECO1_RS00825
328,APECO1_RS07150
329,APECO1_RS10250
330,APECO1_RS00815
331,APECO1_RS17465
332,APECO1_RS21595
333,APECO1_RS21250
334,APECO1_RS21550
335,APECO1_RS21585
336,APECO1_RS12990
337,APECO1_RS21185
338,APECO1_RS15450
339,APECO1_RS13595
340,APECO1_RS09910
341,APECO1_RS09915
342,APECO1_RS10140
343,APECO1_RS05320
344,APECO1_RS13625
345,APECO1_RS10145
346,APECO1_RS10150
347,APECO1_RS15930
348,APECO1_RS09940
349,APECO1_RS16250
350,APECO1_RS08705
351,APECO1_RS08380
352,APECO1_RS02675
353,APECO1_RS13410
354,APECO1_RS15770
355,APECO1_RS23555
356,APECO1_RS02820
357,APECO1_RS04355
358,APECO1_RS23565
359,APECO1_RS04350
360,APECO1_RS02840
361,APECO1_RS16655
362,APECO1_RS04980
363,APECO1_RS08620
364,APECO1_RS04985
365,APECO1_RS03525
366,APECO1_RS13710
367,APECO1_RS13715
368,APECO1_RS22590
369,APECO1_RS22525
370,cydB
371,APECO1_1582
372,APECO1_RS18310
373,APECO1_RS04005
374,APECO1_RS02185
375,APECO1_RS02195
376,APECO1_RS03990
377,APECO1_RS10045
378,APECO1_RS02190
379,APECO1_RS12815
380,APECO1_RS11985
381,APECO1_RS20985
382,APECO1_RS04205
383,APECO1_RS12825
384,APECO1_RS02055
385,APECO1_RS12090
386,APECO1_RS04190
387,APECO1_RS12835
388,APECO1_RS03130
389,APECO1_RS02300
390,APECO1_RS04185
391,APECO1_RS04200
392,APECO1_RS04195
393,APECO1_RS09650
394,APECO1_RS11465
395,APECO1_RS12820
396,APECO1_RS16550
397,APECO1_RS04660
398,APECO1_RS09130
399,APECO1_RS19665
400,APECO1_RS21970
401,APECO1_RS17265
402,APECO1_RS24365
403,APECO1_RS06280
404,APECO1_RS15680
405,APECO1_RS24370
406,APECO1_RS15675
407,APECO1_RS23070
408,ulaB
409,APECO1_RS16560
410,ulaC
411,APECO1_RS16310
412,APECO1_RS09470
413,APECO1_RS16235
414,APECO1_RS09500
415,APECO1_RS04020
416,APECO1_RS11745
417,APECO1_RS21685
418,APECO1_RS16750
419,APECO1_RS00925
420,yggF
421,APECO1_RS17735
422,APECO1_RS03225
423,APECO1_RS03765
424,APECO1_RS09295
425,APECO1_RS22390
426,APECO1_RS21360
427,APECO1_RS24585
428,APECO1_RS11460
429,APECO1_RS04765
430,APECO1_RS13005
431,APECO1_RS08060
432,APECO1_RS21105
433,APECO1_RS15890
434,APECO1_RS15895
435,APECO1_RS00715
436,APECO1_RS15880
437,APECO1_RS24650
438,APECO1_RS22310
439,APECO1_RS24655
440,APECO1_RS20210
441,APECO1_RS15575
442,APECO1_RS22975
443,APECO1_RS02415
444,fdnH
445,APECO1_RS09150
446,APECO1_RS14735
447,APECO1_RS22465
448,APECO1_RS03640
449,APECO1_RS22225
450,APECO1_RS00010
451,APECO1_RS08170
452,APECO1_RS21100
453,APECO1_RS14555
454,APECO1_RS22220
455,APECO1_RS24090
456,APECO1_RS08160
457,APECO1_RS20835
458,APECO1_RS04750
459,APECO1_RS21485
460,APECO1_RS04790
461,APECO1_RS09995
462,APECO1_RS19505
463,APECO1_RS06350
464,APECO1_RS03145
465,APECO1_RS06360
466,APECO1_RS13480
467,APECO1_RS03135
468,APECO1_1461
469,APECO1_RS06355
470,APECO1_RS03150
471,APECO1_RS03140
472,APECO1_RS02900
473,APECO1_RS20220
474,APECO1_RS02890
475,APECO1_RS02880
476,APECO1_RS02870
477,APECO1_RS02865
478,APECO1_RS23595
479,APECO1_RS00160
480,APECO1_RS02610
481,APECO1_RS13870
482,APECO1_1934
483,APECO1_RS03905
484,APECO1_RS12055
485,APECO1_RS18085
486,APECO1_RS00810
487,APECO1_RS02835
488,APECO1_RS08625
489,APECO1_RS12860
490,APECO1_RS16470
491,APECO1_RS22415
492,APECO1_RS02875
493,APECO1_RS16475
494,APECO1_RS16480
495,APECO1_RS25170
496,APECO1_RS12610
497,APECO1_RS05200
498,APECO1_RS03545
499,APECO1_RS24490
500,glcF
501,APECO1_RS23360
502,APECO1_RS17290
503,APECO1_RS17800
504,APECO1_RS17285
505,APECO1_RS04805
506,APECO1_RS15485
507,APECO1_RS05360
508,APECO1_RS22395
509,APECO1_RS15475
510,APECO1_RS01115
511,APECO1_RS15500
512,APECO1_RS18335
513,APECO1_RS20405
514,APECO1_RS15490
515,APECO1_RS20410
516,APECO1_RS15480
517,APECO1_RS02785
518,APECO1_RS11390
519,APECO1_RS12800
520,APECO1_RS15495
521,APECO1_RS17765
522,APECO1_RS16435
523,APECO1_RS22385
524,APECO1_RS19400
525,APECO1_RS01055
526,APECO1_RS00555
527,APECO1_RS09085
528,APECO1_RS03335
529,APECO1_RS14220
530,APECO1_RS18905
531,APECO1_RS02140
532,APECO1_RS00145
533,APECO1_RS11280
534,APECO1_RS12450
535,APECO1_RS00125
536,APECO1_RS19680
537,APECO1_RS04800
538,APECO1_673
539,APECO1_RS24765
540,APECO1_RS19735
541,APECO1_RS08535
542,APECO1_RS16510
543,APECO1_RS08530
544,APECO1_RS12485
545,APECO1_RS08525
546,APECO1_RS13385
547,APECO1_16
548,APECO1_RS10030
549,grxC
550,APECO1_RS10025
551,APECO1_RS04125
552,APECO1_RS24165
553,APECO1_RS24170
554,APECO1_RS08875
555,APECO1_RS24160
556,APECO1_RS00535
557,APECO1_RS02425
558,APECO1_RS09990
559,APECO1_RS24175
560,APECO1_RS17370
561,APECO1_RS12120
562,APECO1_RS20495
563,APECO1_RS00550
564,APECO1_RS02160
565,APECO1_RS12115
566,APECO1_RS12125
567,APECO1_RS20035
568,APECO1_RS21500
569,APECO1_RS09180
570,APECO1_RS06525
571,APECO1_RS15885
572,APECO1_RS19725
573,APECO1_RS25550
574,APECO1_RS04025
575,APECO1_RS06260
576,APECO1_RS08650
577,APECO1_1263
578,APECO1_RS04035
579,APECO1_RS03020
580,APECO1_RS04040
581,APECO1_RS22055
582,APECO1_RS16425
583,APECO1_RS24075
584,APECO1_RS21290
585,APECO1_RS16700
586,trxA
587,APECO1_RS14600
588,APECO1_RS12040
589,APECO1_RS05065
590,APECO1_RS07085
591,APECO1_RS21570
592,APECO1_RS02945
593,APECO1_RS21515
594,APECO1_RS08655
595,APECO1_RS16370
596,APECO1_RS11320
597,APECO1_RS00830
598,APECO1_RS00685
599,APECO1_RS01355
600,APECO1_RS17960
601,APECO1_RS14365
602,APECO1_RS07300
603,APECO1_RS23205
604,APECO1_RS16675
605,APECO1_RS04865
606,APECO1_RS01040
607,APECO1_RS01045
608,APECO1_RS01050
609,APECO1_RS23065
610,APECO1_RS19750
611,APECO1_RS04260
612,APECO1_RS19740
613,APECO1_RS19745
614,APECO1_RS19755
615,APECO1_RS22900
616,APECO1_RS23060
617,APECO1_RS00690
618,APECO1_RS21790
619,APECO1_RS20650
620,APECO1_RS02175
621,APECO1_RS12500
622,APECO1_RS24535
623,APECO1_RS20745
624,APECO1_RS09525
625,APECO1_RS19585
626,APECO1_RS12495
627,APECO1_RS20710
628,APECO1_RS11835
629,APECO1_RS20705
630,APECO1_RS12505
631,APECO1_RS20755
632,APECO1_RS01380
633,APECO1_RS24640
634,APECO1_RS11780
635,APECO1_RS04900
636,APECO1_RS03245
637,APECO1_RS09920
638,APECO1_RS02050
639,APECO1_RS13460
640,APECO1_RS06300
641,APECO1_RS18105
642,APECO1_RS02010
643,APECO1_RS25125
644,APECO1_RS14460
645,APECO1_RS11235
646,APECO1_RS21095
647,APECO1_RS11245
648,APECO1_RS21090
649,APECO1_RS15820
650,APECO1_RS15945
651,APECO1_RS14270
652,APECO1_RS15380
653,APECO1_RS18100
654,APECO1_RS12830
655,APECO1_RS11350
656,APECO1_RS25615
657,APECO1_RS16785
658,APECO1_RS00595
659,APECO1_RS16535
660,APECO1_RS03655
661,APECO1_RS21655
662,APECO1_RS03650
663,APECO1_RS13615
664,APECO1_RS23580
665,APECO1_RS20585
666,APECO1_RS11775
667,APECO1_RS21765
668,APECO1_RS24875
669,APECO1_RS03800
670,APECO1_RS11730
671,APECO1_RS03950
672,APECO1_RS11720
673,APECO1_RS11725
674,APECO1_RS20760
675,APECO1_RS00770
676,APECO1_RS03700
677,APECO1_RS13635
678,APECO1_RS17965
679,APECO1_RS06545
680,APECO1_RS02585
681,APECO1_RS24575
682,APECO1_RS12010
683,APECO1_RS13645
684,APECO1_RS03695
685,APECO1_RS00015
686,APECO1_RS03690
687,APECO1_RS22875
688,APECO1_RS13630
689,APECO1_RS13640
690,APECO1_RS24565
691,APECO1_RS11240
692,APECO1_RS24570
693,APECO1_RS24580
694,APECO1_RS22350
695,APECO1_RS16285
696,APECO1_RS16340
697,APECO1_RS00730
698,APECO1_RS12015
699,APECO1_RS12020
700,xdhC
701,APECO1_RS16680
702,APECO1_RS00050
703,APECO1_RS16290
704,APECO1_RS17400
705,APECO1_RS05395
706,APECO1_RS13920
707,APECO1_RS17415
708,APECO1_RS17405
709,APECO1_RS07885
710,APECO1_RS14295
711,APECO1_RS04960
712,APECO1_RS03805
713,APECO1_RS04010
714,APECO1_RS11385
715,APECO1_RS04950
716,APECO1_RS15795
717,APECO1_RS05100
718,APECO1_RS04955
719,APECO1_RS02690
720,APECO1_RS20845
721,APECO1_RS17410
722,APECO1_RS22495
723,APECO1_RS14345
724,APECO1_RS05345
725,APECO1_RS11380
726,APECO1_RS14350
727,APECO1_RS22790
728,APECO1_RS21665
729,APECO1_RS13580
730,APECO1_RS05595
731,APECO1_RS13800
732,APECO1_RS14340
733,APECO1_RS21285
734,APECO1_RS05735
735,APECO1_RS12665
736,APECO1_RS12625
737,APECO1_RS12705
738,APECO1_RS22135
739,APECO1_RS02885
740,APECO1_RS19660
741,APECO1_RS12695
742,APECO1_RS12670
743,APECO1_RS02330
744,APECO1_RS02895
745,APECO1_RS12700
746,APECO1_RS12675
747,APECO1_RS22885
748,APECO1_RS12660
749,APECO1_RS04065
750,APECO1_RS00680
751,APECO1_RS12710
752,APECO1_RS12720
753,APECO1_RS12715
754,APECO1_RS24760
755,APECO1_RS12685
756,APECO1_3022
757,APECO1_RS11250
758,APECO1_RS19535
759,APECO1_RS19545
760,APECO1_RS12680
761,APECO1_RS12690
762,APECO1_RS11260
763,APECO1_RS18095
764,APECO1_RS06985
765,APECO1_RS15815
766,APECO1_RS14800
767,APECO1_RS21480
768,APECO1_RS15810
769,APECO1_RS00130
770,APECO1_RS17600
771,APECO1_RS02040
772,APECO1_RS09325
773,APECO1_RS19645
774,APECO1_RS20750
775,APECO1_RS19655
776,APECO1_RS14225
777,APECO1_RS19650
778,APECO1_RS08610
779,APECO1_RS18250
780,APECO1_RS08605
781,APECO1_RS22110
782,APECO1_RS03300
783,APECO1_RS21045
784,APECO1_RS03935
785,APECO1_RS22610
786,APECO1_RS04770
787,APECO1_RS16405
788,APECO1_RS06265
789,APECO1_RS03930
790,APECO1_RS00405
791,APECO1_RS03925
792,APECO1_RS11715
793,APECO1_RS00105
794,APECO1_RS00400
795,APECO1_RS14290
796,APECO1_RS01375
797,APECO1_RS00395
798,APECO1_RS02295
799,APECO1_RS00410
800,APECO1_RS08225
801,APECO1_RS04700
802,APECO1_RS15425
803,APECO1_RS18440
804,APECO1_RS15430
805,APECO1_RS15305
806,APECO1_RS06435
807,APECO1_RS20530
808,APECO1_RS20160
809,APECO1_RS19925
810,APECO1_RS24385
811,APECO1_RS19920
812,APECO1_RS08230
813,APECO1_RS03385
814,APECO1_RS09435
815,APECO1_RS19910
816,APECO1_RS19915
817,APECO1_RS19930
818,APECO1_RS03390
819,APECO1_RS02480
820,APECO1_RS03395
821,APECO1_RS08365
822,APECO1_RS03105
823,APECO1_RS07595
824,APECO1_RS25595
825,APECO1_RS12845
826,APECO1_RS22645
827,APECO1_RS03620
828,APECO1_RS06620
829,APECO1_RS09475
830,APECO1_RS06410
831,APECO1_RS21375
832,APECO1_RS13515
833,APECO1_RS10950
834,APECO1_RS22000
835,APECO1_RS00580
836,APECO1_RS20860
837,APECO1_RS18915
838,APECO1_RS02580
839,APECO1_RS19320
840,APECO1_RS07185
841,APECO1_RS06485
842,APECO1_RS22400
843,APECO1_RS20695
844,APECO1_RS00265
845,APECO1_RS12490
846,APECO1_RS19230
847,APECO1_RS12305
