ID,name,formula,compartment
4fe4s_c,[4Fe-4S] iron-sulfur cluster,S4Fe4,c
2fe2s_c,[2Fe-2S] iron-sulfur cluster,S2Fe2,c
tyr__L_c,L-Tyrosine,C9H11NO3,c
ala__L_c,L-Alanine,C3H7NO2,c
pg161_p,"Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1)",C38H70O10P1,p
cobalt2_c,Co2+,Co,c
so4_c,Sulfate,O4S,c
utp_c,UTP C9H11N2O15P3,C9H11N2O15P3,c
met__L_c,L-Methionine,C5H11NO2S,c
mobd_c,Molybdate,MoO4,c
nadh_c,Nicotinamide adenine dinucleotide - reduced,C21H27N7O14P2,c
his__L_c,L-Histidine,C6H9N3O2,c
amet_c,S-Adenosyl-L-methionine,C15H23N6O5S,c
23camp_e,"2',3'-Cyclic AMP",C10H11N5O6P,e
4crsol_c,P-Cresol,C7H8O,c
sheme_c,Siroheme C42H36FeN4O16,C42H36FeN4O16,c
23ccmp_e,"2',3'-Cyclic CMP",C9H11N3O7P,e
ptrc_c,Putrescine,C4H14N2,c
23cgmp_e,"2',3'-Cyclic GMP",C10H11N5O7P,e
23cump_e,"2',3'-Cyclic UMP",C9H10N2O8P,e
5drib_c,5'-deoxyribose,C5H10O4,c
coa_c,Coenzyme A,C21H32N7O16P3S,c
aacald_c,Aminoacetaldehyde,C2H6NO,c
datp_c,DATP C10H12N5O12P3,C10H12N5O12P3,c
amob_c,S-Adenosyl-4-methylthio-2-oxobutanoate,C15H19N5O6S,c
23dappa_e,"2,3-diaminopropionate",C3H9N2O2,e
trp__L_c,L-Tryptophan,C11H12N2O2,c
ni2_c,Nickel,Ni,c
26dap__M_e,"Meso-2,6-Diaminoheptanedioate",C7H14N2O4,e
asn__L_c,L-Asparagine,C4H8N2O3,c
2ddglcn_e,2-Dehydro-3-deoxy-D-gluconate,C6H9O6,e
mththf_c,"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran",C5H10O5,c
q8h2_c,Ubiquinol-8,C49H76O4,c
dgtp_c,DGTP C10H12N5O13P3,C10H12N5O13P3,c
34dhpac_e,"3,4-Dihydroxyphenylacetaldehyde",C8H8O3,e
3amp_e,3  AMP C10H12N5O7P,C10H12N5O7P,e
pe181_p,"Phosphatidylethanolamine (dioctadec-11-enoyl, n-C18:1)",C41H78N1O8P1,p
oxam_c,Oxamate,C2H2NO3,c
pg181_c,"Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1)",C42H78O10P1,c
mql8_c,Menaquinol 8,C51H74O2,c
3cmp_e,3  CMP C9H12N3O8P,C9H12N3O8P,e
h2o_c,H2O H2O,H2O,c
3gmp_e,Guanosine 3  phosphate C10H12N5O8P,C10H12N5O8P,e
phe__L_c,L-Phenylalanine,C9H11NO2,c
btn_c,Biotin,C10H15N2O3S,c
3hcinnm_e,3-hydroxycinnamic acid,C9H7O3,e
lys__L_c,L-Lysine,C6H15N2O2,c
3hpp_e,3-Hydroxypropanoate,C3H5O3,e
ctp_c,CTP C9H12N3O14P3,C9H12N3O14P3,c
pe161_p,"Phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1)",C37H70N1O8P1,p
3hpppn_e,3-(3-hydroxy-phenyl)propionate,C9H9O3,e
murein4px4px4p_p,Three disacharide linked murein units (tetrapeptide crosslinked tetrapeptide (A2pm->D-ala) & tetrapeptide corsslinked tetrapeptide (A2pm->D-ala)) (middle of chain),C111H167N21O58,p
3ump_e,3  UMP C9H11N2O9P,C9H11N2O9P,e
2dmmql8_c,2-Demethylmenaquinol 8,C50H72O2,c
5mthf_c,5-Methyltetrahydrofolate,C20H24N7O6,c
