ID,Name,Reaction Formula,Gene Rules,Subsystem,Essentiality,LB,UB,FVA_min,FVA_max,RHEA,BioCyc,MetaNetX (MNX) Equation,KEGG Reaction,SEED Reaction,EC Number,Reactome Reaction
ALATA_D2,D-alanine transaminase,ala__D_c + pydx5p_c --> pyam5p_c + pyr_c,CIW80_06560 or CIW80_22360,Cofactor and Prosthetic Group Biosynthesis,Not essential,0.0,1000.0,0.0,-1.6988928645361989e-12,28565,META:RXN0-5240,MNXR95697,R01147,rxn00848,,
SHCHD2,Sirohydrochlorin dehydrogenase (NAD),dscl_c + nad_c --> h_c + nadh_c + scl_c,CIW80_11380,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.00025004544699180816,0.00025004544699180247,15616,META:DIMETHUROPORDEHYDROG-RXN,MNXR104373,R03947,rxn02774,1.3.1.76,
CPPPGO,Coproporphyrinogen oxidase (O2 required),cpppg3_c + 2.0 h_c + o2_c --> 2.0 co2_c + 2.0 h2o_c + pppg9_c,CIW80_06055,Cofactor and Prosthetic Group Biosynthesis,Not essential,0.0,1000.0,0.00025004544732220793,0.0002500454469323428,18260,META:RXN0-1461,MNXR96880,R03220,rxn02303,1.3.3.3,
GTHOr,Glutathione oxidoreductase,gthox_c + h_c + nadph_c <=> 2.0 gthrd_c + nadp_c,CIW80_12105,Cofactor and Prosthetic Group Biosynthesis,Not essential,-1000.0,1000.0,0.0,0.2774966247134559,11743,META:GLUTATHIONE-REDUCT-NADPH-RXN,MNXR100098,R00115,rxn00086,1.8.1.7,R-XTR-71682
DHORD5,Dihydroorotic acid (menaquinone-8),dhor__S_c + mqn8_c --> mql8_c + orot_c,CIW80_22710,Purine and Pyrimidine Biosynthesis,Not essential,0.0,1000.0,0.0,0.37091382797130934,29202,,MNXR97421,,rxn08336,,
GLYCTO2,Glycolate oxidase,glyclt_c + q8_c --> glx_c + q8h2_c,CIW80_09260 and CIW80_09255 and CIW80_09250,Alternate Carbon Metabolism,Not essential,0.0,1000.0,0.0,-2.017018198185479e-12,,,MNXR100339,,rxn08655,,
GLYCTO3,Glycolate oxidase,glyclt_c + mqn8_c --> glx_c + mql8_c,CIW80_09260 and CIW80_09255 and CIW80_09250,Alternate Carbon Metabolism,Not essential,0.0,1000.0,0.0,-2.017018198185479e-12,,,MNXR100340,,rxn08656,,
GLYCTO4,Glycolate oxidase,2dmmq8_c + glyclt_c --> 2dmmql8_c + glx_c,CIW80_09260 and CIW80_09255 and CIW80_09250,Alternate Carbon Metabolism,Not essential,0.0,1000.0,0.0,-2.017018198185479e-12,,,MNXR100341,,rxn08657,,
PFK_3,Phosphofructokinase (s7p),atp_c + s7p_c --> adp_c + h_c + s17bp_c,CIW80_14585,Pentose Phosphate Pathway,Not essential,0.0,1000.0,0.0,19.024324534636488,31446,META:RXN0-6541,MNXR102510,R01843,rxn01343,2.7.1.11,
TRPS2,Tryptophan synthase (indole),indole_c + ser__L_c --> h2o_c + trp__L_c,CIW80_25240 and CIW80_25245,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",Not essential,0.0,1000.0,0.0,-1.0001832368226131e-12,26437,META:RXN0-2382,MNXR104946,R00674,rxn00474,4.2.1.20,
G3PD5,Glycerol-3-phosphate dehydrogenase (ubiquinone-8),glyc3p_c + q8_c --> dhap_c + q8h2_c,(CIW80_05160 and CIW80_05155 and CIW80_05150) or CIW80_11665,Oxidative Phosphorylation,Not essential,0.0,1000.0,0.0,-1.20021988418713e-12,28754,,MNXR99880,,rxn08556,,
EX_acgam_e,N-Acetyl-D-glucosamine exchange,acgam_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,-3.5300584829033854e-13,,,MNXR95252,,rxn08042,,
EX_cellb_e,Cellobiose exchange,cellb_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,-1.8185149760411494e-13,,,MNXR96760,,,,
EX_chol_e,Choline exchange,chol_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,0.0,32754,META:TRANS-RXN-319,MNXR96693,,rxn08214,,R-XTR-6797956
LEUTAi,Leucine transaminase (irreversible),4mop_c + glu__L_c --> akg_c + leu__L_c,CIW80_13715 or CIW80_15440,"Valine, Leucine, and Isoleucine Metabolism",Essential,0.0,1000.0,0.5051714138056788,0.5051714138052171,18324,META:BRANCHED-CHAINAMINOTRANSFERLEU-RXN,MNXR96229,R01090,rxn00806,2.6.1.67,
