reaction,origin,added,notebook,notes
CYTDK2,iML1515,automatic,3.1,none
XPPT,iML1515,automatic,3.1,none
HXPRT,iML1515,automatic,3.1,none
NDPK5,iML1515,automatic,3.1,none
SHK3Dr,iML1515,automatic,3.1,none
NDPK6,iML1515,automatic,3.1,none
NDPK8,iML1515,automatic,3.1,none
DHORTS,iML1515,automatic,3.1,none
OMPDC,iML1515,automatic,3.1,none
PYNP2r,iML1515,automatic,3.1,none
G5SD,iML1515,automatic,3.1,none
CS,iML1515,automatic,3.1,none
ICDHyr,iML1515,automatic,3.1,none
ALATA_L2,iML1515,automatic,3.1,none
DURIPP,iML1515,automatic,3.1,none
ACALD,iML1515,automatic,3.1,none
PTRCTA,iML1515,automatic,3.1,none
ACS,iML1515,automatic,3.1,none
CYSDS,iML1515,automatic,3.1,none
MAN6PI,iML1515,automatic,3.1,none
PPA,iML1515,automatic,3.1,none
APRAUR,iML1515,automatic,3.1,none
TRPAS2,iML1515,automatic,3.1,none
PPCK,iML1515,automatic,3.1,none
ME1,iML1515,automatic,3.1,none
DB4PS,iML1515,automatic,3.1,none
ALAR,iML1515,automatic,3.1,none
RBFK,iML1515,automatic,3.1,none
ALATA_L,iML1515,automatic,3.1,none
XYLK,iML1515,automatic,3.1,none
RBK,iML1515,automatic,3.1,none
GLYK,iML1515,automatic,3.1,none
PPM,iML1515,automatic,3.1,none
ASPTA,iML1515,automatic,3.1,none
ACP1_FMN,iML1515,automatic,3.1,none
RBFSb,iML1515,automatic,3.1,none
NDP3,iML1515,automatic,3.1,none
CDPPH,iML1515,automatic,3.1,none
NDP7,iML1515,automatic,3.1,none
FBP,iML1515,automatic,3.1,none
EX_pi_e,iML1515,automatic,3.1,none
GLGC,iML1515,automatic,3.1,none
ALATA_D2,iML1515,automatic,3.1,none
PYK,iML1515,automatic,3.1,none
SHCHD2,iML1515,automatic,3.1,none
EX_co2_e,iML1515,automatic,3.1,none
A5PISO,iML1515,automatic,3.1,none
PMDPHT,iML1515,automatic,3.1,none
CPPPGO,iML1515,automatic,3.1,none
EX_met__L_e,iML1515,automatic,3.1,none
GTHOr,iML1515,automatic,3.1,none
ILETA,iML1515,automatic,3.1,none
DHORD5,iML1515,automatic,3.1,none
EX_metsox_S__L_e,iML1515,automatic,3.1,none
GLYCTO2,iML1515,automatic,3.1,none
VALTA,iML1515,automatic,3.1,none
GLYCTO3,iML1515,automatic,3.1,none
IPPMIb,iML1515,automatic,3.1,none
GLYCTO4,iML1515,automatic,3.1,none
ORPT,iML1515,automatic,3.1,none
RBFSa,iML1515,automatic,3.1,none
ACHBS,iML1515,automatic,3.1,none
PFK_3,iML1515,automatic,3.1,none
DHAD2,iML1515,automatic,3.1,none
ACLS,iML1515,automatic,3.1,none
TRPS2,iML1515,automatic,3.1,none
PSCVT,iML1515,automatic,3.1,none
G3PD5,iML1515,automatic,3.1,none
G1PP,iML1515,automatic,3.1,none
PFL,iML1515,automatic,3.1,none
EX_acgam_e,iML1515,automatic,3.1,none
ANS,iML1515,automatic,3.1,none
FRD2,iML1515,automatic,3.1,none
FRD3,iML1515,automatic,3.1,none
ANPRT,iML1515,automatic,3.1,none
POX,iML1515,automatic,3.1,none
CHORM,iML1515,automatic,3.1,none
PTAr,iML1515,automatic,3.1,none
CHORS,iML1515,automatic,3.1,none
IGPS,iML1515,automatic,3.1,none
ACKr,iML1515,automatic,3.1,none
EX_cellb_e,iML1515,automatic,3.1,none
EX_crn_e,iML1515,automatic,3.1,none
EX_hxan_e,iML1515,automatic,3.1,none
EX_ile__L_e,iML1515,automatic,3.1,none
EX_chol_e,iML1515,automatic,3.1,none
EX_fe3_e,iML1515,automatic,3.1,none
LEUTAi,iML1515,automatic,3.1,none
EX_lac__L_e,iML1515,automatic,3.1,none
EX_leu__L_e,iML1515,automatic,3.1,none
EX_glcn_e,iML1515,automatic,3.1,none
EX_no3_e,iML1515,automatic,3.1,none
EX_h_e,iML1515,automatic,3.1,none
DMATT,iML1515,automatic,3.1,none
EX_orn_e,iML1515,automatic,3.1,none
GRTT,iML1515,automatic,3.1,none
EX_gln__L_e,iML1515,automatic,3.1,none
UPP3S,iML1515,automatic,3.1,none
EX_pro__L_e,iML1515,automatic,3.1,none
EX_glyc_e,iML1515,automatic,3.1,none
UPPDC1,iML1515,automatic,3.1,none
EX_man_e,iML1515,automatic,3.1,none
TMDPP,iML1515,automatic,3.1,none
EX_ade_e,iML1515,automatic,3.1,none
EX_mn2_e,iML1515,automatic,3.1,none
EX_4abut_e,iML1515,automatic,3.1,none
EX_ac_e,iML1515,automatic,3.1,none
EX_akg_e,iML1515,automatic,3.1,none
EX_ala__L_e,iML1515,automatic,3.1,none
EX_arg__L_e,iML1515,automatic,3.1,none
EX_asp__L_e,iML1515,automatic,3.1,none
EX_pyr_e,iML1515,automatic,3.1,none
EX_succ_e,iML1515,automatic,3.1,none
EX_thymd_e,iML1515,automatic,3.1,none
EX_rib__D_e,iML1515,automatic,3.1,none
EX_tyr__L_e,iML1515,automatic,3.1,none
EX_cytd_e,iML1515,automatic,3.1,none
EX_dcyt_e,iML1515,automatic,3.1,none
MOAT,iML1515,automatic,3.1,none
