ID,lb,ub,pfba_wt,pfba_sec_met
CYTDK2,0.0,-3.63350731742408e-11,0.0,0.0
XPPT,4.037230352693372e-12,-1.8167536587120468e-11,0.0,0.0
HXPRT,0.0,-1.8167536587120252e-11,0.0,0.0
NDPK5,5.4502609761359124e-11,0.9893180999243908,0.0,0.0
SHK3Dr,10.809215717599086,10.809215717590003,10.809215717599082,10.809215717599077
NDPK6,-1.0463418545934586,-1.8165452363243466e-11,1.968160748930693e-16,0.0
NDPK8,5.450811962452899e-11,1.0161333405996087,0.0,0.0
DHORTS,-15.466967196255014,-15.466967196273915,-15.466967196273181,-15.466967196273181
OMPDC,15.46696719627392,15.466967196262287,15.466967196273185,15.46696719627319
PYNP2r,5.4508119624529267e-11,-1.8163354760398912e-11,0.0,0.0
G5SD,9.850708997733195,9.850708997696868,9.850708997733195,9.850708997733197
CS,305.1828832428196,305.18288324265615,305.182883242746,305.1828832427619
ICDHyr,205.65175405760633,305.1828832426559,205.6517540575885,205.6517540576079
ALATA_L2,0.0,581.0114321434013,0.0,0.0
DURIPP,1.1546793202758101e-11,-1.460980202873765e-11,0.0,0.0
ACALD,6.795316465985481e-11,999.9999999999719,0.0,0.0
PTRCTA,0.0,-6.94275381005282e-12,0.0,0.0
ACS,0.0,-1.8514010160141175e-11,0.0,0.0
CYSDS,0.0,-1.8514010160141065e-11,0.0,0.0
MAN6PI,2.2651054886617877e-11,0.0,0.0,0.0
PPA,114.0976941154023,114.09769411536696,114.09769411538429,114.09769411532832
APRAUR,0.018470949873433767,0.01847094987246015,0.01847094987343671,0.018470949873434575
TRPAS2,-1.2640863649122214,-1.264086364933824,-1.2640863649153102,-1.2640863649153102
PPCK,0.0,-1.851401016014103e-11,0.0,0.0
ME1,0.0,-1.851401016014114e-11,0.0,0.0
DB4PS,0.03694189974686753,0.0369418997449203,0.03694189974687342,0.03694189974686914
ALAR,1.7262469341355737,677.2252566943331,1.7262469341355744,1.7262469341355764
RBFK,0.009235474936716883,0.009235474876655702,0.009235474936719827,0.00923547493671769
ALATA_L,-1000.0,946.277445995085,-36.17794073305902,-36.17794073305902
XYLK,0.0,-4.63564091012766e-11,0.0,0.0
RBK,0.0,-4.63564091012766e-11,0.0,0.0
GLYK,0.0,-4.6356409101277374e-11,0.0,0.0
PPM,-1000.0,-0.018470950012603113,-0.018470949872282573,-0.018470949873552127
ASPTA,-784.9537524953771,-106.97708585887608,-106.97708585886936,-106.97708585886889
ACP1_FMN,0.0,-5.8105953194428645e-11,0.0,0.0
RBFSb,0.01847094987343457,0.018470949870376365,0.01847094987343671,0.01847094987343457
NDP3,0.0,-5.810595319442931e-11,0.0,0.0
CDPPH,0.0,-5.810595319442942e-11,0.0,0.0
NDP7,0.0,-5.8105953194429304e-11,0.0,0.0
FBP,0.0,-5.810595319442814e-11,0.0,0.0
EX_pi_e,-40.2655250263533,-40.265525026384864,-40.26552502635877,-40.265525026500534
GLGC,0.0,-5.8105953194429394e-11,0.0,0.0
ALATA_D2,0.0,581.0114321431341,0.0,0.0
PYK,0.0,920.7321593850918,275.2125901560642,275.2125901560854
SHCHD2,0.009235474936716883,0.009235474936716883,0.009235474936716883,0.009235474936716883
EX_co2_e,1000.0000000000385,1000.0,1000.0,1000.0
A5PISO,1.611528254428374,1.6115282544262433,1.611528254428374,1.6115282544290572
PMDPHT,0.01847094987343457,0.018470949871116825,0.01847094987343671,0.01847094987343457
CPPPGO,0.009235474938316165,0.009235474935232486,0.009235474936716883,0.009235474936716883
EX_met__L_e,0.0,-1.4679042738717052e-11,0.0,0.0
GTHOr,0.0,294.34089896313407,0.0,0.0
ILETA,-12.078403316800676,-12.078403316804941,-12.07840331680494,-12.078403316804941
DHORD5,0.0,15.466967196260232,15.466967196273181,15.466967196273181
EX_metsox_S__L_e,0.0,-1.4009511727079576e-11,0.0,0.0
GLYCTO2,0.0,1000.0,12.860060312935389,12.860060312934385
VALTA,-1000.0,946.2774459951004,-17.544613271839342,-17.54461327183934
GLYCTO3,0.0,1000.0,0.0,0.0
IPPMIb,-17.895382102670062,-17.895382102682802,-17.8953821026828,-17.895382102682802
GLYCTO4,0.0,730.9408010344781,0.0,0.0
ORPT,-15.466967196269366,-15.46696719627328,-15.466967196273183,-15.466967196273183
RBFSa,0.03694189974686914,0.03694189974635275,0.03694189974687342,0.03694189974686914
ACHBS,12.07840331680494,12.0784033168033,12.07840331680494,12.07840331680494
