ID,lb,ub,pfba_wt,pfba_sec_met
NADPHQR2,0.0,353.9097299695733,0.0,0.0
H2Stex,-278.82917917127344,-278.8291791713627,0.0,-278.8291791713801
GLUDy,-1000.0,-677.8642781599148,-161.01166668173315,-677.8642781598501
NTRIR3pp,50.90387330006898,825.7606607504097,0.0,292.7036888207155
SDPTA,-235.79733938114424,-235.7973393811607,-5.812323685198157,-235.79733938115712
NO3R2pp,0.0,825.7606607503665,200.76827737648583,497.7654601685528
NO3t7pp,0.0,825.7606607503756,200.76827737648583,497.7654601685528
ASAD,-250.22201740638965,-250.22201740638988,-20.23700171042748,-250.2220174063864
NO3tex,575.760660750473,825.7606607502024,200.76827737648588,575.7606607504129
ASPTA,-605.609280465439,-283.4735586254008,-53.4885429294368,-283.4735586253918
DAPE,235.79733938116064,235.7973393811576,5.812323685198157,235.7973393811571
SDPDS,235.79733938116067,235.79733938116016,5.812323685198157,235.7973393811571
DHDPRy,235.79733938116055,235.7973393811576,5.812323685198155,235.79733938115703
DAPDC,235.2219237364488,235.2219237364612,5.236908040486298,235.2219237364452
O2tpp,230.33527591584595,230.3352759157393,76.26892713706451,230.33527591582487
O2tex,254.64304585502015,379.64304585478567,76.26892713706451,254.643045854938
CYSabcpp,281.9976250610968,281.9976250610434,3.168445889736751,281.99762506111693
CYStex,281.9976250611144,281.99762506102934,3.168445889736752,281.99762506111693
CYSDS,278.8291791713097,278.82917917119033,0.0,278.8291791713801
H2St1pp,278.8291791713678,278.829179171386,0.0,278.8291791713801
