ID,lb,ub,pfba_wt,pfba_sec_met
CYTDK2,0.0,-3.081650953432791e-11,0.0,0.0
XPPT,3.4240566149253028e-12,-1.54082547671639e-11,0.0,0.0
HXPRT,0.0,-1.54082547671639e-11,0.0,0.0
NDPK5,4.622476430149198e-11,0.9893180999299005,0.0,0.0
SHK3Dr,10.809215717599075,10.80921571759137,10.809215717599082,10.809215717599079
NDPK6,-1.046341854601742,-1.541063429272425e-11,1.968160748930693e-16,0.0
NDPK8,4.6224764301491966e-11,1.0161333406023614,0.0,0.0
DHORTS,-15.466967196257773,-15.466967196273803,-15.466967196273181,-15.466967196273181
OMPDC,15.466967196273806,15.466967196263944,15.466967196273185,15.46696719627319
PYNP2r,4.6224764301492043e-11,-1.541063429272424e-11,0.0,0.0
G5SD,9.850708997733195,9.850708997702373,9.850708997733195,9.850708997733197
CS,305.18288324280616,305.18288324266746,305.182883242746,305.18288324275295
ICDHyr,205.6517540576012,305.18288324266786,205.6517540575885,205.65175405759513
ALATA_L2,0.0,581.0114321433377,0.0,0.0
DURIPP,1.3524690956077607e-11,-2.2283990963918775e-11,0.0,0.0
ACALD,8.164878311829047e-11,999.9999999999734,0.0,0.0
PTRCTA,0.0,-6.5568217716299015e-12,0.0,0.0
ACS,0.0,-1.748485805767938e-11,0.0,0.0
CYSDS,0.0,-1.7484858057679427e-11,0.0,0.0
MAN6PI,2.7216261039426146e-11,0.0,0.0,0.0
PPA,114.09769411539446,114.09769411536787,114.09769411538429,114.0976941153851
APRAUR,0.018470949873433767,0.01847094987251428,0.01847094987343671,0.018470949873434575
TRPAS2,-1.2640863649115988,-1.2640863649327956,-1.2640863649153102,-1.2640863649153102
PPCK,0.0,-1.7485543185916496e-11,0.0,0.0
ME1,0.0,-1.7485543185916502e-11,0.0,0.0
DB4PS,0.03694189974686754,0.03694189974502857,0.03694189974687342,0.03694189974686914
ALAR,1.7262469341355737,677.225256694388,1.7262469341355744,1.726246934135576
RBFK,0.009235474936716883,0.009235474882926937,0.009235474936719827,0.00923547493671769
ALATA_L,-1000.0,946.2774459950982,-36.17794073305902,-36.17794073305902
XYLK,0.0,-1.143627545171616e-11,0.0,0.0
RBK,0.0,-1.143627545171616e-11,0.0,0.0
GLYK,0.0,-1.1436275451716196e-11,0.0,0.0
PPM,-1000.0,-0.018470949907742597,-0.018470949872282573,-0.018470949873140314
ASPTA,-784.9537524953688,-106.977085858867,-106.97708585886936,-106.97708585887008
ACP1_FMN,0.0,-1.1436275451716185e-11,0.0,0.0
RBFSb,0.01847094987343457,0.01847094987283266,0.01847094987343671,0.01847094987343457
NDP3,0.0,-1.143627545171618e-11,0.0,0.0
CDPPH,0.0,-1.1436275451716195e-11,0.0,0.0
NDP7,0.0,-1.1436275451716177e-11,0.0,0.0
FBP,0.0,-1.14362754517162e-11,0.0,0.0
EX_pi_e,-40.26552502635477,-40.26552502636294,-40.26552502635877,-40.265525026359754
GLGC,0.0,-1.1436275451716191e-11,0.0,0.0
ALATA_D2,0.0,581.0114321431769,0.0,0.0
PYK,0.0,920.7321593850884,275.2125901560642,275.2125901560704
SHCHD2,0.009235474936716883,0.009235474936716883,0.009235474936716883,0.009235474936716883
EX_co2_e,1000.000000000061,1000.0,1000.0,1000.0
A5PISO,1.611528254428374,1.6115282544261889,1.611528254428374,1.6115282544285026
PMDPHT,0.01847094987343457,0.018470949871057622,0.01847094987343671,0.01847094987343457
CPPPGO,0.009235474939257506,0.009235474935194566,0.009235474936716883,0.009235474936716883
EX_met__L_e,0.0,-1.505401731380862e-11,0.0,0.0
GTHOr,0.0,294.3408989631381,0.0,0.0
ILETA,-12.078403316798164,-12.078403316804941,-12.07840331680494,-12.078403316804941
DHORD5,0.0,15.46696719623931,15.466967196273181,15.466967196273183
EX_metsox_S__L_e,0.0,-1.5054017313808583e-11,0.0,0.0
GLYCTO2,0.0,1000.0,12.860060312935389,12.860060312935014
VALTA,-1000.0,946.2774459950873,-17.544613271839342,-17.54461327183934
GLYCTO3,0.0,1000.0,0.0,0.0
IPPMIb,-17.89538210265199,-17.895382102682802,-17.8953821026828,-17.895382102682802
GLYCTO4,0.0,730.9408010341762,0.0,0.0
ORPT,-15.466967196263944,-15.46696719627343,-15.466967196273183,-15.466967196273187
RBFSa,0.03694189974686914,0.0369418997403631,0.03694189974687342,0.03694189974686914
ACHBS,12.07840331680494,12.078403316784465,12.07840331680494,12.07840331680494
PFK_3,0.0,135.72581109124408,-6.465100527343522e-13,-9.42827160237597e-13
DHAD2,12.07840331680494,12.078403316793953,12.07840331680494,12.07840331680494
ACLS,35.43999537452199,35.439995374422935,35.43999537452214,35.43999537452214
TRPS2,0.0,-3.296533790555373e-11,0.0,0.0
PSCVT,10.809215717599086,10.809215717590842,10.809215717599082,10.809215717599077
G3PD5,0.0,992.1308614076213,0.0,0.0
G1PP,0.0,-3.214504722076114e-11,0.0,0.0
PFL,999.916880725646,999.9168807254725,999.9168807255694,999.9168807255692
EX_acgam_e,0.0,-5.510579523559062e-12,0.0,0.0
ANS,1.2640863649153105,1.2640863649109269,1.2640863649153102,1.2640863649153105
FRD2,0.0,730.940801034302,0.0,0.0
FRD3,0.0,730.9408010342581,0.0,0.0
ANPRT,1.2640863649153105,1.264086364910824,1.2640863649153102,1.2640863649153105
POX,0.0,-3.289976422619853e-11,0.0,0.0
CHORM,9.508187452936905,9.508187452929313,9.508187452936905,9.508187452936905
PTAr,992.010427650602,992.0104276505234,992.0104276505559,992.0104276505557
CHORS,10.809215717599084,10.80921571759086,10.80921571759908,10.809215717599077
IGPS,1.26408636491531,1.2640863649108245,1.26408636491531,1.26408636491531
ACKr,-992.0104276505252,-992.010427650606,-992.0104276505559,-992.0104276505557
EX_cellb_e,-534.5660364509878,0.0,-466.7031309053433,-466.70313090535313
EX_crn_e,0.0,0.0,0.0,0.0
EX_hxan_e,0.0,-3.2895582573787578e-12,0.0,0.0
EX_ile__L_e,0.0,-1.0965194191261071e-11,0.0,0.0
EX_chol_e,0.0,0.0,0.0,0.0
EX_fe3_e,3.081318087311026e-11,997.1896353038665,0.0,0.0
LEUTAi,17.8953821026828,17.89538210264879,17.8953821026828,17.8953821026828
EX_lac__L_e,0.0,237.36214368302234,0.0,0.0
EX_leu__L_e,0.0,-4.006177199426817e-11,0.0,0.0
EX_glcn_e,0.0,1000.0,0.0,0.0
EX_no3_e,-1000.0,-568.3434816294789,-713.4246728585149,-713.4246728585252
EX_h_e,419.67523508395453,1000.0,938.358768052523,938.3587680525499
DMATT,0.011513282656535277,0.011513282655752443,0.011513282656535104,0.011513282656535206
EX_orn_e,0.0,-8.689457347068144e-12,0.0,0.0
GRTT,0.011513282656535277,0.011513282655752443,0.011513282656535104,0.011513282656535208
EX_gln__L_e,0.0,0.0,0.0,0.0
UPP3S,0.018470949873433763,0.018470949872457423,0.018470949873433763,0.018470949873433763
EX_pro__L_e,0.0,-1.2413510495811705e-11,0.0,0.0
EX_glyc_e,0.0,-2.896485782356048e-11,0.0,0.0
UPPDC1,0.009235474936716883,0.00923547493574054,0.009235474936716883,0.009235474936716883
EX_man_e,0.0,0.0,0.0,0.0
TMDPP,0.0,-1.4482428911780565e-11,0.0,0.0
EX_ade_e,0.0,-2.896485782356065e-12,0.0,0.0
EX_mn2_e,-1.3960063019358944,-1.3960063019358944,-1.3960063019358944,-1.3960063019358944
EX_4abut_e,0.0,0.0,0.0,0.0
EX_ac_e,1000.0000000000182,1000.0,1000.0,1000.0
EX_akg_e,0.0,-2.17236433676701e-11,0.0,0.0
EX_ala__L_e,0.0,193.44158830530597,0.0,0.0
EX_arg__L_e,0.0,-7.319406612655468e-12,0.0,0.0
EX_asp__L_e,0.0,-6.587465951389921e-11,0.0,0.0
EX_pyr_e,0.0,237.36214368298832,0.0,0.0
EX_succ_e,0.0,-6.549279915423325e-11,0.0,0.0
EX_thymd_e,0.0,-1.0915466525705479e-11,0.0,0.0
EX_rib__D_e,0.0,0.0,0.0,0.0
EX_tyr__L_e,0.0,-1.0075815254497341e-11,0.0,0.0
EX_cytd_e,0.0,-6.549279915423319e-12,0.0,0.0
EX_dcyt_e,0.0,0.0,0.0,0.0
MOAT,0.8057641272141869,0.8057641272131307,0.805764127214187,0.8057641272142513
EX_fum_e,0.0,-6.549279915423352e-11,0.0,0.0
EX_sbt__D_e,0.0,0.0,0.0,0.0
EX_glu__L_e,0.0,-3.274639957711646e-11,0.0,0.0
UDCPDPS,0.0022778077198183926,0.0022778077189392946,0.0022778077198182187,0.0022778077198183215
ECOAH6,11.717163057030723,11.717163057022816,11.717163057024653,11.717163057024782
USHD,0.8057641272141869,0.8057641272143724,0.805764127214187,0.8057641272142513
EX_gua_e,0.0,5.083347982688783e-13,0.0,0.0
ENO,945.1129503642966,945.1129503642977,945.1129503642773,945.1129503642768
FBA,1.2127559831538915e-11,135.7258110914463,0.0,0.0
HCO3E,19.2599675393738,19.25996753936827,19.25996753936094,19.259967539361345
MGSA,0.0,5.221824678934803e-12,0.0,0.0
IMPC,-16.03691103049907,-16.036911030502335,-16.036911030504193,-16.03691103050473
IMPD,7.742285518081517,7.742285518032852,7.742285518030244,7.7422855180302355
PPS,0.0,5.221824678934897e-12,0.0,0.0
ECOAH4,14.94021956590704,14.940219565883401,14.940219565881401,14.940219565881787
LPADSS,0.805764127214187,0.8057641272135105,0.805764127214187,0.8057641272142513
GLUTRS,0.14776759898747013,0.1477675989798413,0.1477675989874701,0.14776759898747013
TDSK,0.805764127214187,0.8057641272135105,0.805764127214187,0.8057641272142513
PGI,-999.9999999999798,306.49421658521334,170.7684054940441,170.76840549403084
TMPPP,0.0,-9.430067788334886e-12,0.0,0.0
EX_btn_e,-8.282937162974782e-05,-8.282937251381667e-05,-8.282937162974782e-05,-8.282937162974782e-05
PGK,-1000.0000000000002,-1000.0000000000133,-1000.0000000000002,-1000.0000000000002
EX_ptrc_e,0.0,-8.487061009501376e-12,0.0,0.0
EDA,762.6378563170913,1000.0,762.6378563166433,762.6378563166764
EX_spmd_e,1.9296485018046707e-11,-3.4770006280855733e-12,0.0,0.0
EX_thym_e,0.0,-4.249667434326875e-12,0.0,0.0
EX_xtsn_e,0.0,-1.1590002093618588e-12,0.0,0.0
NTPP1,0.0,-6.374501151490255e-12,0.0,0.0
URIK1,0.0,-4.0956011673313946e-11,0.0,0.0
URIK2,0.0,-2.9963814743240266e-11,0.0,0.0
NTPP2,0.0,-5.1059622039883776e-12,0.0,0.0
PGL,182.3130914013726,1000.0,762.6378563166426,762.6378563166755
NTPTP1,0.0,-5.10596220398836e-12,0.0,0.0
NTPTP2,0.0,-4.324368130249972e-12,0.0,0.0
CYTDK1,0.0,-2.2560296123423797e-11,0.0,0.0
RPE,-31.12940356933012,-31.12940356947153,-31.12940356938991,-31.12940356939103
DHQTi,10.809215717599084,10.809215717591337,10.809215717599082,10.809215717599077
IPMD,17.8953821026828,17.895382102651805,17.8953821026828,17.8953821026828
AIRC3,-16.036911030500136,-16.036911030502523,-16.036911030504193,-16.03691103050473
TALA,-139.46972807293932,-3.743916981874116,-3.743916981832152,-3.743916981832599
PUNP1,-0.018470949781398658,-0.018470949904470277,-0.01847094987343377,-0.018470949873105658
PUNP2,6.135674123168934e-11,-4.6621875613960954e-11,0.0,0.0
PUNP3,9.203511184753359e-11,-5.5798419541861684e-11,0.0,0.0
ADSL2r,16.03691103050625,16.036911030500463,16.03691103050419,16.036911030504726
TKT1,-3.743916981803852,-3.743916981889431,-3.743916981832798,-3.743916981833542
EX_fe2_e,-1000.0000000000001,-2.810364696118288,-2.810364696090098,-2.810364696090098
PUNP5,5.926045024894435e-11,-1.2890936793601527e-11,0.0,0.0
PUNP6,5.383687522368143e-12,-1.4253419225913981e-11,0.0,0.0
PUNP7,5.92388855825462e-11,-7.126709612957065e-12,0.0,0.0
G6PDA,0.0,-1.4023484322260316e-11,0.0,0.0
RNDR1,0.0,1.016133340597601,0.0,0.0
ALCD2x,1.7766168823814765e-10,-1.7903126806081004e-13,0.0,0.0
RNDR3,0.0,1.1267232099253985,0.0,0.0
RNDR4,0.0,1.0463418546137038,1.046341854647967,1.0463418546479666
ALDD2y,0.0,-2.3533175408374357e-11,0.0,0.0
TMDS,1.0463418546479668,1.0463418546445682,1.046341854647967,1.0463418546479668
RMI,0.0,0.0,0.0,0.0
TMDK1,0.0,-2.3737811716273322e-11,0.0,0.0
LYSAM,0.0,0.0,0.0,0.0
PPCDC,0.10450870503491266,0.104508705033153,0.10450870503396106,0.10450870503416339
FTHFD,0.0,-3.583105854896736e-11,0.0,0.0
EX_glc__D_e,-1000.0,0.0,0.0,0.0
DHAD1,35.43999537452208,35.439995374450476,35.43999537452215,35.43999537452215
IPPMIa,-17.895382102623582,-17.895382102682802,-17.895382102682802,-17.895382102682802
EX_alltn_e,0.0,0.0,0.0,0.0
G3PD7,0.0,730.9408010344711,0.0,0.0
EDD,762.6378563170302,1000.0000000000001,762.6378563166433,762.6378563166764
EX_ura_e,0.0,-4.930567100867196e-12,0.0,0.0
NADH9,0.0,730.94080103446,0.0,0.0
EX_val__L_e,0.0,-3.880161064853683e-11,0.0,0.0
NADH10,0.0,1000.0,0.0,0.0
ADK4,4.5317602924815994e-11,0.0,0.0,0.0
INSK,0.0,-2.4106902452800273e-11,0.0,0.0
MDH,-1000.0,1000.0,278.8615205562696,278.8615205562432
ABTA,0.0,-2.4106902452799743e-11,0.0,0.0
EX_xan_e,0.0,0.0,0.0,0.0
FUM,299.7687796036561,977.7454462400007,299.7687796035228,299.7687796035303
FMNAT,0.00923547493671769,0.009235474935999879,0.009235474936719827,0.00923547493671769
PYDXNK,3.458847112533428e-11,0.009235474913029045,0.009235474936716883,0.009235474936716883
PYAM5PO,0.0,581.0114321432803,0.0,0.0
SSALx,0.0,-2.718247326776849e-11,0.0,0.0
ASPT,0.0,677.9766666365078,0.0,0.0
OHPBAT,12.832353888209333,12.832353888029205,12.832353888125239,12.83235388812487
SERD_L,0.0,-3.170293605130499e-11,0.0,0.0
EX_dgsn_e,0.0,-2.4386873885619186e-12,0.0,0.0
NADDP,0.0,-1.585146802565247e-11,0.0,0.0
EX_arab__L_e,0.0,0.0,0.0,0.0
EX_fru_e,-580.3247649159191,0.0,0.0,0.0
THRD,0.0,-1.9021761630782782e-11,0.0,0.0
HEX4,0.0,-3.1702936051304966e-11,0.0,0.0
EX_gal_e,0.0,0.0,0.0,0.0
NMNAT,0.0,-1.5408254767163892e-11,0.0,0.0
EX_xyl__D_e,0.0,0.0,0.0,0.0
KARA1,-35.4399953744297,-35.43999537452215,-35.43999537452215,-35.43999537452215
HMPK1,0.0,-3.081650953432784e-11,0.0,0.0
KARA2,12.07840331680494,12.078403316794668,12.07840331680494,12.07840331680494
EX_duri_e,0.0,-6.603537757355925e-12,0.0,0.0
EX_for_e,1000.0000000000535,1000.0,1000.0,1000.0
EX_gly_e,0.0,-4.622476430149215e-11,0.0,0.0
EX_h2_e,0.0,0.0,0.0,0.0
EX_lys__L_e,0.0,-1.0272169844775968e-11,0.0,0.0
ACCOAC,3.2230565088567507,3.2230565088054033,3.2230565088567475,3.2230565088566125
NADK,0.20703316241816114,0.20703316238734465,0.20703316241787956,0.20703316241813058
GLXCL,0.0,-3.0816509534329334e-11,0.0,0.0
SUCBZS,0.0,-8.32878636062914e-13,0.0,0.0
DHBD,0.0,-3.4240566149252927e-12,0.0,0.0
ICHORT,0.0,-3.4240566149252927e-12,0.0,0.0
EX_ser__L_e,0.0,-3.081650953432738e-11,0.0,0.0
EX_thm_e,-0.009235474936716883,-0.00923547494442101,-0.009235474936716883,-0.009235474936716883
EX_trp__L_e,0.0,-4.202251300135579e-12,0.0,0.0
GLUTRR,0.1477675989874701,0.14776759897916003,0.14776759898747008,0.1477675989874701
GLCS1,0.0,-3.081650953432785e-11,0.0,0.0
GLCP,0.0,-3.081650953432785e-11,0.0,0.0
EX_din_e,0.0,-2.8015008667570727e-12,0.0,0.0
RBK_L1,0.0,0.0,0.0,0.0
RBP4E,0.0,0.0,0.0,0.0
TARTD,0.0,0.0,0.0,0.0
NTD2,0.0,-3.0816509534327816e-11,0.0,0.0
GLCRAL,0.0,0.0,0.0,0.0
NTD4,0.0,-3.081650953432792e-11,0.0,0.0
NTD5,0.0,-3.081650953432777e-11,0.0,0.0
EX_fmn_e,0.0,-1.621921554438306e-12,0.0,0.0
EX_gthox_e,0.0,0.0,0.0,0.0
KAS14,0.0,-1.0272169844776252e-11,0.0,0.0
HEMEOS,0.0,-7.395962288238648e-13,0.0,0.0
ADMDC,0.0,-2.6414151029424396e-12,0.0,0.0
AGMT,9.244952860298406e-12,-1.1556191075372675e-11,0.0,0.0
NTD6,0.0,-4.6224764301492166e-11,0.0,0.0
LGTHL,0.0,-3.0816509534327835e-11,0.0,0.0
PYDXPP,0.0,-3.0816509534327745e-11,0.0,0.0
PDXPP,0.0,-3.0816509534327764e-11,0.0,0.0
ARGDC,0.0,-1.1556191075372969e-11,0.0,0.0
HACD6,11.717163057040068,11.717163057023361,11.717163057024655,11.717163057024782
ECOAH1,14.940219565973864,14.94021956586292,14.940219565881407,14.940219565881794
ECOAH2,14.940219565973862,14.94021956586292,14.940219565881403,14.940219565881792
ARGSS,6.378044095015558,6.378044095006327,6.378044095015558,6.378044095015558
AGPR,-6.3780440950052855,-6.378044095015557,-6.378044095015556,-6.378044095015557
SPMS,1.1556714372812674e-11,-6.9233758783554016e-12,0.0,0.0
G1SAT,0.1477675989874701,0.14776759898249148,0.14776759898747008,0.1477675989874701
KDOCT2,1.611528254428374,1.6115282544274807,1.611528254428374,1.6115282544285026
ECOAH3,14.940219565891677,14.940219565879111,14.940219565881401,14.940219565881787
UGLT,0.0,0.0,0.0,0.0
