ID,lb,ub,pfba_wt,pfba_sec_met
CYTDK2,0.0,-2.3732127374387374e-12,0.0,0.0
XPPT,0.0,-1.1866063687193683e-12,0.0,0.0
HXPRT,0.0,-1.1866063687193683e-12,0.0,0.0
NDPK5,-1.2485817502056367e-12,-1.888820170071072e-12,0.0,0.0
SHK3Dr,334.83640718562845,334.83640718562793,2.4052735777855942e-30,334.8364071856305
NDPK6,-1.589659011178305e-12,-2.0905640612901476e-12,-9.34000972263082e-15,-1.58192551572229e-28
NDPK8,-1.5896590111783049e-12,-2.090564061290145e-12,9.34000972263082e-15,0.0
DHORTS,-3.709142769115626e-13,0.0,4.68216257516726e-32,0.0
OMPDC,-1.371854861782713e-14,-1.4756922785577572e-12,-4.682162575167261e-32,1.58192551572229e-28
PYNP2r,-4.799858928453744e-12,-2.090564061290146e-12,0.0,0.0
G5SD,0.0,-4.181128122580301e-12,0.0,0.0
CS,276.0241916167696,276.0241916167082,0.5838297872340434,276.0241916168011
ICDHyr,276.0241916167696,276.02419161670826,0.5838297872340432,276.02419161680115
ALATA_L2,0.0,-1.2543384367751459e-10,0.0,0.0
DURIPP,-2.6568786917535238e-12,-4.7220504251777714e-12,0.0,1.5819255157222907e-28
ACALD,-167.41820359282883,1000.0000000000067,0.0,-9.352006312718171e-13
PTRCTA,-4.95917286036489e-12,1.7819206614761803e-12,3.3459157354670432e-16,0.0
ACS,0.0,2.7197736412004833e-12,0.0,0.0
CYSDS,253.38191616765667,253.38191616763675,-1.0024833650287041e-14,253.38191616767176
MAN6PI,-3.9673382882919234e-12,-1.3478840574891717e-12,0.0,0.0
PPA,669.6728143712542,669.6728143712523,6.848963882016754e-15,669.6728143712597
APRAUR,0.0,-2.438423947612008e-13,0.0,0.0
TRPAS2,-3.967338288291927e-13,-3.81164164442559e-12,-6.3596316429509654e-15,0.0
PPCK,0.0,-2.8968902003193997e-11,0.0,4.099019692623871e-14
ME1,0.0,-1.0345884463440214e-11,-2.5947378551510055e-16,0.0
DB4PS,0.0,-4.876847895224006e-13,0.0,0.0
ALAR,0.0,-8.94589206800683e-11,0.0,0.0
RBFK,0.0,-5.5911825425048085e-12,0.0,0.0
ALATA_L,-1000.0,1000.0,0.0,0.0
XYLK,0.0,-4.041852349300334e-12,0.0,0.0
RBK,0.0,-5.052315436625415e-12,0.0,0.0
GLYK,0.0,-2.5220221582735597e-12,0.0,0.0
PPM,-1000.0,-1.1006825280547038e-12,1.800105681179317e-15,-6.50677603259312e-14
ASPTA,-662.9089820360318,-4.279482204924527e-13,-3.981543543654883e-15,-1.551875416062745e-12
ACP1_FMN,0.0,-2.5281233188173644e-12,0.0,0.0
RBFSb,0.0,-1.0214639671989348e-13,0.0,0.0
NDP3,0.0,-2.5281233188173438e-12,0.0,0.0
CDPPH,0.0,-2.5281233188173615e-12,0.0,0.0
NDP7,0.0,-2.5281233188173627e-12,0.0,0.0
FBP,0.0,-1.2396018297235862e-11,0.0,0.0
EX_pi_e,-8.28331233975002e-13,-5.926615544601352e-12,0.0,-7.0027051483092454e-12
GLGC,0.0,-9.671877912232341e-12,0.0,0.0
ALATA_D2,0.0,-2.997315563084965e-10,0.0,0.0
PYK,0.0,-1.712751750335183e-11,0.1459574468084993,0.0
SHCHD2,0.0,0.0,0.0,0.0
EX_co2_e,832.5817964071653,1000.0,1.7514893617021385,832.5817964072991
A5PISO,0.0,-5.323758069310332e-13,1.2496029668151826e-16,1.2135291283205566e-13
PMDPHT,0.0,1.651787159124908e-12,0.0,0.0
CPPPGO,-1.6233509914634823e-12,9.864319368866451e-13,0.0,0.0
EX_met__L_e,0.0,8.286028269847901e-12,0.0,0.0
GTHOr,-7.083713417295135e-12,2.27865777420902e-10,0.0,0.0
ILETA,-3.0557195133429887e-12,0.0,0.0,0.0
DHORD5,0.0,1.2485796023058795e-11,0.0,0.0
EX_metsox_S__L_e,0.0,1.0850751305752919e-11,1.8586876018405473e-30,0.0
GLYCTO2,0.0,1000.0,-3.4566261522024597e-16,4.509221556892315
VALTA,-1000.0,1000.0000000000001,0.0,0.0
GLYCTO3,0.0,1000.0,0.0,0.0
IPPMIb,-3.574664354174243e-12,0.0,0.0,0.0
GLYCTO4,0.0,723.9758083833019,0.0,0.0
ORPT,-2.3130181115245257e-12,1.64792150236915e-30,4.6821625751672605e-32,-1.5819255157222896e-28
RBFSa,0.0,2.7655815505331632e-12,0.0,0.0
ACHBS,0.0,8.906661785703809e-12,0.0,0.0
PFK_3,0.0,1.2182265579808008e-10,0.0,0.0
DHAD2,0.0,8.409739835175775e-12,0.0,0.0
ACLS,-1.113672037098191e-13,2.8124099808709133e-11,0.0,0.0
TRPS2,0.0,1.9242805132274823e-11,0.0,0.0
PSCVT,334.8364071856276,334.8364071856323,2.405273577785594e-30,334.83640718563043
G3PD5,0.0,1000.0000000001245,0.0,1.041577472785496e-28
G1PP,0.0,2.075349447692724e-11,0.0,0.0
PFL,999.9999999998694,1000.0,0.0,1000.0
EX_acgam_e,-7.694861064562891e-11,0.0,0.0,0.0
ANS,0.0,1.8046516936458693e-12,0.0,0.0
FRD2,0.0,723.97580838325,0.0,0.0
FRD3,0.0,723.9758083832501,0.0,0.0
ANPRT,0.0,1.1133153211755358e-12,0.0,0.0
POX,0.0,1.2803126193518627e-11,0.0,0.0
CHORM,0.0,1.175146624844271e-12,0.0,0.0
PTAr,999.9999999999233,1000.0,8.020316968677789e-15,1000.0
CHORS,334.83640718562845,334.8364071856297,2.4052735777855942e-30,334.8364071856305
IGPS,0.0,8.08977748986999e-13,0.0,0.0
ACKr,-999.9999999999999,-999.999999999978,-8.020316968677789e-15,-999.9999999999999
EX_cellb_e,-669.6728143713306,0.0,-0.14595744680851575,-669.6728143712617
EX_crn_e,0.0,0.0,0.0,0.0
EX_hxan_e,0.0,8.260482167728643e-13,0.0,0.0
EX_ile__L_e,0.0,3.777659527924677e-12,0.0,0.0
EX_chol_e,0.0,0.0,0.0,0.0
EX_fe3_e,-4.295799907534255e-11,7.744202032245599e-11,-7.352540531709741e-30,0.0
LEUTAi,0.0,7.040183665677768e-12,0.0,0.0
EX_lac__L_e,0.0,1.5488404064490862e-10,0.0,0.0
EX_leu__L_e,0.0,7.040183665677769e-12,0.0,0.0
EX_glcn_e,918.545508981705,918.5455089827011,0.0,918.545508982264
EX_no3_e,-1000.0,-999.9999999999256,1.5741877383813822e-17,-1000.0000000001123
EX_h_e,999.9999999995872,1000.0,9.288532973953057e-15,1000.0
DMATT,0.0,5.794814274372876e-13,0.0,7.786050537842207e-30
EX_orn_e,0.0,6.0707578112477316e-12,0.0,0.0
GRTT,0.0,5.794814274372878e-13,0.0,7.786050537842207e-30
EX_gln__L_e,0.0,9.915571091704943e-12,0.0,0.0
UPP3S,0.0,6.730025627853933e-13,0.0,0.0
EX_pro__L_e,0.0,8.039652236517546e-12,0.0,0.0
EX_glyc_e,0.0,7.436678318776877e-11,0.0,0.0
UPPDC1,0.0,6.730025627853932e-13,0.0,0.0
EX_man_e,-4.527396884386489e-11,0.0,0.0,0.0
TMDPP,-2.2636984421933185e-11,4.342585879578745e-12,0.0,0.0
EX_ade_e,0.0,1.5293939987204918e-12,0.0,0.0
EX_mn2_e,0.0,0.0,0.0,0.0
EX_4abut_e,0.0,0.0,0.0,0.0
EX_ac_e,999.9999999999353,1000.0,0.0,999.9999999999998
EX_akg_e,0.0,1.1676531246263757e-11,0.0,0.0
EX_ala__L_e,0.0,3.1711028883352542e-12,0.0,0.0
EX_arg__L_e,0.0,2.8310135930643873e-13,0.0,0.0
EX_asp__L_e,0.0,1.2132915398847504e-12,0.0,0.0
EX_pyr_e,0.0,3.538766991329931e-12,0.0,0.0
EX_succ_e,0.0,1.6986081558386407e-12,0.0,0.0
EX_thymd_e,0.0,7.583072124279332e-13,0.0,0.0
EX_rib__D_e,0.0,0.0,0.0,0.0
EX_tyr__L_e,0.0,2.2350107313666644e-13,0.0,0.0
EX_cytd_e,0.0,2.3591779942203114e-13,0.0,0.0
EX_dcyt_e,0.0,2.3332529613167945e-13,0.0,0.0
MOAT,0.0,6.699672456134738e-14,6.248014834075913e-17,6.067645641602783e-14
EX_fum_e,0.0,1.2195783129394819e-12,0.0,0.0
EX_sbt__D_e,-3.018264589591055e-11,0.0,0.0,0.0
EX_glu__L_e,0.0,8.053819047713789e-13,0.0,0.0
UDCPDPS,-1.496660127069954e-11,3.288539364628888e-14,4.505909337795264e-31,7.786050537842207e-30
ECOAH6,-1.2096603921210079e-11,-1.144727249005525e-13,9.395797501728072e-17,3.0338228208013564e-13
USHD,0.0,-5.986553022972473e-14,6.248014834075912e-17,6.067645641602782e-14
EX_gua_e,0.0,-5.957808600744502e-13,0.0,0.0
ENO,669.6728143712089,669.6728143712362,0.5838297872340515,669.6728143712613
FBA,-1.3418124412461082e-11,-4.8648760963276745e-11,0.0,0.0
HCO3E,-2.854788707305472e-13,-1.1394017807233961e-11,6.689222393689691e-15,3.065050819169284e-12
MGSA,-1.610412185950443e-11,-2.918317063479046e-11,-1.765028827019685e-15,0.0
IMPC,-6.946167354038443e-13,-8.454640006984235e-13,-6.689222393689692e-15,-8.024810330178773e-13
IMPD,0.0,-6.0278101071562965e-12,0.0,5.308664997300929e-14
PPS,0.0,-2.943285275522639e-11,0.0,0.0
ECOAH4,-7.659867331516656e-12,-2.078042731652191e-12,1.4992837122650545e-16,3.6405873849616764e-13
LPADSS,0.0,-1.4949197314244486e-12,6.248014834075913e-17,6.067645641602783e-14
GLUTRS,0.0,-5.009416615168765e-12,0.0,0.0
TDSK,0.0,-1.1562689485115647e-12,6.248014834075913e-17,6.067645641602783e-14
PGI,-515.8784431139425,651.5397604791647,0.14595744680851477,0.0
TMPPP,0.0,6.783117666993495e-12,0.0,0.0
EX_btn_e,0.0,0.0,0.0,0.0
PGK,-1000.0,-999.9999999999902,-0.583829787234052,-1000.0
EX_ptrc_e,0.0,9.68007417060529e-12,0.0,0.0
EDA,687.805868263454,855.2240718564019,0.0,687.8058682635021
EX_spmd_e,0.0,3.4910110988084862e-12,0.0,0.0
EX_thym_e,-6.978340071806259e-12,2.114992125555587e-12,0.0,0.0
EX_xtsn_e,0.0,7.189923603005481e-13,0.0,0.0
NTPP1,0.0,6.036540025023407e-12,0.0,0.0
URIK1,0.0,1.784165106758691e-11,0.0,0.0
URIK2,0.0,1.7841651067586873e-11,0.0,0.0
NTPP2,0.0,6.031955919670904e-12,0.0,0.0
PGL,687.8058682633983,855.2240718564018,0.0,687.8058682635024
NTPTP1,0.0,1.2103640752396574e-11,0.0,0.0
NTPTP2,0.0,6.051820376198209e-12,0.0,0.0
CYTDK1,0.0,1.2103640752396515e-11,0.0,0.0
RPE,-113.1152095808589,-113.11520958059928,-1.8070720421744056e-15,-113.11520958084145
DHQTi,334.83640718562845,334.8364071856299,2.405273577785594e-30,334.8364071856305
IPMD,0.0,6.600874566676277e-12,0.0,0.0
AIRC3,-4.471774231893373e-13,2.134779493348733e-13,-6.689222393689691e-15,-8.024810330178771e-13
TALA,113.11520958077386,113.11520958087017,-4.5841804872352486e-15,113.1152095808405
PUNP1,-2.3514939185002475e-11,2.4073237859215962e-11,0.0,0.0
PUNP2,-8.025417786690906e-12,3.609498049509469e-11,3.8459186523308554e-30,0.0
PUNP3,-2.056069956683405e-11,2.4073237859215978e-11,-9.340009722630824e-15,-5.30866499730093e-14
ADSL2r,-4.870992021261644e-13,7.997350787772582e-13,6.689222393689691e-15,8.02481033017877e-13
TKT1,113.115209580783,113.11520958086871,-4.5841804872352486e-15,113.1152095808405
EX_fe2_e,-8.223745094824534e-11,2.796143119954904e-11,0.0,0.0
PUNP5,-1.3706241824707527e-11,1.1495372336842894e-11,9.340009722630828e-15,0.0
PUNP6,-7.703742477587394e-13,1.3501372047845263e-11,-9.340009722630828e-15,0.0
PUNP7,-1.3695473963692101e-11,1.0924268306789837e-11,0.0,5.308664997300931e-14
G6PDA,0.0,2.1942244611316442e-11,-1.249602966815182e-16,0.0
RNDR1,0.0,4.697106264307322e-11,0.0,0.0
ALCD2x,-167.41820359283724,-3.899748462847064e-13,0.0,-9.352006312718173e-13
RNDR3,0.0,1.1721663992690134e-11,0.0,1.58192551572229e-28
RNDR4,0.0,4.688665597076167e-11,-7.238160880722424e-15,0.0
ALDD2y,0.0,3.119999819841799e-11,0.0,0.0
TMDS,0.0,5.452976525996351e-12,0.0,0.0
RMI,-1.2922689166924353e-11,0.0,0.0,0.0
TMDK1,0.0,3.112740766922923e-11,0.0,0.0
LYSAM,0.0,0.0,0.0,0.0
PPCDC,0.0,1.1228323407738018e-12,1.6821709415388393e-30,0.0
FTHFD,0.0,3.112740766922928e-11,0.0,0.0
EX_glc__D_e,-918.5455089823146,-918.545508981779,0.0,-918.545508982264
DHAD1,0.0,2.8732991694673444e-11,0.0,0.0
IPPMIa,-5.678097806941814e-12,0.0,0.0,0.0
EX_alltn_e,0.0,1.1150116180022384e-11,0.0,0.0
G3PD7,0.0,723.9758083833417,0.0,0.0
EDD,687.8058682634571,855.2240718565959,0.0,687.8058682635021
EX_ura_e,0.0,7.135371159102839e-12,0.0,0.0
NADH9,0.0,723.9758083832758,0.0,0.0
EX_val__L_e,0.0,3.45376519224232e-11,0.0,0.0
NADH10,0.0,1000.0,0.0,0.0
ADK4,-1.0416416381277525e-11,0.0,0.0,0.0
INSK,0.0,3.4952308753251785e-11,-9.340009722630827e-15,0.0
MDH,-1000.0,938.9331736529634,0.5838297872340473,0.0
ABTA,0.0,1.0260214229042447e-11,0.0,0.0
EX_xan_e,0.0,0.0,0.0,0.0
FUM,276.0241916167352,938.9331736529634,0.5838297872340472,276.02419161680274
FMNAT,0.0,4.818887309139285e-13,8.568800110924477e-32,3.098962898693898e-28
PYDXNK,0.0,1.0260214229042388e-11,0.0,0.0
PYAM5PO,0.0,1.6416342766466552e-10,-1.2628507268840991e-30,0.0
SSALx,0.0,1.0260214229042453e-11,0.0,0.0
ASPT,0.0,662.9089820361295,0.0,0.0
OHPBAT,4.509221556795725,4.509221556935809,-7.361288932296094e-15,4.509221556892261
SERD_L,0.0,7.115691126969662e-12,0.0,0.0
EX_dgsn_e,0.0,6.453371427800632e-13,0.0,0.0
NADDP,0.0,5.633255475517672e-12,0.0,0.0
EX_arab__L_e,-2.9814578182882155e-11,0.0,0.0,0.0
EX_fru_e,-8.94437345486525e-12,0.0,0.0,0.0
THRD,0.0,8.722460091124132e-12,0.0,0.0
HEX4,0.0,1.1266510951035285e-11,0.0,0.0
EX_gal_e,0.0,0.0,0.0,0.0
NMNAT,0.0,-1.1866063687193683e-12,0.0,0.0
EX_xyl__D_e,0.0,0.0,0.0,0.0
KARA1,2.1906579114819086e-12,0.0,0.0,0.0
HMPK1,0.0,0.0,0.0,0.0
KARA2,0.0,-1.1168059940888158e-12,0.0,0.0
EX_duri_e,0.0,-6.78060782125353e-13,0.0,0.0
EX_for_e,1000.000000000661,999.9999999999999,0.0,1000.0
EX_gly_e,0.0,-2.109522433278877e-12,0.0,0.0
EX_h2_e,6.6108972354816e-11,0.0,0.0,0.0
EX_lys__L_e,0.0,-6.190989749840188e-13,0.0,0.0
ACCOAC,2.8012276421532266e-12,-2.3732127374387435e-12,0.0,2.262569786151407e-12
NADK,0.0,-2.373212737438767e-12,0.0,0.0
GLXCL,2.254610778609339,2.2546107784398295,0.0,2.2546107784461578
SUCBZS,0.0,-2.413436682141103e-13,0.0,0.0
DHBD,334.8364071856285,334.8364071856284,0.0,334.8364071856303
ICHORT,334.8364071856285,334.8364071856284,0.0,334.8364071856303
EX_ser__L_e,0.0,1.0402283836640692e-13,0.0,0.0
EX_thm_e,1.1021573848268268e-11,0.0,0.0,0.0
EX_trp__L_e,0.0,1.7337139727734443e-14,0.0,0.0
GLUTRR,0.0,4.706915763185827e-14,0.0,0.0
GLCS1,0.0,2.1671424659668035e-13,0.0,0.0
GLCP,0.0,2.1671424659668035e-13,0.0,0.0
EX_din_e,0.0,-4.1121575678981634e-13,0.0,0.0
RBK_L1,0.0,0.0,0.0,0.0
RBP4E,0.0,0.0,0.0,0.0
TARTD,0.0,0.0,0.0,0.0
NTD2,0.0,-1.989247808307406e-12,0.0,0.0
GLCRAL,0.0,0.0,0.0,0.0
NTD4,0.0,-1.9892478083074094e-12,0.0,0.0
NTD5,0.0,-1.98924780830741e-12,0.0,0.0
EX_fmn_e,1.479405885673586e-12,-2.0402541623665737e-13,0.0,-3.0989628986938977e-28
EX_gthox_e,0.0,-2.295285932662399e-13,0.0,0.0
KAS14,0.0,2.447661620019148e-12,2.84129302189791e-16,0.0
HEMEOS,0.0,0.0,0.0,0.0
ADMDC,0.0,2.4470867048988127e-12,0.0,0.0
AGMT,8.649243298442029e-13,6.362425432736903e-12,0.0,0.0
NTD6,1.5576696947292663e-12,1.44920078026502e-11,-9.34000972263082e-15,0.0
LGTHL,0.0,1.2085487866627009e-11,0.0,0.0
PYDXPP,0.0,9.064115899970244e-12,-7.01462747380851e-17,0.0
PDXPP,0.0,9.064115899970217e-12,7.014627473808382e-17,0.0
ARGDC,0.0,5.438469539982149e-12,0.0,0.0
HACD6,2.6006890304381674e-12,2.589747399991497e-12,9.395797501728072e-17,-4.3218024283334835e-13
ECOAH1,2.6006890304370002e-11,8.310333944959803e-12,-4.406046204811215e-17,3.6405873849616774e-13
ECOAH2,2.6006890304370064e-11,8.310333944959803e-12,-4.4060462048112165e-17,3.6405873849616774e-13
ARGSS,0.0,4.530172881576366e-12,0.0,0.0
AGPR,1.1212239197477858e-12,0.0,0.0,0.0
SPMS,0.0,2.0134101695894977e-12,-3.345915735467043e-16,0.0
G1SAT,0.0,1.9678579033091947e-12,0.0,0.0
KDOCT2,-1.6639600085187604e-27,1.107060937644001e-12,1.2496029668151826e-16,1.2135291283205566e-13
ECOAH3,5.3937358710918164e-12,1.6598785265284225e-12,1.4992837122650548e-16,3.640587384961677e-13
UGLT,0.0,0.0,0.0,0.0
EDTXS1,0.0,4.4326815060971767e-13,6.248014834075913e-17,0.0
DXPS,0.0,4.2499210233583823e-13,0.0,8.564655591626427e-29
OAADC,0.0,4.6470387826384205e-12,0.0,0.0
MNNH,2.3375620492304296e-11,0.0,0.0,0.0
CDPMEK,0.0,4.2499210233583823e-13,0.0,8.56465559162643e-29
EDTXS2,0.0,1.6309065566782604e-13,6.248014834075912e-17,6.067645641602783e-14
ALTRH,2.3375620492304325e-11,0.0,0.0,0.0
