ID,lb,ub,pfba_wt,pfba_sec_met
GLCNtex,-918.5455089824706,-918.5455089819742,0.0,-918.545508982264
PYK,0.0,-1.7127517503351828e-11,0.1459574468084993,0.0
NH4tex,-918.5455089820553,-918.5455089821102,1.3462349657519678e-14,-918.545508982152
NADPHQR2,0.0,1000.0,0.0,291.9026347305922
H2Stex,-253.38191616767008,-253.38191616762825,1.002483365028704e-14,-253.38191616767173
DHAtex,-538.4245508982103,-371.0063473052946,0.0,-538.4245508981801
DHAtpp,-538.4245508982477,-371.0063473050694,0.0,-538.4245508981801
NO3R2pp,0.0,1000.0000000000008,-1.5741877383813822e-17,488.5856620093436
NO3t7pp,0.0,1000.0,-1.5741877383813825e-17,488.5856620093437
TKT2,-226.2304191616953,-226.23041916198068,2.7771084450608426e-15,-226.230419161682
PSCVT,334.8364071856276,334.8364071856323,2.4052735777855942e-30,334.83640718563043
SHK3Dr,334.83640718562845,334.83640718562793,2.4052735777855946e-30,334.8364071856305
CHORS,334.83640718562845,334.8364071856297,2.4052735777855946e-30,334.8364071856305
PGI,-515.8784431139425,651.5397604791647,0.1459574468085147,0.0
NO3tex,1000.0000000000384,1000.0,-1.5741877383813822e-17,1000.0000000001124
NTRIR3pp,64.85656686629046,1000.0,0.0,703.5655854957839
PPA,669.6728143712542,669.6728143712523,6.848963882016754e-15,669.6728143712597
ADK1,-1000.0,1000.0,0.0,669.6728143712613
NO3R2bpp,0.0,999.9999999999912,0.0,511.4143379907686
GLCDpp,918.5455089820454,918.5455089822228,0.0,918.545508982264
