ID,lb,ub,pfba_wt,pfba_sec_met
CYTDK2,0.0,-2.8758837895912538e-12,0.0,0.0
XPPT,3.195426432879219e-13,-1.4379418947956305e-12,0.0,0.0
HXPRT,0.0,-1.437941894795631e-12,0.0,0.0
NDPK5,4.3138256843867575e-12,0.9893180999592909,0.0,0.0
SHK3Dr,10.80921571759903,10.809215717597656,10.809215717599082,10.809215717599086
NDPK6,-1.046341854643653,-1.4168651578666583e-12,1.968160748930693e-16,0.0
NDPK8,4.3138256843867866e-12,1.0161333406163644,0.0,0.0
DHORTS,-15.466967196272318,-15.466967196273181,-15.466967196273181,-15.466967196273181
OMPDC,15.466967196273185,15.466967196272131,15.466967196273185,15.46696719627319
PYNP2r,4.313825684386736e-12,-1.4078599151548287e-12,0.0,0.0
G5SD,9.850708997733197,9.850708997730381,9.850708997733195,9.850708997733197
CS,305.1828832427342,305.18288324272123,305.182883242746,305.18288324275386
ICDHyr,205.6517540575732,305.182883242718,205.6517540575885,205.6517540575962
ALATA_L2,0.0,581.0114321436583,0.0,0.0
DURIPP,7.65957007630556e-12,-6.4411779225975975e-12,0.0,0.0
ACALD,4.3540304994932285e-11,1000.0,0.0,0.0
PTRCTA,0.0,-3.012139529897138e-12,0.0,0.0
ACS,0.0,-6.024279059794346e-12,0.0,0.0
CYSDS,0.0,-6.024279059794281e-12,0.0,0.0
MAN6PI,1.4513434998310662e-11,0.0,0.0,0.0
PPA,114.09769411539635,114.0976941148237,114.09769411538429,114.09769411538635
APRAUR,0.018470949873434575,0.01847094987172507,0.01847094987343671,0.018470949873434575
TRPAS2,-1.264086364913331,-1.264086364947332,-1.2640863649153102,-1.2640863649153102
PPCK,0.0,-3.202189542967273e-11,0.0,0.0
ME1,0.0,-3.202189542967275e-11,0.0,0.0
DB4PS,0.03694189974686915,0.03694189974345015,0.03694189974687342,0.03694189974686915
ALAR,1.7262469341355744,677.2252566944417,1.7262469341355744,1.7262469341355764
RBFK,0.00923547493671769,0.009235474897303112,0.009235474936719827,0.00923547493671769
ALATA_L,-1000.0,946.2774459950966,-36.17794073305902,-36.17794073305902
XYLK,0.0,-1.35926060214137e-11,0.0,0.0
RBK,0.0,-1.3592606021413708e-11,0.0,0.0
GLYK,0.0,-1.3592606021413735e-11,0.0,0.0
PPM,-1000.0,-0.018470949914211398,-0.018470949872282573,-0.018470949871738862
ASPTA,-784.9537524953824,-106.97708585886801,-106.97708585886936,-106.97708585886932
ACP1_FMN,0.0,1.836815068984942e-12,0.0,0.0
RBFSb,0.01847094987343457,0.018470949873508127,0.01847094987343671,0.01847094987343457
NDP3,0.0,1.8447999151140106e-12,0.0,0.0
CDPPH,0.0,1.844799915114014e-12,0.0,0.0
NDP7,0.0,1.8447999151140106e-12,0.0,0.0
FBP,0.0,1.8447999151140122e-12,0.0,0.0
EX_pi_e,-40.26552502635195,-40.26552502635457,-40.26552502635877,-40.265525026361445
GLGC,0.0,1.8447999151140143e-12,0.0,0.0
ALATA_D2,0.0,581.011432143221,0.0,0.0
PYK,0.0,920.7321593851091,275.2125901560642,275.21259015607825
SHCHD2,0.009235474936716883,0.009235474936716883,0.009235474936716883,0.009235474936716883
EX_co2_e,1000.0000000000879,1000.0,1000.0,1000.0
A5PISO,1.611528254428374,1.6115282544264933,1.611528254428374,1.611528254428593
PMDPHT,0.01847094987343457,0.018470949871389086,0.01847094987343671,0.01847094987343457
CPPPGO,0.009235474940374534,0.009235474935406851,0.009235474936716883,0.009235474936716883
EX_met__L_e,0.0,-1.2954756811646841e-11,0.0,0.0
GTHOr,0.0,294.34089896326293,0.0,0.0
ILETA,-12.078403316795187,-12.078403316804941,-12.07840331680494,-12.078403316804941
DHORD5,0.0,15.466967196260027,15.466967196273181,15.466967196273181
EX_metsox_S__L_e,0.0,-7.281935489500742e-12,0.0,0.0
GLYCTO2,0.0,1000.0,12.860060312935389,12.860060312935381
VALTA,-1000.0,946.2774459950887,-17.544613271839342,-17.54461327183934
GLYCTO3,0.0,1000.0,0.0,0.0
IPPMIb,-17.895382102653624,-17.895382102682802,-17.8953821026828,-17.895382102682802
GLYCTO4,0.0,730.9408010343858,0.0,0.0
ORPT,-15.466967196262246,-15.4669671962717,-15.466967196273183,-15.466967196273183
RBFSa,0.03694189974686914,0.03694189974027834,0.03694189974687342,0.03694189974686914
ACHBS,12.07840331680494,12.078403316784067,12.07840331680494,12.07840331680494
PFK_3,0.0,135.7258110912093,-6.465100527343522e-13,-1.7509647261555373e-12
DHAD2,12.07840331680494,12.078403316782575,12.07840331680494,12.07840331680494
ACLS,35.43999537452219,35.43999537432057,35.43999537452214,35.43999537452214
TRPS2,0.0,-6.709852791155516e-11,0.0,0.0
PSCVT,10.809215717599086,10.809215717583557,10.809215717599082,10.809215717599086
G3PD5,0.0,992.1308614076355,0.0,0.0
G1PP,0.0,-1.6491906700245445e-11,0.0,0.0
PFL,999.9168807255973,999.91688072552,999.9168807255694,999.9168807255692
EX_acgam_e,0.0,-2.827184005756367e-12,0.0,0.0
ANS,1.2640863649153105,1.2640863649130614,1.2640863649153102,1.2640863649153105
FRD2,0.0,730.9408010344481,0.0,0.0
FRD3,0.0,730.940801034406,0.0,0.0
ANPRT,1.2640863649153105,1.264086364913645,1.2640863649153102,1.2640863649153105
POX,0.0,-1.2212575670881783e-11,0.0,0.0
CHORM,9.508187452936905,9.508187452934086,9.508187452936905,9.508187452936905
PTAr,992.0104276505998,992.0104276505436,992.0104276505559,992.0104276505557
CHORS,10.809215717599084,10.809215717596267,10.80921571759908,10.809215717599084
IGPS,1.26408636491531,1.264086364913645,1.26408636491531,1.26408636491531
ACKr,-992.0104276505268,-992.0104276505743,-992.0104276505559,-992.0104276505557
EX_cellb_e,-534.5660364509902,0.0,-466.7031309053433,-466.703130905352
EX_crn_e,1.4349164239489043e-12,0.0,0.0,0.0
EX_hxan_e,0.0,-1.2212575670881818e-12,0.0,0.0
EX_ile__L_e,0.0,-4.070858556960719e-12,0.0,0.0
EX_chol_e,0.0,0.0,0.0,0.0
EX_fe3_e,1.4412974180292712e-11,997.1896353038665,0.0,7.859978691613899e-13
LEUTAi,17.8953821026828,17.89538210264855,17.8953821026828,17.8953821026828
EX_lac__L_e,0.0,237.36214368308083,0.0,0.0
EX_leu__L_e,0.0,-3.4250967061540926e-11,0.0,0.0
EX_glcn_e,0.0,999.9999999999774,0.0,0.0
EX_no3_e,-1000.0,-568.3434816294429,-713.4246728585149,-713.4246728585234
EX_h_e,419.6752350838996,1000.0,938.358768052523,938.3587680525613
DMATT,0.011513282656534951,0.011513282655429363,0.011513282656535104,0.011513282656535277
EX_orn_e,0.0,-2.1029050357350682e-11,0.0,0.0
GRTT,0.011513282656534951,0.01151328265489209,0.011513282656535104,0.011513282656535277
EX_gln__L_e,0.0,0.0,0.0,0.0
UPP3S,0.018470949873433763,0.01847094987107053,0.018470949873433763,0.018470949873433763
EX_pro__L_e,0.0,-3.004687050196193e-11,0.0,0.0
EX_glyc_e,0.0,-7.010936450457826e-11,0.0,0.0
UPPDC1,0.009235474936716883,0.009235474934353645,0.009235474936716883,0.009235474936716883
EX_man_e,0.0,0.0,0.0,0.0
TMDPP,0.0,-3.50546822522887e-11,0.0,0.0
EX_ade_e,0.0,-7.0109364504577794e-12,0.0,0.0
EX_mn2_e,-1.3960063019358946,-1.3960063019358944,-1.3960063019358944,-1.3960063019358944
EX_4abut_e,0.0,0.0,0.0,0.0
EX_ac_e,1000.0000000000218,1000.0,1000.0,1000.0
EX_akg_e,0.0,-5.258202337843309e-11,0.0,0.0
EX_ala__L_e,0.0,193.4415883050956,0.0,0.0
EX_arg__L_e,0.0,-8.88118072704386e-12,0.0,0.0
EX_asp__L_e,0.0,-7.993062654339702e-11,0.0,0.0
EX_pyr_e,0.0,237.36214368342496,0.0,0.0
EX_succ_e,0.0,-1.0873701529498183e-12,0.0,0.0
EX_thymd_e,0.0,-1.8122835882496954e-13,0.0,0.0
EX_rib__D_e,0.0,0.0,0.0,0.0
EX_tyr__L_e,0.0,-1.6728771583843378e-13,0.0,0.0
EX_cytd_e,0.0,-1.0873701529498233e-13,0.0,0.0
EX_dcyt_e,0.0,0.0,0.0,0.0
MOAT,0.805764127214187,0.8057641272141695,0.805764127214187,0.8057641272142964
EX_fum_e,0.0,-1.0873701529498243e-12,0.0,0.0
EX_sbt__D_e,0.0,0.0,0.0,0.0
EX_glu__L_e,0.0,-5.436850764749138e-13,0.0,0.0
UDCPDPS,0.002277807719818065,0.0022778077198183136,0.0022778077198182187,0.0022778077198183926
ECOAH6,11.717163057033403,11.717163057024624,11.717163057024653,11.717163057024875
USHD,0.805764127214187,0.8057641272141696,0.805764127214187,0.8057641272142965
EX_gua_e,0.0,-6.590122139089839e-14,0.0,0.0
ENO,945.112950364274,945.1129503642774,945.1129503642773,945.1129503642773
FBA,-5.1486021471227424e-12,135.72581109128606,0.0,0.0
HCO3E,19.25996753935767,19.259967539312957,19.25996753936094,19.259967539361266
MGSA,0.0,-2.911320648851058e-11,0.0,0.0
IMPC,-16.036911030502687,-16.03691103050467,-16.036911030504193,-16.036911030504193
IMPD,7.7422855180250965,7.742285518015686,7.742285518030244,7.742285518030244
PPS,0.0,-2.911320648851064e-11,0.0,0.0
ECOAH4,14.94021956587831,14.940219565877888,14.940219565881401,14.94021956588206
LPADSS,0.805764127214187,0.8057641272134827,0.805764127214187,0.8057641272142965
GLUTRS,0.14776759898747013,0.14776759897961936,0.1477675989874701,0.14776759898747013
TDSK,0.805764127214187,0.8057641272134828,0.805764127214187,0.8057641272142966
PGI,-999.9999999999986,306.4942165852025,170.7684054940441,170.7684054940353
TMPPP,0.0,-9.704402162836862e-12,0.0,0.0
EX_btn_e,-8.282937162974782e-05,-8.28293767673725e-05,-8.282937162974782e-05,-8.282937162974782e-05
PGK,-1000.0000000000002,-999.9999999999898,-1000.0000000000002,-1000.0000000000002
EX_ptrc_e,0.0,-7.93996540595742e-12,0.0,0.0
EDA,762.6378563167184,1000.0,762.6378563166433,762.6378563166866
EX_spmd_e,0.0,-3.503238851273484e-12,0.0,0.0
EX_thym_e,0.0,-1.5764574830730697e-11,0.0,0.0
EX_xtsn_e,0.0,-2.866286332860129e-12,0.0,0.0
NTPP1,0.0,-1.646295094581466e-11,0.0,0.0
URIK1,0.0,-5.327263202253865e-11,0.0,0.0
URIK2,0.0,-5.158327601367945e-11,0.0,0.0
NTPP2,0.0,-1.3929858051657605e-11,0.0,0.0
PGL,182.3130914009574,1000.0,762.6378563166426,762.6378563166686
NTPTP1,0.0,-1.3929858051657608e-11,0.0,0.0
NTPTP2,0.0,-1.1923500475640662e-11,0.0,0.0
CYTDK1,0.0,-3.435268686355476e-11,0.0,0.0
RPE,-31.129403569355414,-31.129403569453707,-31.12940356938991,-31.129403569390618
DHQTi,10.809215717599088,10.809215717591131,10.809215717599082,10.809215717599086
IPMD,17.8953821026828,17.89538210264841,17.8953821026828,17.8953821026828
AIRC3,-16.03691103050166,-16.03691103050485,-16.036911030504193,-16.036911030504193
TALA,-139.46972807306958,-3.7439169818650773,-3.743916981832152,-3.743916981831396
PUNP1,-0.018470949799719576,-0.01847094990745881,-0.01847094987343377,-0.01847094987343377
PUNP2,4.8322016979739156e-11,-5.195665220806176e-11,0.0,0.0
PUNP3,7.266978080588699e-11,-2.5162758235975923e-11,0.0,0.0
ADSL2r,16.03691103050601,16.036911030501997,16.03691103050419,16.03691103050419
TKT1,-3.7439169818100986,-3.7439169818663216,-3.743916981832798,-3.7439169818331473
EX_fe2_e,-1000.0000000000001,-2.8103646961252773,-2.810364696090098,-2.810364696089382
PUNP5,4.741956282663767e-11,-2.480927346190497e-11,0.0,0.0
PUNP6,4.300400645382665e-12,-4.230013021143544e-11,0.0,0.0
PUNP7,4.730440709920935e-11,-2.115006510571799e-11,0.0,0.0
G6PDA,0.0,-4.2165199133879475e-11,0.0,0.0
RNDR1,0.0,1.0161333405720459,0.0,0.0
ALCD2x,1.4191322129762108e-10,0.0,0.0,0.0
RNDR3,0.0,1.1267232099391462,0.0,0.0
RNDR4,0.0,1.0463418546049357,1.046341854647967,1.0463418546479666
ALDD2y,0.0,-3.31937115707829e-11,0.0,0.0
TMDS,1.0463418546479668,1.0463418546394034,1.046341854647967,1.0463418546479668
RMI,0.0,0.0,0.0,0.0
TMDK1,0.0,-3.061254598634458e-11,0.0,0.0
