ID,lb,ub,pfba_wt,pfba_sec_met
PYK4,0.0,540.6034351826856,3.069423268954573,0.0
NH4tex,-696.8222352416726,-398.19346921987415,0.0,-494.56347938493656
D_LACt2pp,-209.81857175913444,0.0,0.0,0.0
D_LACtex,-209.8185717590106,0.0,0.0,0.0
LDH_D,-1000.0,2.091837814077735e-11,0.0,0.0
L_LACD4,-1000.0,-6.810354694298908e-12,0.0,0.0
F6PA,1.0671170466861371e-11,318.49645839687963,173.13623480633078,-1.4884341408833297e-11
GLCNtex,-1000.0,0.0,0.0,-9.637575726062611e-11
PGI,-1000.0,380.0345437767596,161.64735332998447,220.78631457845088
TKT2,-105.99628987311677,-105.9962898731514,13.05415780965664,-105.99628987311792
GALUi,142.56314285714197,142.56314285713816,0.0,142.56314285714274
NTRIR3pp,0.0,1000.0,0.0,316.1489705090483
PGL,328.354748021448,1000.0,72.02505733403719,790.1814282412635
EDA,790.1814282405682,1000.0,0.0,790.1814282411688
EDD,790.1814282408208,1000.0,-6.116495776592252e-14,790.1814282411688
G6PDH2r,328.3547480206197,1000.0,72.02505733403719,790.1814282412633
NADPHQR2,0.0,1000.0,0.0,386.5850197684122
ADK1,-1000.0,1000.0,31.682012207308603,459.3714407786603
NDPK3,-537.9847011976386,3.069423268927579,0.0,2.6187339849725264
PPA,615.8916490747224,615.8916490746536,45.63907764615573,615.8916490746512
