ID,lb,ub,pfba_wt,pfba_sec_met
CYTDK2,0.0,-2.4929528323643863e-11,0.0,0.0
XPPT,2.7699475915159806e-12,-1.2464764161821956e-11,0.0,0.0
HXPRT,0.0,-1.2464764161821899e-11,0.0,0.0
NDPK5,3.739429248546526e-11,0.9893180999357875,0.0,0.0
SHK3Dr,10.809215717599086,10.809215717592853,10.809215717599082,10.809215717599276
NDPK6,-1.0463418546105725,-1.2467144522380465e-11,1.968160748930693e-16,0.0
NDPK8,3.7394292485465253e-11,1.0161333406053048,0.0,0.0
DHORTS,-15.46696719626072,-15.466967196273687,-15.466967196273181,-15.466967196273181
OMPDC,15.466967196273693,15.466967196265708,15.466967196273185,15.46696719627319
PYNP2r,3.7394292485465195e-11,-1.246714452238044e-11,0.0,0.0
G5SD,9.850708997733195,9.85070899770826,9.850708997733195,9.850708997733197
CS,305.18288324279064,305.18288324267854,305.182883242746,305.1828832427135
ICDHyr,205.65175405759533,305.18288324267866,205.6517540575885,205.65175405755784
ALATA_L2,0.0,581.0114321432958,0.0,0.0
DURIPP,1.2811249049930912e-11,-2.7845160862227645e-11,0.0,0.0
ACALD,7.721236753525076e-11,999.999999999955,0.0,0.0
PTRCTA,0.0,-1.1182757230148222e-11,0.0,0.0
ACS,0.0,-2.982068594706186e-11,0.0,0.0
CYSDS,0.0,-2.982068594706185e-11,0.0,0.0
MAN6PI,2.5748713951684638e-11,0.0,0.0,0.0
PPA,114.09769411539433,114.09769411535224,114.09769411538429,114.0976941153738
APRAUR,0.018470949873433767,0.018470949871865063,0.01847094987343671,0.018470949873434575
TRPAS2,-1.2640863649117988,-1.264086364945131,-1.2640863649153102,-1.2640863649153102
PPCK,0.0,-2.9820685947061793e-11,0.0,0.0
ME1,0.0,-2.9820685947061936e-11,0.0,0.0
DB4PS,0.03694189974686753,0.036941899743730126,0.03694189974687342,0.03694189974686914
ALAR,1.7262469341355737,677.2252566945043,1.7262469341355744,1.726246934135576
RBFK,0.009235474936716883,0.00923547490073148,0.009235474936719827,0.00923547493671769
ALATA_L,-1000.0,946.2774459950947,-36.17794073305902,-36.17794073305902
XYLK,0.0,-1.9768649118777348e-11,0.0,0.0
RBK,0.0,-1.976864911877735e-11,0.0,0.0
GLYK,0.0,-1.9768649118777412e-11,0.0,0.0
PPM,-1000.0,-0.018470949932739716,-0.018470949872282573,-0.01847094987391598
ASPTA,-784.9537524953581,-106.9770858588723,-106.97708585886936,-106.97708585886441
ACP1_FMN,0.0,-4.030202800068168e-11,0.0,0.0
RBFSb,0.01847094987343457,0.01847094987131341,0.01847094987343671,0.01847094987343457
NDP3,0.0,-4.030202800068164e-11,0.0,0.0
CDPPH,0.0,-4.0302028000681713e-11,0.0,0.0
NDP7,0.0,-4.030202800068164e-11,0.0,0.0
FBP,0.0,-4.030202800068175e-11,0.0,0.0
EX_pi_e,-40.265525026355796,-40.26552502637276,-40.26552502635877,-40.265525026369666
GLGC,0.0,-4.030202800068174e-11,0.0,0.0
ALATA_D2,0.0,581.0114321430308,0.0,0.0
PYK,0.0,920.7321593850224,275.2125901560642,275.21259015603556
SHCHD2,0.009235474936716883,0.009235474936716883,0.009235474936716883,0.009235474936716883
EX_co2_e,1000.0000000001496,1000.0,1000.0,1000.0
A5PISO,1.611528254428374,1.611528254425174,1.611528254428374,1.6115282544283738
PMDPHT,0.01847094987343457,0.018470949869941567,0.01847094987343671,0.01847094987343457
CPPPGO,0.009235474942950605,0.009235474934487628,0.009235474936716883,0.009235474936716883
EX_met__L_e,0.0,-2.2044845714609022e-11,0.0,0.0
GTHOr,0.0,294.3408989631345,0.0,0.0
ILETA,-12.078403316788318,-12.078403316804941,-12.07840331680494,-12.078403316804941
DHORD5,0.0,15.466967196249744,15.466967196273181,15.466967196273181
