ID,lb,ub,pfba_wt,pfba_sec_met
PUNP1,-197.5467355382089,-197.54673553822704,-0.0063428492056877,-197.54673553822863
NH4tex,-848.5219643349594,-360.8684175372163,0.0,-533.7041892383063
PPM,-1000.0,-197.5467355382113,-0.0063428492056142,-197.54673553822883
DHAtpp,-456.2914706938784,-9.66878076232383e-13,0.0,0.0
DHAtex,-456.2914706939991,-5.122198349926637e-13,0.0,0.0
RPI,-162.29730109587064,-162.2973010958936,-27.58018222300024,-162.29730109589758
RPE,-162.8633790550386,-162.8633790550565,24.223387906597925,-162.86337905505283
TKT2,-116.21100870826147,-116.2110087083169,8.0524844372103,-116.2110087083133
NADPHQR2,0.0,1000.0,0.0,0.0
PPC,0.0,38.58516395990248,34.17858572618838,0.0
METS,199.0078610370196,199.0078610370135,1.4674683480032351,199.00786103702612
METAT,197.5499069628249,197.54990696282096,0.0095142738085316,197.54990696283147
ADNK1,197.54673553823807,197.54673553821587,0.0063428492056877,197.54673553822863
RHCCE,197.5467355382221,197.5467355382197,0.0063428492056877,197.54673553822863
DHPTDCs2,197.5467355382221,197.54673553822056,0.0063428492056877,197.54673553822863
MTHTHFSs,197.5467355382221,197.54673553822207,0.0063428492056877,197.54673553822863
AHCYSNS,197.5467355382221,197.546735538221,0.0063428492056877,197.54673553822863
PGI,-898.0182057809462,620.4986235959474,51.8760204316124,0.0
PPA,500.1082679328358,500.1082679328629,39.18068499181316,500.1082679328693
ADK1,-1000.0,1000.0,7.077083595305656,488.12626889666126
