ID,lb,ub,pfba_wt,pfba_sec_met
PUNP1,-328.991868131885,-328.99186813187504,0.0,-328.9918681318668
NH4tex,-922.6361813186768,-596.6395604395639,1.3462349657519678e-14,-640.3360439560013
PPM,-1000.0,-328.9918681318636,1.800105681179317e-15,-328.99186813188885
DHAtpp,-557.0027106227351,-40.20051282049319,0.0,-382.2167765565127
DHAtex,-557.0027106227018,-40.20051282059489,0.0,-382.2167765565127
RPI,-255.88256410256335,-255.88256410256452,-1.682111745492888e-15,-255.8825641025771
RPE,-255.88256410256844,-255.88256410254783,-1.8070720421744056e-15,-255.8825641025771
TKT2,-182.77326007327068,-182.7732600732676,2.7771084450608426e-15,-182.7732600732662
NADPHQR2,0.0,1000.0,0.0,0.0
PPC,0.0,-1.2086073803496467e-11,0.0,0.0
METS,328.9918681318678,328.9918681318682,0.0,328.9918681318668
METAT,328.9918681318679,328.991868131869,-1.8586876018405463e-30,328.9918681318669
ADNK1,328.9918681318663,328.9918681318537,0.0,328.9918681318669
RHCCE,328.9918681318678,328.9918681318676,0.0,328.99186813186685
DHPTDCs2,328.9918681318678,328.9918681318662,0.0,328.9918681318668
MTHTHFSs,328.9918681318679,328.99186813186793,0.0,328.99186813186685
AHCYSNS,328.9918681318679,328.9918681318653,0.0,328.99186813186685
PGI,-445.51582417587775,812.8852747252746,0.1459574468085147,0.0
PPA,767.6476923076916,767.647692307691,6.848963882016754e-15,767.6476923076899
ADK1,-903.3604395604402,1000.0,0.0,767.6476923076904
