,CP022686.1
ECOLIN_00010,CIW80_17685
ECOLIN_00015,CIW80_17690
ECOLIN_00020,CIW80_17695
ECOLIN_00025,CIW80_17700
ECOLIN_00030,CIW80_17705
ECOLIN_00035,CIW80_17710
ECOLIN_00040,CIW80_17715
ECOLIN_00045,CIW80_17720
ECOLIN_00050,CIW80_17725
ECOLIN_00055,CIW80_17730
ECOLIN_00060,CIW80_17735
ECOLIN_00065,CIW80_17740
ECOLIN_00070,CIW80_17745
ECOLIN_00075,CIW80_17750
ECOLIN_00080,CIW80_17760
ECOLIN_00085,CIW80_17765
ECOLIN_00090,CIW80_17770
ECOLIN_00095,CIW80_17775
ECOLIN_00100,CIW80_17780
ECOLIN_00105,CIW80_17785
ECOLIN_00110,CIW80_17795
ECOLIN_00115,CIW80_17800
ECOLIN_00120,CIW80_17805
ECOLIN_00125,CIW80_17810
ECOLIN_00130,CIW80_17815
ECOLIN_00135,CIW80_17820
ECOLIN_00140,CIW80_17825
ECOLIN_00145,CIW80_17830
ECOLIN_00155,CIW80_17840
ECOLIN_00160,CIW80_17845
ECOLIN_00165,CIW80_17855
ECOLIN_00170,CIW80_17860
ECOLIN_00175,CIW80_17865
ECOLIN_00180,CIW80_17870
ECOLIN_00185,CIW80_17875
ECOLIN_00190,CIW80_17880
ECOLIN_00195,CIW80_17885
ECOLIN_00200,CIW80_17890
ECOLIN_00205,CIW80_17895
ECOLIN_00210,CIW80_17900
ECOLIN_00215,CIW80_17905
ECOLIN_00220,CIW80_17910
ECOLIN_00225,CIW80_17915
ECOLIN_00230,CIW80_17920
ECOLIN_00235,CIW80_17925
ECOLIN_00240,CIW80_17930
ECOLIN_00245,CIW80_17935
ECOLIN_00250,CIW80_17940
ECOLIN_00255,CIW80_17945
ECOLIN_00260,CIW80_17950
ECOLIN_00265,CIW80_17955
ECOLIN_00270,CIW80_17960
ECOLIN_00275,CIW80_17965
ECOLIN_00280,CIW80_17970
ECOLIN_00285,CIW80_17975
ECOLIN_00290,CIW80_17980
ECOLIN_00295,CIW80_17985
ECOLIN_00300,CIW80_17990
ECOLIN_00305,CIW80_17995
ECOLIN_00310,CIW80_18000
ECOLIN_00315,CIW80_18010
ECOLIN_00320,CIW80_18015
ECOLIN_00325,CIW80_18025
ECOLIN_00330,CIW80_18030
ECOLIN_00335,CIW80_18035
ECOLIN_00340,CIW80_18040
ECOLIN_00345,CIW80_18045
ECOLIN_00350,CIW80_18050
ECOLIN_00355,CIW80_18055
ECOLIN_00360,CIW80_18060
ECOLIN_00365,CIW80_18065
ECOLIN_00370,CIW80_18070
ECOLIN_00375,CIW80_18075
ECOLIN_00380,CIW80_18085
ECOLIN_00385,CIW80_18090
ECOLIN_00390,CIW80_18095
ECOLIN_00395,CIW80_18105
ECOLIN_00400,CIW80_18115
ECOLIN_00405,CIW80_18120
ECOLIN_00410,CIW80_18125
ECOLIN_00415,CIW80_18130
ECOLIN_00420,CIW80_18135
ECOLIN_00425,CIW80_18140
ECOLIN_00430,CIW80_18145
ECOLIN_00435,CIW80_18150
ECOLIN_00440,CIW80_18155
ECOLIN_00445,CIW80_18160
ECOLIN_00450,CIW80_18165
ECOLIN_00455,CIW80_18170
ECOLIN_00460,CIW80_18175
ECOLIN_00465,CIW80_18180
ECOLIN_00470,CIW80_18185
ECOLIN_00475,CIW80_18190
ECOLIN_00480,CIW80_18195
ECOLIN_00485,CIW80_18200
ECOLIN_00490,CIW80_18205
ECOLIN_00495,None
ECOLIN_00500,CIW80_18740
ECOLIN_00505,CIW80_18215
ECOLIN_00510,CIW80_18220
ECOLIN_00515,CIW80_18225
ECOLIN_00520,CIW80_18230
ECOLIN_00525,CIW80_18235
ECOLIN_00530,CIW80_18240
ECOLIN_00535,CIW80_18245
ECOLIN_00540,CIW80_18250
ECOLIN_00545,CIW80_18260
ECOLIN_00550,CIW80_18265
ECOLIN_00555,CIW80_18270
ECOLIN_00560,CIW80_18275
ECOLIN_00565,CIW80_18280
ECOLIN_00570,CIW80_18285
ECOLIN_00580,CIW80_18295
ECOLIN_00585,CIW80_18300
ECOLIN_00590,CIW80_18305
ECOLIN_00595,CIW80_18310
ECOLIN_00600,CIW80_18320
ECOLIN_00610,CIW80_18330
ECOLIN_00615,CIW80_18335
ECOLIN_00620,CIW80_18345
ECOLIN_00625,CIW80_18350
ECOLIN_00630,CIW80_18355
ECOLIN_00635,CIW80_18360
ECOLIN_00640,CIW80_18365
ECOLIN_00645,CIW80_18370
ECOLIN_00650,CIW80_18375
ECOLIN_00655,CIW80_18380
ECOLIN_00660,CIW80_18385
ECOLIN_00665,CIW80_18390
ECOLIN_00670,CIW80_18395
ECOLIN_00675,CIW80_18400
ECOLIN_00680,CIW80_18405
ECOLIN_00685,CIW80_18410
ECOLIN_00690,CIW80_18420
ECOLIN_00695,CIW80_18425
ECOLIN_00705,CIW80_18435
ECOLIN_00710,CIW80_18440
ECOLIN_00715,CIW80_18445
ECOLIN_00720,CIW80_18450
ECOLIN_00725,CIW80_18455
ECOLIN_00730,CIW80_18460
ECOLIN_00735,CIW80_18465
ECOLIN_00740,CIW80_18470
ECOLIN_00745,CIW80_18475
ECOLIN_00750,CIW80_18480
ECOLIN_00755,CIW80_18485
ECOLIN_00760,CIW80_18490
ECOLIN_00765,CIW80_18495
ECOLIN_00770,CIW80_18485
ECOLIN_00775,CIW80_18490
ECOLIN_00780,CIW80_18495
ECOLIN_00785,CIW80_18500
ECOLIN_00790,CIW80_18505
ECOLIN_00795,CIW80_18510
ECOLIN_00805,CIW80_18515
ECOLIN_00810,CIW80_18520
ECOLIN_00815,CIW80_18525
ECOLIN_00820,CIW80_18530
ECOLIN_00825,CIW80_18535
ECOLIN_00830,CIW80_18540
ECOLIN_00835,CIW80_18545
ECOLIN_00840,CIW80_18550
ECOLIN_00845,CIW80_18555
ECOLIN_00850,CIW80_18560
ECOLIN_00855,CIW80_18565
ECOLIN_00860,CIW80_18575
ECOLIN_00865,CIW80_18580
ECOLIN_00870,CIW80_18585
ECOLIN_00875,CIW80_18590
ECOLIN_00880,CIW80_18595
ECOLIN_00885,CIW80_18600
ECOLIN_00890,CIW80_18610
ECOLIN_00895,CIW80_18615
ECOLIN_00900,CIW80_18620
ECOLIN_00905,CIW80_18625
ECOLIN_00915,CIW80_18635
ECOLIN_00920,CIW80_18640
ECOLIN_00925,CIW80_18645
ECOLIN_00930,CIW80_18650
ECOLIN_00935,CIW80_18655
ECOLIN_00940,CIW80_18660
ECOLIN_00945,CIW80_18665
ECOLIN_00950,CIW80_18670
ECOLIN_00955,CIW80_18675
ECOLIN_00960,CIW80_18680
ECOLIN_00965,CIW80_18685
ECOLIN_00970,CIW80_18690
ECOLIN_00975,CIW80_18695
ECOLIN_00980,CIW80_18700
ECOLIN_00985,CIW80_18705
ECOLIN_00990,CIW80_18710
ECOLIN_00995,CIW80_18715
ECOLIN_01000,CIW80_18720
ECOLIN_01005,CIW80_18725
ECOLIN_01010,CIW80_18730
ECOLIN_01015,CIW80_18735
ECOLIN_01020,CIW80_18740
ECOLIN_01025,None
ECOLIN_01030,CIW80_18745
ECOLIN_01035,CIW80_18750
ECOLIN_01040,CIW80_18755
ECOLIN_01045,CIW80_18760
ECOLIN_01050,CIW80_18765
ECOLIN_01055,CIW80_18770
ECOLIN_01060,CIW80_18775
ECOLIN_01065,CIW80_18780
ECOLIN_01100,CIW80_18815
ECOLIN_01105,CIW80_18820
ECOLIN_01110,CIW80_18825
ECOLIN_01115,CIW80_18830
ECOLIN_01120,CIW80_18835
ECOLIN_01125,CIW80_18840
ECOLIN_01130,CIW80_18845
ECOLIN_01135,CIW80_18850
ECOLIN_01140,CIW80_18855
ECOLIN_01155,CIW80_18875
ECOLIN_01160,CIW80_18880
ECOLIN_01170,CIW80_18890
ECOLIN_01175,CIW80_18895
ECOLIN_01180,CIW80_18900
ECOLIN_01190,None
ECOLIN_01195,CIW80_18910
ECOLIN_01200,CIW80_18915
ECOLIN_01205,CIW80_18920
ECOLIN_01210,CIW80_18925
ECOLIN_01215,CIW80_18930
ECOLIN_01220,CIW80_18935
ECOLIN_01225,CIW80_18940
ECOLIN_01230,CIW80_18945
ECOLIN_01235,CIW80_18950
ECOLIN_01240,CIW80_18955
ECOLIN_01245,CIW80_18960
ECOLIN_01255,CIW80_18965
ECOLIN_01260,CIW80_18970
ECOLIN_01265,CIW80_18975
ECOLIN_01270,CIW80_18980
ECOLIN_01275,CIW80_18985
ECOLIN_01280,CIW80_18990
ECOLIN_01285,CIW80_18915
ECOLIN_01290,CIW80_18920
ECOLIN_01295,CIW80_18925
ECOLIN_01300,CIW80_18930
ECOLIN_01305,CIW80_18935
ECOLIN_01310,CIW80_18940
ECOLIN_01315,CIW80_16925
ECOLIN_01320,CIW80_18950
ECOLIN_01325,CIW80_18955
ECOLIN_01330,CIW80_18960
ECOLIN_01340,CIW80_18965
ECOLIN_01345,CIW80_18970
ECOLIN_01350,CIW80_18975
ECOLIN_01355,CIW80_18980
ECOLIN_01360,CIW80_03755
ECOLIN_01375,CIW80_18950
ECOLIN_01380,CIW80_18955
ECOLIN_01385,CIW80_18960
ECOLIN_01395,CIW80_18965
ECOLIN_01400,CIW80_18970
ECOLIN_01405,CIW80_18975
ECOLIN_01410,CIW80_18980
ECOLIN_01415,CIW80_18985
ECOLIN_01420,CIW80_18990
ECOLIN_01425,CIW80_18995
ECOLIN_01430,CIW80_19000
ECOLIN_01435,CIW80_19005
ECOLIN_01440,CIW80_19010
ECOLIN_01445,CIW80_19015
ECOLIN_01450,CIW80_19025
ECOLIN_01455,CIW80_19095
ECOLIN_01460,CIW80_19110
ECOLIN_01465,CIW80_19115
ECOLIN_01470,CIW80_19125
ECOLIN_01475,CIW80_19130
ECOLIN_01485,CIW80_19140
ECOLIN_01490,CIW80_19150
ECOLIN_01495,CIW80_19155
ECOLIN_01500,CIW80_19160
ECOLIN_01505,CIW80_19165
ECOLIN_01510,CIW80_19170
ECOLIN_01520,CIW80_19180
ECOLIN_01525,CIW80_19185
ECOLIN_01530,CIW80_19190
ECOLIN_01535,CIW80_13230
ECOLIN_01540,CIW80_19210
ECOLIN_01545,CIW80_19215
ECOLIN_01550,CIW80_19220
ECOLIN_01555,CIW80_19225
ECOLIN_01560,CIW80_19230
ECOLIN_01565,CIW80_19235
ECOLIN_01570,CIW80_19240
ECOLIN_01575,CIW80_19245
ECOLIN_01580,CIW80_19250
ECOLIN_01585,CIW80_19255
ECOLIN_01595,CIW80_19260
ECOLIN_01605,CIW80_19280
ECOLIN_01610,CIW80_23300
ECOLIN_01620,CIW80_19300
ECOLIN_01625,CIW80_19305
ECOLIN_01635,CIW80_19325
ECOLIN_01640,CIW80_23355
ECOLIN_01645,CIW80_03615
ECOLIN_01650,CIW80_19345
ECOLIN_01655,CIW80_19350
ECOLIN_01660,CIW80_19355
ECOLIN_01670,CIW80_19365
ECOLIN_01675,CIW80_19370
ECOLIN_01685,CIW80_19395
ECOLIN_01690,CIW80_19400
ECOLIN_01695,CIW80_19405
ECOLIN_01700,CIW80_19410
ECOLIN_01705,CIW80_19415
ECOLIN_01710,CIW80_19420
ECOLIN_01715,CIW80_19425
ECOLIN_01720,CIW80_19430
ECOLIN_01725,CIW80_19435
ECOLIN_01730,CIW80_19440
ECOLIN_01735,CIW80_19445
ECOLIN_01740,CIW80_19450
ECOLIN_01745,CIW80_19455
ECOLIN_01750,CIW80_19460
ECOLIN_01755,CIW80_19465
ECOLIN_01760,CIW80_19470
ECOLIN_01765,CIW80_19475
ECOLIN_01770,CIW80_19480
ECOLIN_01775,CIW80_19485
ECOLIN_01780,CIW80_19490
ECOLIN_01790,CIW80_19500
ECOLIN_01795,CIW80_19505
ECOLIN_01800,CIW80_19510
ECOLIN_01810,CIW80_24575
ECOLIN_01815,CIW80_19530
ECOLIN_01825,CIW80_19545
ECOLIN_01830,CIW80_19550
ECOLIN_01835,CIW80_19555
ECOLIN_01840,CIW80_19560
ECOLIN_01845,CIW80_19565
ECOLIN_01850,CIW80_19570
