,CP022686.1
b2551,1.0
b0870,1.0
b3368,1.0
b2436,1.0
b3500,1.0
b0945,1.0
b4467,1.0
b4468,1.0
b2979,1.0
b3916,1.0
b1260,1.0
b1261,1.0
b3426,1.0
b2242,1.0
b2243,1.0
b2241,1.0
b4054,1.0
b3770,1.0
b3281,1.0
b1692,1.0
b0243,1.0
b1613,1.0
b0414,1.0
b3041,1.0
b0025,1.0
b0844,1.0
b0446,1.0
b3812,1.0
b1662,1.0
b0421,1.0
b3804,1.0
b3997,1.0
b4382,1.0
b0126,1.0
b0339,0.0
b4006,1.0
b2508,1.0
b3846,1.0
b2341,1.0
b2400,1.0
b3993,1.0
b2066,1.0
b0238,1.0
b0125,1.0
b0474,1.0
b2518,1.0
b1062,1.0
b1281,1.0
b0720,1.0
b1136,1.0
b1241,1.0
b0351,0.0
b4069,1.0
b2502,1.0
b4226,1.0
b2744,1.0
b3403,1.0
b1479,1.0
b1190,1.0
b4053,1.0
b2379,1.0
b2290,1.0
b3564,1.0
b0063,1.0
b3752,1.0
b3926,1.0
b4383,1.0
b0928,1.0
b2930,0.0
b4232,1.0
b3697,1.0
b3925,1.0
b3430,1.0
b1854,1.0
b1676,1.0
b2708,1.0
b3197,1.0
b0071,1.0
b0072,1.0
b0077,1.0
b0078,1.0
b3671,1.0
b3670,1.0
b0908,1.0
b1263,1.0
b1264,1.0
b2599,1.0
b2600,1.0
b2329,1.0
b1262,1.0
b2779,1.0
b2925,1.0
b2097,1.0
b0963,1.0
b1702,1.0
b4025,1.0
b2926,1.0
b1850,1.0
b0767,1.0
b3386,1.0
b2464,1.0
b0008,1.0
b2465,1.0
b2935,1.0
b0678,1.0
b1478,1.0
b4269,1.0
b0493,1.0
b3588,1.0
b3003,1.0
b3011,1.0
b3903,1.0
b2411,1.0
b3996,1.0
b4390,1.0
b0639,1.0
b2103,1.0
b2418,1.0
b3831,1.0
b4384,1.0
b3073,1.0
b3708,1.0
b3008,1.0
b3614,1.0
b1134,1.0
b3642,1.0
b0415,1.0
b3771,1.0
b2293,1.0
b3885,1.0
b2579,1.0
b3114,1.0
b3952,1.0
b0902,1.0
b0903,1.0
b3951,1.0
b4152,1.0
b4153,1.0
b4154,1.0
b4151,1.0
b0871,1.0
b2297,1.0
b2458,1.0
b3115,1.0
b1849,1.0
b2296,1.0
b3633,1.0
b0174,1.0
b0524,1.0
b0182,1.0
b0915,1.0
b2781,1.0
b0099,1.0
b0160,1.0
b0073,1.0
b1800,0.0
b0523,1.0
b1131,1.0
b2407,1.0
b2235,1.0
b3781,1.0
b2582,1.0
b2234,1.0
b2827,1.0
b1238,1.0
b3639,1.0
b1232,1.0
b1851,1.0
b1693,1.0
b4146,1.0
b1004,1.0
b3713,1.0
b1109,1.0
b0046,1.0
b3236,1.0
b1612,1.0
b1611,1.0
b4122,1.0
b1638,1.0
b0907,1.0
b1210,1.0
b3429,1.0
b3428,1.0
b3417,1.0
b0428,1.0
b0120,1.0
b2937,1.0
b4117,1.0
b3172,1.0
b3958,1.0
b0121,1.0
b0154,1.0
b0918,1.0
b4322,1.0
b3091,1.0
b3092,1.0
b3176,1.0
b3730,1.0
b3189,1.0
b3967,1.0
b3786,1.0
b2323,1.0
b2232,1.0
b0593,1.0
b0142,1.0
b3634,1.0
b0394,1.0
b0173,1.0
b3843,1.0
b0477,1.0
b1302,0.0
b2662,1.0
b1525,1.0
b4139,1.0
b2797,1.0
b3117,1.0
b1814,1.0
b4471,1.0
b3616,1.0
b3589,1.0
b3774,1.0
b2316,1.0
b3255,1.0
b0185,1.0
b3256,1.0
b2615,1.0
b2265,1.0
b2261,1.0
b0596,1.0
b0595,1.0
b3583,1.0
b0061,1.0
b4198,1.0
b4374,1.0
b0675,1.0
b2361,0.0
b2291,1.0
b1651,1.0
b0766,1.0
b3826,1.0
b0758,1.0
b0420,1.0
b1208,1.0
b2746,1.0
b3526,1.0
b3565,1.0
b2048,1.0
b4015,1.0
b2904,1.0
b0116,1.0
b2905,1.0
b2903,1.0
b0261,0.0
b0759,1.0
b0344,1.0
b4239,1.0
b3956,1.0
b0822,1.0
b2540,0.0
b2538,0.0
b2539,0.0
b2542,0.0
b2541,0.0
b0616,1.0
b0617,1.0
b0614,1.0
b0615,1.0
b2052,1.0
b1636,1.0
b1277,1.0
b2752,1.0
b2751,1.0
