Unnamed: 0,CU651637,CP001855,CP002167,CP000468,CP000946,CP000819,CP001665,AM946981,CP001509,CP001396,CP001637,AP012030,CU928162,CP000802,CU928160,CP002516,AP009240,AP009378,CP000948,U00096,AP009048,CP002185,CP002967,FN554766,CU928145,AP010958,AP010960,CP001164,AE005174,BA000007,CP001368,AP010953,CP001846,CP000970,FM180568,CP000800,FN649414,CP002729,CP001969,CU928161,CP000247,CP001671,AE014075,CU928164,CP002797,CU928163,CP000243,CP001063,CP000036,CP000034,CP001383,AE014073,AE005674,CP000266,CP000038
CIW80_00005,LF82_1032,NRG857_06995,UM146_09940,APECO1_564,EcolC_2245,ECB_01368,ECBD_2227,B21_01380,ECD_01368,BWG_1240,EcDH1_2232,ECDH1ME8569_1356,ECED1_1571,EcHS_A1496,ECIAI1_1408,EKO11_2405,ECSE_1496,ECSF_1341,ECDH10B_1539,b1413,hrpA,ECW_m1542,WFL_07535,EC042_1541,EC55989_1544,ECO103_1545,ECO111_1802,ECH74115_2016,Z2313,ECs_2015,ECSP_1891,ECO26_2012,G2583_1771,EcSMS35_1759,E2348C_1551,EcE24377A_1594,ETEC_1485,UMNK88_1813,ECOK1_1579,ECS88_1509,ECP_1418,ECABU_c16480,c1840,ECIAI39_1718,ECNA114_1554,ECUMN_1659,UTI89_C1635,SbBS512_E1633,SBO_1674,SDY_1774,SFxv_2017,S1472,SF1802,SFV_1794,SSON_1733
CIW80_00010,LF82_2792,NRG857_07000,UM146_09935,APECO1_565,EcolC_2244,ECB_01369,ECBD_2226,B21_01381,ECD_01369,BWG_1241,EcDH1_2231,ECDH1ME8569_1357,ECED1_1572,EcHS_A1497,ECIAI1_1409,EKO11_2404,ECSE_1497,ECSF_1342,ECDH10B_1540,b1414,ydcF,ECW_m1543,WFL_07540,EC042_1545,EC55989_1545,ECO103_1546,ECO111_1803,ECH74115_2020,Z2308,ECs_2020,ECSP_1896,ECO26_2013,G2583_1776,EcSMS35_1758,E2348C_1552,EcE24377A_1595,ETEC_1486,UMNK88_1814,ECOK1_1580,ECS88_1510,ECP_1419,ECABU_c16490,c1841,ECIAI39_1719,ECNA114_1555,ECUMN_1662,UTI89_C1636,SbBS512_E1634,SBO_1673,None,SFxv_2015,None,None,SFV_1792,SSON_1732
CIW80_00015,LF82_0064,NRG857_07005,UM146_09930,APECO1_566,EcolC_2243,ECB_01370,ECBD_2225,B21_01382,ECD_01370,BWG_1242,EcDH1_2230,ECDH1ME8569_1358,ECED1_1573,EcHS_A1498,ECIAI1_1410,EKO11_2403,ECSE_1498,ECSF_1343,ECDH10B_1541,b1415,aldA,ECW_m1544,WFL_07545,EC042_1546,EC55989_1546,ECO103_1547,ECO111_1804,ECH74115_2021,Z2306,ECs_2021,ECSP_1897,ECO26_2014,G2583_1777,EcSMS35_1757,E2348C_1553,EcE24377A_1596,ETEC_1487,UMNK88_1815,ECOK1_1581,ECS88_1511,ECP_1420,ECABU_c16500,c1842,ECIAI39_1720,ECNA114_1556,ECUMN_1663,UTI89_C1637,SbBS512_E1635,SBO_1672,None,SFxv_2014,S1475,SF1797,SFV_1791,None
CIW80_00020,LF82_0802,NRG857_07010,UM146_09925,APECO1_567,EcolC_2242,ECB_01371,ECBD_2224,B21_01383,ECD_01371,None,None,None,ECED1_1574,EcHS_A1499,ECIAI1_1411,EKO11_2402,ECSE_1499,ECSF_1344,ECDH10B_1543,b4493,gapC,ECW_m1545,WFL_07550,EC042_1547,EC55989_1547,ECO103_1548,ECO111_1806,ECH74115_2022,Z2304,ECs_2022,ECSP_1898,ECO26_2015,G2583_1778,EcSMS35_1756,E2348C_1554,EcE24377A_1597,ETEC_1488,UMNK88_1816,ECOK1_1582,ECS88_1512,ECP_1421,ECABU_c16510,c1843,None,ECNA114_1557,ECUMN_1664,UTI89_C1638,SbBS512_E1636,SBO_1671,None,None,None,SF1795,SFV_1790,SSON_1725
CIW80_00025,LF82_0397,NRG857_07015,UM146_09920,APECO1_568,EcolC_2241,ECB_01374,ECBD_2221,B21_01386,ECD_01374,BWG_1243,EcDH1_2228,ECDH1ME8569_1359,ECED1_1575,EcHS_A1500,ECIAI1_1412,EKO11_2401,ECSE_1500,ECSF_1345,ECDH10B_1544,b1418,cybB,ECW_m1546,WFL_07555,EC042_1548,EC55989_1548,ECO103_1549,ECO111_1807,ECH74115_2023,Z2303,ECs_2023,ECSP_1899,ECO26_2016,G2583_1779,EcSMS35_1755,E2348C_1555,EcE24377A_1598,ETEC_1489,UMNK88_1818,ECOK1_1583,ECS88_1513,ECP_1422,ECABU_c16520,c1844,None,ECNA114_1558,ECUMN_1665,UTI89_C1639,SbBS512_E1642,SBO_1669,SDY_1764,SFxv_2012,S1478,SF1794,SFV_1789,SSON_1724
CIW80_00030,LF82_2791,NRG857_07020,UM146_09915,None,EcolC_2240,ECB_01375,ECBD_2220,B21_01387,ECD_01375,BWG_1244,EcDH1_2227,ECDH1ME8569_1360,ECED1_1576,EcHS_A1501,ECIAI1_1413,EKO11_2400,ECSE_1501,ECSF_1346,ECDH10B_1545,b1419,ydcA,ECW_m1548,WFL_07560,EC042_1548A,EC55989_1549,ECO103_1550,ECO111_1808,ECH74115_2025,Z2302,ECs_2024,ECSP_1900,ECO26_2017,G2583_1781,EcSMS35_1754,E2348C_1556,EcE24377A_1599,ETEC_1490,UMNK88_1819,ECOK1_1584,ECS88_1514,ECP_1423,ECABU_c16530,c1845,None,ECNA114_1559,ECUMN_1666,UTI89_C1640,SbBS512_E1643,None,SDY_1763,SFxv_2011,S1479,SF1793,SFV_1788,SSON_1723
CIW80_00035,None,None,None,None,EcolC_2239,ECB_01376,None,B21_01388,ECD_01376,BWG_1245,None,ECDH1ME8569_1361,None,None,None,None,None,None,ECDH10B_1546,b4428,hokB,None,WFL_07565,None,None,ECO103_1551,ECO111_1809,None,None,None,None,ECO26_2018,None,None,None,None,ETEC_1491,None,None,None,None,None,None,None,None,None,UTI89_C1641,None,None,None,None,None,None,None,None
CIW80_00040,LF82_223,NRG857_07025,UM146_09910,APECO1_569,EcolC_2238,ECB_01378,ECBD_2218,B21_01390,ECD_01378,BWG_1247,EcDH1_2225,ECDH1ME8569_1363,ECED1_1577,EcHS_A1503,ECIAI1_1415,EKO11_2398,ECSE_1503,ECSF_1348,ECDH10B_1549,b1421,trg,ECW_m1550,WFL_07570,EC042_1549,EC55989_1551,ECO103_1553,ECO111_1811,ECH74115_2026,Z2300,ECs_2026,ECSP_1902,ECO26_2020,G2583_1783,EcSMS35_1753,E2348C_1565,EcE24377A_1600,ETEC_1493,UMNK88_1820,ECOK1_1585,ECS88_1515,ECP_1426,ECABU_c16540,c1846,None,ECNA114_1560,ECUMN_1668,UTI89_C1642,SbBS512_E1646,None,SDY_1760,SFxv_2002,S1485,SF1789,SFV_1784,SSON_1721
CIW80_00045,LF82_2794,NRG857_07030,UM146_09905,APECO1_570,EcolC_2237,ECB_01379,ECBD_2217,B21_01391,ECD_01379,BWG_1248,EcDH1_2224,ECDH1ME8569_1364,ECED1_1578,EcHS_A1504,ECIAI1_1416,EKO11_2397,ECSE_1504,ECSF_1349,ECDH10B_1550,b1422,ydcI,ECW_m1551,WFL_07575,EC042_1550,EC55989_1552,ECO103_1554,ECO111_1812,ECH74115_2027,Z2299,ECs_2027,ECSP_1903,ECO26_2021,G2583_1784,EcSMS35_1752,E2348C_1566,EcE24377A_1601,ETEC_1494,UMNK88_1821,ECOK1_1586,ECS88_1516,ECP_1427,ECABU_c16550,c1847,None,ECNA114_1561,ECUMN_1669,UTI89_C1643,SbBS512_E1647,None,SDY_1758,SFxv_2001,S1486,SF1788,SFV_1783,SSON_1720
CIW80_00050,LF82_2795,NRG857_07035,UM146_09900,APECO1_571,EcolC_2236,ECB_01380,ECBD_2216,B21_01392,ECD_01380,BWG_1249,EcDH1_2223,ECDH1ME8569_1365,ECED1_1579,EcHS_A1505,ECIAI1_1417,EKO11_2396,ECSE_1505,ECSF_1350,ECDH10B_1551,b1423,ydcJ,ECW_m1552,WFL_07580,EC042_1551,EC55989_1553,ECO103_1555,ECO111_1813,ECH74115_2028,Z2297,ECs_2028,ECSP_1904,ECO26_2022,G2583_1785,EcSMS35_1751,E2348C_1567,EcE24377A_1602,ETEC_1495,UMNK88_1822,ECOK1_1587,ECS88_1517,ECP_1428,ECABU_c16560,c1848,None,ECNA114_1562,ECUMN_1670,UTI89_C1644,SbBS512_E1648,SBO_1664,SDY_1757,SFxv_2000,S1487,SF1787,SFV_1782,SSON_1719
