,CU651637,CP001855,CP002167,CP000468,CP000946,CP000819,CP001665,AM946981,CP001509,CP001396,CP001637,AP012030,CU928162,CP000802,CU928160,CP002516,AP009240,AP009378,CP000948,U00096,AP009048,CP002185,CP002967,FN554766,CU928145,AP010958,AP010960,CP001164,AE005174,BA000007,CP001368,AP010953,CP001846,CP000970,FM180568,CP000800,FN649414,CP002729,CP001969,CU928161,CP000247,CP001671,AE014075,CU928164,CP002797,CU928163,CP000243,CP001063,CP000036,CP000034,CP001383,AE014073,AE005674,CP000266,CP000038
CIW80_00005,99.462,99.462,99.769,99.769,99.308,99.376,99.385,99.376,99.385,99.308,99.308,99.308,99.766,99.231,99.376,99.385,99.376,99.766,99.308,99.308,99.298,99.385,99.385,99.616,99.454,99.532,99.454,99.385,99.376,99.385,99.385,99.376,99.462,99.308,99.766,99.462,99.298,99.454,99.769,99.766,99.769,99.923,99.923,99.298,99.769,99.454,99.769,99.462,99.454,98.986,99.154,99.22,99.22,99.121,99.22
CIW80_00010,99.251,99.251,99.625,99.625,98.502,98.502,98.502,98.502,98.502,98.127,98.127,98.127,99.625,98.502,97.753,98.502,98.876,99.251,98.127,98.127,98.127,98.502,98.502,97.753,97.378,97.753,98.127,97.378,97.378,97.378,97.378,98.127,97.378,98.127,99.625,97.753,98.127,98.502,99.625,99.625,99.625,100.0,100.0,99.149,99.251,98.127,99.625,97.378,97.744,0.0,96.341,0.0,0.0,96.063,97.768
CIW80_00015,99.583,99.583,99.583,99.583,98.958,99.167,99.167,99.167,99.167,99.167,99.167,99.167,99.583,98.958,99.583,99.167,99.583,99.375,99.167,99.167,99.167,99.167,99.167,99.167,99.167,99.583,99.08,99.375,99.375,99.375,99.375,98.958,99.375,98.75,99.375,99.375,99.167,99.375,99.583,99.583,99.583,99.792,100.0,96.865,99.375,99.375,99.583,99.375,99.517,37.448,98.75,98.75,98.75,98.75,38.544
CIW80_00020,94.311,100.0,99.701,99.701,99.102,99.102,99.102,99.102,99.102,46.246,46.246,46.246,99.401,99.102,98.802,99.102,98.503,100.0,98.8,98.8,98.8,99.102,99.102,99.102,99.102,99.102,98.802,98.802,98.802,98.802,98.802,98.802,98.802,98.802,99.701,98.802,98.802,99.083,99.701,99.701,100.0,100.0,100.0,46.246,100.0,99.102,99.701,98.624,96.815,46.246,46.246,46.246,99.2,98.392,99.102
CIW80_00025,100.0,100.0,100.0,100.0,98.305,98.305,98.305,98.305,98.305,98.305,98.305,98.305,98.87,98.305,97.74,97.74,97.74,99.435,98.305,98.305,98.305,97.74,97.74,96.61,97.74,97.74,97.74,98.305,97.74,98.305,98.305,97.74,97.74,93.785,98.305,97.74,98.305,98.305,100.0,100.0,100.0,100.0,100.0,25.824,98.87,97.74,100.0,98.305,98.305,97.74,98.305,98.305,98.305,98.305,97.74
CIW80_00030,100.0,100.0,100.0,0.0,98.276,98.276,98.276,98.276,98.276,98.276,98.276,98.276,100.0,98.276,98.276,98.276,98.276,100.0,98.276,98.276,98.276,98.276,98.276,94.828,98.276,98.276,98.276,96.552,96.552,96.552,96.552,98.276,96.552,96.552,100.0,98.276,98.276,98.276,100.0,100.0,100.0,100.0,100.0,0.0,100.0,98.276,100.0,98.276,0.0,96.552,98.276,98.276,98.276,98.276,98.276
CIW80_00035,0.0,0.0,0.0,0.0,97.143,97.143,0.0,97.143,97.143,97.143,0.0,97.143,0.0,0.0,0.0,0.0,0.0,0.0,97.143,97.143,97.143,0.0,97.143,0.0,0.0,97.143,97.143,0.0,0.0,0.0,0.0,97.143,0.0,0.0,0.0,0.0,97.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIW80_00040,97.297,97.297,95.27,95.946,95.27,95.946,95.946,95.946,95.946,95.946,95.946,95.946,96.622,95.27,96.622,95.946,95.946,96.667,95.946,95.946,95.946,95.946,95.946,95.946,96.622,95.946,95.27,93.919,94.595,94.595,94.595,95.946,94.595,96.622,95.946,95.946,95.946,95.27,95.946,95.946,97.973,100.0,100.0,66.667,96.939,96.622,95.946,96.491,65.116,95.946,95.946,95.946,95.946,95.946,95.946
CIW80_00045,100.0,100.0,100.0,100.0,99.675,99.351,99.351,99.351,99.351,99.351,99.351,99.351,100.0,99.675,99.675,99.675,99.351,100.0,99.351,99.351,99.351,99.675,99.675,99.675,99.351,99.675,99.351,99.351,99.351,99.351,99.351,99.675,99.351,99.351,99.675,99.675,99.351,99.351,100.0,100.0,100.0,100.0,100.0,33.702,100.0,99.351,100.0,98.701,33.702,96.104,99.026,99.026,99.026,99.026,99.675
CIW80_00050,99.777,99.777,98.884,98.884,97.991,98.214,98.214,98.214,98.214,98.214,98.214,98.214,99.777,97.991,98.214,98.214,98.438,98.214,98.214,98.214,98.214,98.214,98.214,97.545,97.991,97.991,98.438,97.768,98.454,97.768,96.0,98.438,97.768,97.768,99.107,98.438,97.991,98.214,98.884,98.884,99.107,100.0,99.777,0.0,97.991,98.214,98.884,97.991,97.545,97.991,97.991,97.991,97.991,97.991,98.214
